FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,41.4645,7132660.0,13888.4,8980.93,7803.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7163330.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,8.88248,0.0,0.0,655.048,1.0,101.0,5.00517E8,
0.0,0.0,0.0,0.0,41.4645,7127650.0,13878.6,8974.63,7798.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7158300.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.8825,0.0,0.0,655.048,1.0,201.0,5.00542E8,
0.0,0.0,0.0,0.0,41.4645,7122650.0,13868.9,8968.33,7792.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7153280.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,8.88253,0.0,0.0,655.048,1.0,301.0,5.00567E8,
0.0,0.0,0.0,0.0,41.4645,7122650.0,13868.9,8968.33,7792.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7153280.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,8.88253,0.0,0.0,655.048,1.0,401.0,5.00567E8,
0.0,0.0,0.0,0.0,41.4645,7112640.0,13849.4,8955.73,7781.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7143220.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,8.88257,0.0,0.0,655.048,1.0,501.0,5.00617E8,
0.0,0.0,0.0,0.0,41.4645,7107630.0,13839.6,8949.42,7776.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7138200.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.88259,0.0,0.0,655.048,1.0,601.0,5.00642E8,
0.0,0.0,0.0,0.0,41.4645,7102630.0,13829.9,8943.12,7770.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133170.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,8.88261,0.0,0.0,655.048,1.0,701.0,5.00668E8,
0.0,0.0,0.0,0.0,41.4645,7102630.0,13829.9,8943.12,7770.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7133170.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,8.88261,0.0,0.0,655.048,1.0,801.0,5.00668E8,
0.0,0.0,0.0,0.0,41.4645,7097620.0,13820.1,8936.82,7765.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7128140.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.88264,0.0,0.0,655.048,1.0,901.0,5.00693E8,
0.0,0.0,0.0,0.0,41.4645,7092620.0,13810.4,8930.52,7759.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7123120.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,8.88266,0.0,0.0,655.048,1.0,1001.0,5.00718E8,
0.0,0.0,0.0,0.0,96.2359,7099120.0,40006.5,12316.5,61655.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7213100.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,8.84324,0.0,0.0,719.652,1.0,1101.0,5.02298E8,
0.0,0.0,0.0,0.0,96.2359,7089230.0,39950.7,12299.3,61569.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7203050.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,8.84328,0.0,0.0,719.652,1.0,1201.0,5.02348E8,
0.0,0.0,0.0,0.0,96.2359,7089230.0,39950.7,12299.3,61569.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7203050.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,8.84328,0.0,0.0,719.652,1.0,1301.0,5.02348E8,
0.0,0.0,0.0,0.0,96.2513,7084290.0,39922.9,12290.8,69061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7205560.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,8.84225,0.0,0.0,721.476,1.0,1401.0,5.02424E8,
0.0,0.0,0.0,0.0,96.2513,7084290.0,39922.9,12290.8,69061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7205560.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,8.84225,0.0,0.0,721.476,1.0,1501.0,5.02424E8,
0.0,0.0,0.0,0.0,96.2743,7084290.0,39922.9,12290.8,80292.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7216790.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,8.84057,0.0,0.0,724.384,1.0,1601.0,5.02504E8,
0.0,0.0,0.0,0.0,96.2743,7074420.0,39867.3,12273.6,80180.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7206740.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,8.84061,0.0,0.0,724.384,1.0,1701.0,5.02554E8,
0.0,0.0,0.0,0.0,96.2743,7069480.0,39839.5,12265.1,80124.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7201710.0,0.0,0.0,0.0,0.0,327.0,0.0,0.0,8.84064,0.0,0.0,724.384,1.0,1801.0,5.02579E8,
0.0,0.0,0.0,0.0,96.2743,7064550.0,39811.7,12256.5,80068.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7196690.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,8.84066,0.0,0.0,724.384,1.0,1901.0,5.02604E8,
0.0,0.0,0.0,0.0,96.2743,7054680.0,39756.0,12239.4,79956.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7186630.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,8.8407,0.0,0.0,724.384,1.0,2001.0,5.02655E8,
0.0,0.0,0.0,0.0,96.2743,7049750.0,39728.2,12230.8,79900.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7181610.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,8.84072,0.0,0.0,724.384,1.0,2101.0,5.0268E8,
0.0,0.0,0.0,0.0,96.2743,7044810.0,39700.4,12222.3,79844.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7176580.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.84075,0.0,0.0,724.384,1.0,2201.0,5.02705E8,
0.0,0.0,0.0,0.0,96.2743,7044810.0,39700.4,12222.3,79844.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7176580.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.84075,0.0,0.0,724.384,1.0,2301.0,5.02705E8,
0.0,0.0,0.0,0.0,96.2743,7044810.0,39700.4,12222.3,79844.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7176580.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,8.84075,0.0,0.0,724.384,1.0,2401.0,5.02705E8,
0.0,0.0,0.0,0.0,96.2743,7034940.0,39644.8,12205.2,79733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7166530.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,8.84079,0.0,0.0,724.384,1.0,2501.0,5.02755E8,
0.0,0.0,0.0,0.0,96.2743,7025080.0,39589.2,12188.0,79621.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7156470.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,8.84572,0.0,0.0,724.38,1.0,2601.0,5.08495E8,
0.0,0.0,0.0,0.0,96.2743,7020140.0,39561.4,12179.5,79565.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7151450.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,8.84574,0.0,0.0,724.38,1.0,2701.0,5.0852E8,
0.0,0.0,0.0,0.0,96.2743,7010270.0,39505.8,12162.4,79453.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141390.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,8.84579,0.0,0.0,724.38,1.0,2801.0,5.0857E8,
0.0,0.0,0.0,0.0,96.2743,7010270.0,39505.8,12162.4,79453.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7141390.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,8.84579,0.0,0.0,724.38,1.0,2901.0,5.0857E8,
0.0,0.0,0.0,0.0,96.2743,7000400.0,39450.2,12145.2,79341.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131340.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,8.84583,0.0,0.0,724.38,1.0,3001.0,5.08621E8,
0.0,0.0,0.0,0.0,60.0548,7009120.0,18235.5,12136.7,86825.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7126310.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,8.843,0.0,0.0,729.149,1.0,3101.0,5.08646E8,
0.0,0.0,0.0,0.0,60.0548,7004170.0,18222.6,12128.1,86764.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7121290.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,8.84303,0.0,0.0,729.149,1.0,3201.0,5.08671E8,
0.0,0.0,0.0,0.0,60.0548,6984400.0,18171.2,12093.9,86519.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7101180.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,8.84311,0.0,0.0,729.149,1.0,3301.0,5.08771E8,
0.0,0.0,0.0,0.0,60.0548,6984400.0,18171.2,12093.9,86519.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7101180.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,8.84311,0.0,0.0,729.149,1.0,3401.0,5.08771E8,
0.0,0.0,0.0,0.0,60.0548,6984400.0,18171.2,12093.9,86519.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7101180.0,0.0,0.0,0.0,0.0,347.0,0.0,0.0,8.84311,0.0,0.0,729.149,1.0,3501.0,5.08771E8,
