FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,13.6426,7089950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089950.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.89389,0.0,0.0,637.446,1.0,101.0,5.0005E8,
0.0,0.0,0.0,0.0,13.6426,7089950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089950.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.89389,0.0,0.0,637.446,1.0,201.0,5.0005E8,
0.0,0.0,0.0,0.0,13.6426,7089950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089950.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.89389,0.0,0.0,637.446,1.0,301.0,5.0005E8,
0.0,0.0,0.0,0.0,13.6426,7089950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7089950.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,8.89389,0.0,0.0,637.446,1.0,401.0,5.0005E8,
0.0,0.0,0.0,0.0,13.6426,7084920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7084920.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,8.89391,0.0,0.0,637.446,1.0,501.0,5.00075E8,
0.0,0.0,0.0,0.0,13.6426,7079890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7079890.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,8.89393,0.0,0.0,637.446,1.0,601.0,5.00101E8,
0.0,0.0,0.0,0.0,13.6426,7074870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7074870.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,8.89395,0.0,0.0,637.446,1.0,701.0,5.00126E8,
0.0,0.0,0.0,0.0,13.6426,7074870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7074870.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,8.89395,0.0,0.0,637.446,1.0,801.0,5.00126E8,
0.0,0.0,0.0,0.0,13.6426,7069840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069840.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.89398,0.0,0.0,637.446,1.0,901.0,5.00151E8,
0.0,0.0,0.0,0.0,13.6426,7064810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064810.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,8.894,0.0,0.0,637.446,1.0,1001.0,5.00176E8,
0.0,0.0,0.0,0.0,13.6426,7059790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7059790.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.89402,0.0,0.0,637.446,1.0,1101.0,5.00201E8,
0.0,0.0,0.0,0.0,55.7034,7094390.0,28551.0,2350.31,55161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180450.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.85598,0.0,0.0,706.889,1.0,1201.0,5.08093E8,
0.0,0.0,0.0,0.0,55.7034,7094390.0,28551.0,2350.31,55161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180450.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.85598,0.0,0.0,706.889,1.0,1301.0,5.08093E8,
0.0,0.0,0.0,0.0,55.7034,7094390.0,28551.0,2350.31,55161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180450.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.85598,0.0,0.0,706.889,1.0,1401.0,5.08093E8,
0.0,0.0,0.0,0.0,55.7034,7094390.0,28551.0,2350.31,55161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180450.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.85598,0.0,0.0,706.889,1.0,1501.0,5.08093E8,
0.0,0.0,0.0,0.0,55.7034,7094390.0,28551.0,2350.31,55161.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7180450.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,8.85598,0.0,0.0,706.889,1.0,1601.0,5.08093E8,
0.0,0.0,0.0,0.0,32.8509,7068110.0,5037.64,5743.24,87366.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7166260.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,8.84507,0.0,0.0,724.98,1.0,1701.0,5.08157E8,
0.0,0.0,0.0,0.0,32.838,7063150.0,5034.11,5739.21,87305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7161230.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,8.84509,0.0,0.0,724.98,1.0,1801.0,5.08182E8,
0.0,0.0,0.0,0.0,32.838,7058200.0,5030.57,5735.18,87243.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7156210.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,8.84512,0.0,0.0,724.98,1.0,1901.0,5.08207E8,
