FeEn,LyEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,0.0,0.0,0.0,13.6426,7100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7100000.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,8.89385,0.0,0.0,637.446,1.0,1.0,5.0E8,
0.0,0.0,0.0,0.0,13.6426,7094970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7094970.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,8.89387,0.0,0.0,637.446,1.0,101.0,5.00025E8,
0.0,0.0,0.0,0.0,13.6426,7094970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7094970.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,8.89387,0.0,0.0,637.446,1.0,201.0,5.00025E8,
0.0,0.0,0.0,0.0,13.6426,7079890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7079890.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,8.89393,0.0,0.0,637.446,1.0,301.0,5.00101E8,
0.0,0.0,0.0,0.0,13.6426,7074870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7074870.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,8.89395,0.0,0.0,637.446,1.0,401.0,5.00126E8,
0.0,0.0,0.0,0.0,13.6426,7069840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069840.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.89398,0.0,0.0,637.446,1.0,501.0,5.00151E8,
0.0,0.0,0.0,0.0,37.7159,7092450.0,18596.0,2351.96,22977.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7136370.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,8.88248,0.0,0.0,655.238,1.0,601.0,5.00653E8,
0.0,0.0,0.0,0.0,37.7159,7087450.0,18582.9,2350.3,22961.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131340.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,8.8825,0.0,0.0,655.238,1.0,701.0,5.00678E8,
0.0,0.0,0.0,0.0,37.7159,7087450.0,18582.9,2350.3,22961.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131340.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,8.8825,0.0,0.0,655.238,1.0,801.0,5.00678E8,
0.0,0.0,0.0,0.0,37.7159,7082450.0,18569.8,2348.64,22945.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7126320.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.88252,0.0,0.0,655.238,1.0,901.0,5.00704E8,
