RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1213000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2364000.0,2396000.0,
1258000.0,1038000.0,783700.0,1432000.0,617400.0,449000.0,350300.0,389700.0,400700.0,2376000.0,2358000.0,
1258000.0,1033000.0,783600.0,1427000.0,609800.0,449000.0,350200.0,389700.0,400600.0,2376000.0,2365000.0,
1258000.0,1028000.0,783600.0,1423000.0,609600.0,449000.0,350200.0,389700.0,400500.0,2376000.0,2365000.0,
1257000.0,1026000.0,783500.0,1420000.0,609600.0,449000.0,350200.0,389700.0,400500.0,2388000.0,2365000.0,
1256000.0,1026000.0,783400.0,1416000.0,602100.0,449000.0,350200.0,389700.0,400500.0,2388000.0,2373000.0,
1256000.0,1026000.0,783400.0,1416000.0,602100.0,449000.0,350200.0,389700.0,400500.0,2388000.0,2373000.0,
1256000.0,1026000.0,783400.0,1407000.0,601900.0,449000.0,350100.0,389600.0,400400.0,2388000.0,2373000.0,
1251000.0,1025000.0,783200.0,1402000.0,601900.0,449000.0,350100.0,389600.0,400400.0,2388000.0,2373000.0,
1251000.0,1025000.0,783100.0,1398000.0,587800.0,445400.0,350100.0,389600.0,400400.0,2400000.0,2390000.0,
1251000.0,1025000.0,783100.0,1398000.0,575300.0,445400.0,350100.0,389600.0,400400.0,2400000.0,2403000.0,
1251000.0,1025000.0,783100.0,1398000.0,575300.0,445400.0,350100.0,389600.0,400400.0,2400000.0,2403000.0,
1239000.0,1025000.0,782900.0,1393000.0,575300.0,445300.0,350000.0,389500.0,400300.0,2400000.0,2415000.0,
1258000.0,1025000.0,782900.0,1393000.0,575300.0,445300.0,350000.0,389500.0,509200.0,2314000.0,2396000.0,
1251000.0,1025000.0,782900.0,1393000.0,575300.0,445300.0,350000.0,389500.0,509200.0,2314000.0,2404000.0,
1240000.0,1019000.0,782900.0,1389000.0,567600.0,445300.0,350000.0,389500.0,509100.0,2326000.0,2423000.0,
1240000.0,1019000.0,782800.0,1384000.0,567500.0,445300.0,349900.0,389400.0,509000.0,2326000.0,2423000.0,
1293000.0,1019000.0,782700.0,1379000.0,567500.0,445200.0,349900.0,389400.0,509000.0,2338000.0,2370000.0,
1293000.0,1019000.0,782700.0,1379000.0,552500.0,445200.0,349900.0,389400.0,509000.0,2338000.0,2385000.0,
1293000.0,1019000.0,782700.0,1379000.0,552500.0,445200.0,349900.0,389400.0,509000.0,2349000.0,2385000.0,
1292000.0,1019000.0,782600.0,1366000.0,552300.0,445200.0,349700.0,389300.0,508800.0,2349000.0,2385000.0,
1273000.0,1017000.0,782500.0,1362000.0,529700.0,445100.0,349700.0,389200.0,508700.0,2349000.0,2408000.0,
1309000.0,1016000.0,782300.0,1357000.0,529600.0,445100.0,349700.0,389200.0,508700.0,2373000.0,2366000.0,
1309000.0,1016000.0,782300.0,1352000.0,529600.0,445100.0,349700.0,389200.0,508700.0,2385000.0,2366000.0,
1309000.0,1016000.0,782300.0,1348000.0,529600.0,445100.0,349600.0,389200.0,508700.0,2385000.0,2366000.0,
1290000.0,1016000.0,758200.0,1343000.0,529600.0,445100.0,349600.0,389200.0,508700.0,2385000.0,2409000.0,
1280000.0,1016000.0,758100.0,1338000.0,529500.0,445100.0,349600.0,389200.0,508600.0,2385000.0,2409000.0,
1277000.0,1016000.0,756500.0,1333000.0,529400.0,445100.0,349500.0,389200.0,508600.0,2385000.0,2409000.0,
1293000.0,1016000.0,756500.0,1333000.0,529400.0,445100.0,349500.0,389200.0,581600.0,2336000.0,2394000.0,
1299000.0,1015000.0,756300.0,1333000.0,521900.0,445100.0,349500.0,389200.0,581600.0,2359000.0,2392000.0,
1299000.0,1015000.0,756300.0,1333000.0,521900.0,445100.0,349500.0,389200.0,581600.0,2383000.0,2392000.0,
