cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnEr,R-TfEnPm,R-TfEnRabA,R-TfEnRabB,R-TfEnRabC,R-TfEnRabD,R-TfEnRabE,R-TfEnRabF,R-TfEnRabG,R-TfEnRabH,R-TfEnRabI,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
195400.0,4844.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,19540.0,257.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,4.955E-5,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,8.592000000000001E-35,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,0.0,2.0760000000000002E-35,3.3460000000000003E-35,1.141E-34,4.127E-35,1.4360000000000001E-36,2.2380000000000002E-36,1.323E-37,7.474E-38,3.1709999999999997E-37,1.2169999999999999E-37,19540.0,17.61,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,2881.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
195400.0,4844.0,374.0,659.8,374.2,2.876,31.8,39.57,36.22,51.22,59.07,19540.0,257.0,0.7793,9.526,8.447,2.643,7.316,16.77,15.39,32.48,28.21,19540.0,257.0,0.7793,9.526,8.447,2.643,7.316,16.77,15.39,32.48,28.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.08,10.69,7.096,335.4,3.146,2.856,3.607,3.25,4.87,0.0,4.955E-5,24.03,32.63,208.1,130.3,0.4684,0.6355,1.101,0.8417,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046E-4,0.0,191000.0,47550.0,18260.0,17130.0,915600.0,9516.0,12230.0,7475.0,9904.0,10420.0,0.0,7.182E-35,6.648E-34,2.735E-33,1.2599999999999999E-33,4.688000000000001E-34,1.427E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,0.0,2.0670000000000002E-35,3.2E-35,1.095E-34,4.142E-35,7.4119999999999994E-37,2.3250000000000002E-36,1.3099999999999999E-37,7.541E-38,3.148E-37,1.225E-37,19540.0,17.61,28.52,72.31,32.05,3.939,2.151,3.881,3.636,5.004,5.896,0.0,2881.0,9.153,4.861,2.076,12.92,1.077,0.7807,0.2145,0.4854,0.2298,
195400.0,4846.0,373.3,658.8,389.5,1.183,30.65,39.58,36.22,51.6,58.69,19540.0,257.1,0.7786,9.526,8.394,2.624,7.26,16.77,15.39,28.35,32.33,19540.0,257.1,0.7786,9.526,8.394,2.624,7.26,16.77,15.39,28.35,32.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.06,10.69,7.094,334.5,3.118,2.851,3.601,3.242,4.853,0.0,4.958E-5,24.76,33.6,191.6,132.0,0.4668,0.6258,1.101,0.8366,1.16,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.246E-4,0.0,191000.0,47090.0,18130.0,16110.0,894400.0,9371.0,11940.0,7288.0,9688.0,10200.0,0.0,6.895000000000001E-35,6.659E-34,2.7319999999999998E-33,1.248E-33,4.693E-34,1.4089999999999999E-33,1.8240000000000002E-32,2.21E-34,9.133999999999999E-33,5.161E-34,0.0,2.077E-35,3.086E-35,1.0720000000000001E-34,4.074E-35,1.518E-37,2.2320000000000003E-36,1.3E-37,7.539E-38,3.1309999999999997E-37,1.236E-37,19540.0,17.93,28.52,72.31,31.89,3.937,1.997,3.881,3.636,5.043,5.858,0.0,2881.0,9.125,4.86,2.06,12.86,1.064,0.7803,0.214,0.4817,0.2318,
195400.0,4867.0,373.5,660.9,392.6,0.8083,30.65,40.03,35.8,51.41,58.84,19540.0,257.4,0.6361,9.807,8.249,2.364,7.259,16.38,15.9,28.35,32.18,19540.0,257.4,0.6361,9.807,8.249,2.364,7.259,16.38,15.9,28.35,32.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,26.06,11.06,2.774,338.7,3.006,2.573,3.496,3.345,5.02,0.0,4.979E-5,12.65,28.62,214.9,102.0,0.4343,0.1945,0.6272,0.3152,0.5166,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,48020.0,18430.0,10610.0,901700.0,9478.0,11740.0,7230.0,9890.0,10530.0,0.0,1.717E-34,6.479E-34,2.7419999999999998E-33,1.13E-33,4.575E-34,1.39E-33,1.8240000000000002E-32,2.201E-34,9.133999999999999E-33,5.1520000000000005E-34,0.0,2.205E-35,3.005E-35,1.0630000000000001E-34,3.888E-35,4.8429999999999995E-39,2.2320000000000003E-36,1.285E-37,7.544E-38,3.126E-37,1.235E-37,19540.0,20.15,27.91,73.03,30.15,3.429,1.996,3.915,3.579,5.007,5.852,0.0,2882.0,8.494,4.71,1.916,13.7,1.064,0.7797,0.2141,0.4817,0.2315,
195400.0,4878.0,343.9,691.6,386.7,0.7575,30.65,39.91,35.83,51.44,58.89,19540.0,257.4,0.5847,9.812,8.202,2.39,7.259,16.62,15.85,28.28,32.09,19540.0,257.4,0.5847,9.812,8.202,2.39,7.259,16.62,15.85,28.28,32.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,17.91,11.83,2.953,340.9,3.058,3.197,4.163,4.072,5.91,0.0,4.99E-5,12.31,27.77,209.9,102.1,0.4362,0.2249,0.6476,0.3433,0.544,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,37680.0,19190.0,10370.0,915300.0,9801.0,12460.0,7932.0,10710.0,11520.0,0.0,1.766E-34,6.329E-34,2.748E-33,1.0849999999999999E-33,4.577E-34,1.378E-33,1.818E-32,2.345E-34,9.151999999999999E-33,5.382E-34,0.0,2.433E-35,2.892E-35,1.066E-34,3.624E-35,8.873E-40,2.2320000000000003E-36,1.294E-37,7.496E-38,3.116E-37,1.228E-37,19540.0,21.16,25.89,75.01,29.13,3.45,1.996,3.906,3.583,5.012,5.858,0.0,2882.0,8.369,4.698,1.875,13.72,1.065,0.7894,0.2265,0.4953,0.2479,
195400.0,4905.0,310.4,711.5,385.8,0.7348,31.27,39.9,35.93,51.58,57.95,19540.0,257.6,0.6329,9.717,8.036,2.365,7.359,16.81,15.91,26.31,33.69,19540.0,257.6,0.6329,9.717,8.036,2.365,7.359,16.81,15.91,26.31,33.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,18.77,11.91,2.972,340.0,3.024,3.204,4.16,4.076,5.904,0.0,5.018E-5,12.26,26.23,194.5,101.9,0.4367,0.2507,0.6457,0.3553,0.5418,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.014E-4,0.0,191000.0,37010.0,19650.0,10060.0,947700.0,10250.0,12820.0,8097.0,11000.0,11820.0,0.0,2.6770000000000003E-34,6.3480000000000005E-34,2.672E-33,1.014E-33,4.5760000000000005E-34,1.361E-33,1.818E-32,2.34E-34,9.151999999999999E-33,5.3790000000000005E-34,0.0,2.533E-35,2.596E-35,1.074E-34,3.544E-35,6.813E-40,2.2190000000000002E-36,1.277E-37,7.414E-38,3.115E-37,1.2779999999999999E-37,19540.0,23.33,23.7,75.87,27.97,3.443,2.059,3.907,3.593,5.027,5.764,0.0,2882.0,8.234,4.733,1.852,13.64,1.048,0.789,0.2253,0.4927,0.2512,
195400.0,4936.0,245.9,742.1,354.6,0.7283,36.78,39.87,35.93,51.56,57.95,19540.0,257.8,0.714,9.99,7.42,2.365,6.917,16.59,15.8,25.12,35.68,19540.0,257.8,0.714,9.99,7.42,2.365,6.917,16.59,15.8,25.12,35.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.799,20.46,12.07,2.767,339.1,3.319,3.199,4.154,4.068,5.886,0.0,5.049E-5,11.88,63.05,185.6,101.9,0.4794,0.28,0.646,0.3705,0.5427,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,33110.0,22420.0,10870.0,979300.0,10660.0,13240.0,8346.0,11370.0,12200.0,0.0,2.4770000000000002E-34,6.2110000000000005E-34,2.641E-33,1.0129999999999999E-33,4.5760000000000005E-34,1.365E-33,1.817E-32,2.3350000000000003E-34,9.151999999999999E-33,5.377E-34,0.0,2.553E-35,2.196E-35,1.065E-34,3.4520000000000003E-35,6.554E-40,2.4800000000000003E-36,1.266E-37,7.412E-38,3.1089999999999997E-37,1.2779999999999999E-37,19540.0,24.3,19.6,79.7,26.78,3.443,2.447,3.907,3.593,5.027,5.764,0.0,2882.0,8.223,4.739,1.763,13.56,1.119,0.7886,0.2245,0.4927,0.249,
195400.0,4924.0,277.3,729.4,349.0,0.7237,36.64,39.82,35.93,51.54,57.95,19540.0,258.0,0.8691,9.792,7.272,2.365,6.894,16.5,15.76,24.61,36.33,19540.0,258.0,0.8691,9.792,7.272,2.365,6.894,16.5,15.76,24.61,36.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,21.0,12.48,2.77,337.2,3.284,3.194,4.137,4.057,5.861,0.0,5.011E-5,11.86,62.94,183.1,101.9,0.4386,0.3279,0.6465,0.3953,0.544,0.0,0.0,4.7999999999999994E8,37350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137E-4,0.0,191000.0,33250.0,23120.0,10770.0,1026000.0,11130.0,13840.0,8722.0,11900.0,12780.0,0.0,2.5690000000000003E-34,5.625E-34,2.6959999999999998E-33,9.394E-34,4.5760000000000005E-34,1.351E-33,1.817E-32,2.33E-34,9.151E-33,5.375E-34,0.0,2.37E-35,2.8240000000000003E-35,1.0080000000000001E-34,3.405E-35,6.226E-40,2.474E-36,1.251E-37,7.41E-38,3.101E-37,1.277E-37,19540.0,23.18,22.75,78.65,25.73,3.443,2.428,3.907,3.593,5.027,5.764,0.0,2882.0,8.279,4.873,1.774,13.47,1.111,0.7881,0.2237,0.4924,0.2471,
195400.0,4936.0,267.7,753.6,308.3,3.972,26.41,39.56,35.86,50.63,57.63,19540.0,258.3,1.41,10.05,8.261,2.464,5.454,16.38,15.64,24.31,36.11,19540.0,258.3,1.41,10.05,8.261,2.464,5.454,16.38,15.64,24.31,36.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.798,23.04,12.18,2.993,337.8,3.443,3.24,4.153,4.27,5.947,0.0,5.049E-5,6.223,44.0,234.4,94.27,0.5176,0.4279,0.6363,0.548,0.5739,0.0,0.0,4.7999999999999994E8,37290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.137E-4,0.0,191000.0,34870.0,22140.0,11750.0,1087000.0,12210.0,14640.0,9228.0,12810.0,13610.0,0.0,2.4770000000000002E-34,5.2E-34,2.661E-33,1.708E-33,4.442E-34,6.14E-34,1.817E-32,2.208E-34,9.149E-33,5.301E-34,0.0,2.392E-35,2.525E-35,1.0270000000000001E-34,3.484E-35,1.763E-37,5.887E-37,8.343E-38,5.271E-38,1.082E-37,5.314E-38,19540.0,23.99,21.71,78.95,26.59,3.161,1.573,3.906,3.583,5.04,5.758,0.0,2882.0,8.149,4.949,1.74,13.4,1.093,0.7961,0.2303,0.521,0.2624,
195400.0,4902.0,290.6,743.5,314.2,0.8451,25.69,39.43,35.67,49.65,57.28,19540.0,258.4,1.214,10.27,8.24,2.378,5.455,16.45,15.85,24.15,35.97,19540.0,258.4,1.214,10.27,8.24,2.378,5.455,16.45,15.85,24.15,35.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.797,23.89,10.83,3.077,338.0,3.483,3.252,4.156,4.332,5.968,0.0,5.015E-5,25.5,47.77,222.8,99.87,1.458,0.6485,0.7027,1.967,1.06,0.0,0.0,4.7989999999999994E8,118900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,35250.0,18750.0,11410.0,1067000.0,11640.0,14390.0,9222.0,12760.0,13560.0,0.0,1.9620000000000002E-34,5.027E-34,2.6959999999999998E-33,1.663E-33,4.202E-34,6.1030000000000005E-34,1.816E-32,2.204E-34,9.148E-33,5.295E-34,0.0,2.078E-35,2.751E-35,1.101E-34,2.158E-35,7.971E-39,5.495E-37,6.967E-38,5.043E-38,4.712E-38,3.296E-38,19540.0,20.84,24.46,80.97,26.26,1.997,1.538,3.898,3.566,4.993,5.742,0.0,2881.0,8.715,4.757,1.739,13.37,1.096,0.7971,0.2306,0.5275,0.2633,
