cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,0.0,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,0.0,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,24000.0,0.0,0.0,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,48000.0,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,0.07161,371.3,688.8,354.2,3.618,23.01,39.55,36.14,50.72,59.13,0.0,0.004193,0.7815,9.772,9.127,2.643,6.427,16.77,15.59,34.35,26.09,0.0,0.004193,0.7815,9.772,9.127,2.643,6.427,16.77,15.59,34.35,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.04,10.66,7.085,335.5,3.166,2.861,3.602,3.255,4.881,0.0,1.722E-5,23.71,31.65,212.2,129.6,0.4685,0.6394,1.101,0.8437,1.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27E-4,0.0,191000.0,47640.0,18230.0,17440.0,925800.0,9563.0,12340.0,7557.0,9992.0,10520.0,0.0,0.01549,6.631E-34,2.9069999999999998E-33,1.095E-33,4.681000000000001E-34,1.421E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,24000.0,0.0,79.43,28.52,75.25,29.66,3.944,1.63,3.882,3.628,4.967,5.907,0.0,48080.0,9.064,4.925,2.075,12.96,1.025,0.7798,0.214,0.4841,0.2269,
0.0,15.4,370.4,665.3,384.3,1.071,22.92,39.56,36.14,50.73,59.13,0.0,0.132,0.781,9.627,9.152,2.643,6.42,16.77,15.59,34.35,26.09,0.0,0.132,0.781,9.627,9.152,2.643,6.42,16.77,15.59,34.35,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.04,10.67,7.037,332.7,3.135,2.832,3.573,3.224,4.836,0.0,1.575E-7,24.65,33.22,188.9,132.2,0.4681,0.6256,1.101,0.8368,1.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,47080.0,18060.0,15980.0,892500.0,9399.0,11920.0,7269.0,9677.0,10210.0,0.0,0.03204,6.63E-34,2.807E-33,1.086E-33,4.681000000000001E-34,1.403E-33,1.8240000000000002E-32,2.21E-34,9.133999999999999E-33,5.160000000000001E-34,24000.0,0.0,179.8,28.52,73.39,29.99,3.942,1.621,3.882,3.628,4.967,5.907,0.0,48180.0,9.06,4.883,2.091,12.86,1.022,0.7791,0.2131,0.4833,0.2256,
0.0,19.13,365.3,665.2,398.8,0.8284,22.28,39.56,36.14,48.38,58.27,0.0,0.2532,0.8794,9.524,9.047,2.784,6.412,16.77,15.59,33.78,26.52,0.0,0.2532,0.8794,9.524,9.047,2.784,6.412,16.77,15.59,33.78,26.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.86,10.76,6.606,314.1,3.066,2.615,3.34,17.48,8.178,0.0,0.2704,24.27,31.7,177.9,132.4,0.4688,0.6332,1.105,3.095,1.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165E-4,0.0,191000.0,47620.0,18380.0,14920.0,872000.0,9445.0,11660.0,6972.0,26780.0,14240.0,0.0,0.03839,3.254E-5,2.774E-33,1.0849999999999999E-33,4.670000000000001E-34,1.3889999999999999E-33,1.8240000000000002E-32,2.206E-34,9.135E-33,5.159E-34,24000.0,0.0,225.6,42.7,72.73,30.1,4.14,1.557,3.885,3.631,4.793,5.839,0.0,48230.0,12.27,4.923,2.079,12.55,1.009,0.7756,0.2093,0.6876,0.2744,
0.0,19.46,341.7,695.9,401.0,0.7529,22.21,39.54,36.14,48.37,58.27,0.0,0.2724,0.8272,9.614,9.002,2.855,6.393,16.77,15.6,33.67,26.52,0.0,0.2724,0.8272,9.614,9.002,2.855,6.393,16.77,15.6,33.67,26.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.02,10.71,7.065,323.1,3.06,2.837,3.544,5.896,8.82,0.0,2.263E-7,24.05,30.34,167.5,133.8,0.4721,0.683,1.138,1.385,1.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,49960.0,19280.0,14820.0,892200.0,9774.0,11980.0,7156.0,15330.0,14630.0,0.0,0.05122,2.996E-5,2.807E-33,1.024E-33,4.674E-34,1.37E-33,1.8240000000000002E-32,2.2000000000000003E-34,9.133999999999999E-33,5.157E-34,24000.0,0.0,324.0,40.9,75.08,29.31,4.179,1.551,3.886,3.632,4.748,5.842,0.0,48330.0,12.3,4.89,2.085,12.59,0.9929,0.7778,0.2112,0.5569,0.2806,
0.0,30.24,343.1,667.7,424.2,0.7353,22.21,39.52,36.14,48.36,58.27,0.0,0.3202,0.8655,9.392,9.139,2.854,6.393,16.77,15.6,33.67,26.52,0.0,0.3202,0.8655,9.392,9.139,2.854,6.393,16.77,15.6,33.67,26.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,10.75,7.024,321.1,3.057,2.813,3.521,5.846,8.751,0.0,3.094E-7,24.12,29.01,161.6,133.7,0.4727,0.7077,1.138,1.398,1.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015E-4,0.0,191000.0,52480.0,20180.0,14660.0,914800.0,10200.0,12250.0,7252.0,15020.0,14690.0,0.0,0.05716,7.646E-5,2.622E-33,1.1469999999999999E-33,4.674E-34,1.356E-33,1.823E-32,2.195E-34,9.133999999999999E-33,5.155E-34,24000.0,0.0,383.4,61.12,71.97,31.04,4.168,1.551,3.886,3.632,4.748,5.842,0.0,48410.0,14.12,4.863,2.068,12.52,0.9923,0.7773,0.2105,0.5558,0.279,
0.0,41.17,334.2,683.4,411.7,1.569,28.61,39.73,34.98,47.55,44.53,0.0,0.4202,1.078,9.986,8.955,3.359,6.492,16.48,15.75,30.73,28.27,0.0,0.4202,1.078,9.986,8.955,3.359,6.492,16.48,15.75,30.73,28.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51,6.414,7.011,322.0,3.057,2.902,3.828,6.222,12.06,0.0,4.211E-7,24.38,10.98,157.9,133.7,0.4736,1.362,3.049,3.767,21.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013E-4,0.0,191000.0,54180.0,14320.0,14680.0,950700.0,10700.0,12750.0,7774.0,15490.0,18380.0,0.0,0.06699,3.399E-5,2.6489999999999998E-33,1.076E-33,4.401E-34,1.3529999999999999E-33,1.823E-32,2.221E-34,9.137E-33,5.5050000000000005E-34,24000.0,0.0,482.5,59.05,75.06,29.82,3.452,1.834,3.93,3.597,4.769,5.422,0.0,48510.0,13.97,4.423,2.027,12.53,1.007,0.7867,0.2472,0.5964,0.6798,
0.0,41.25,325.8,687.0,407.3,1.852,35.04,39.78,34.63,47.67,43.44,0.0,0.436,1.095,9.562,8.747,3.373,6.562,16.49,15.3,30.28,29.64,0.0,0.436,1.095,9.562,8.747,3.373,6.562,16.49,15.3,30.28,29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,6.047,7.056,324.7,3.064,3.017,3.563,6.035,12.32,0.0,4.284E-7,23.91,16.14,158.1,131.7,0.4632,1.375,1.608,2.407,13.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.135E-4,0.0,191000.0,55040.0,14570.0,14110.0,990200.0,11130.0,13250.0,7851.0,15630.0,19210.0,0.0,0.07209,0.004705,2.6909999999999998E-33,1.046E-33,4.371000000000001E-34,1.352E-33,1.823E-32,2.183E-34,9.133E-33,5.179E-34,24000.0,0.0,563.7,94.9,77.53,29.41,3.294,2.096,3.887,3.422,4.562,3.701,0.0,48620.0,16.39,4.398,2.024,12.54,0.9995,0.7931,0.2278,0.5818,0.6979,
0.0,56.08,325.3,691.3,404.0,1.171,25.3,39.51,34.79,47.68,41.43,0.0,0.6256,1.149,9.51,8.731,3.373,6.387,16.49,15.3,30.28,29.64,0.0,0.6256,1.149,9.51,8.731,3.373,6.387,16.49,15.3,30.28,29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.02,6.208,7.027,322.9,3.061,2.993,3.54,5.984,12.25,0.0,5.737E-7,24.37,11.88,156.3,132.4,0.4648,1.646,1.444,2.399,15.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126E-4,0.0,191000.0,56660.0,14610.0,14340.0,1034000.0,11650.0,13840.0,8143.0,16100.0,20250.0,0.0,0.07958,5.104E-5,2.672E-33,1.0179999999999999E-33,4.371000000000001E-34,1.323E-33,1.823E-32,2.1780000000000002E-34,9.133E-33,5.177E-34,24000.0,0.0,663.0,95.01,77.43,28.55,3.294,1.653,3.887,3.422,4.562,3.701,0.0,48720.0,16.3,4.43,1.967,12.46,0.9861,0.7924,0.227,0.5805,0.6951,
0.0,100.0,330.1,669.2,367.7,0.9019,25.07,39.48,34.86,47.72,40.55,0.0,1.806,1.185,9.45,7.535,3.384,6.368,16.49,15.3,30.28,29.64,0.0,1.806,1.185,9.45,7.535,3.384,6.368,16.49,15.3,30.28,29.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.01,6.199,6.912,318.5,3.054,2.934,3.482,5.858,12.07,0.0,3.712E-5,24.18,27.37,141.5,141.3,0.4622,1.661,1.369,2.337,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.245E-4,0.0,191000.0,57270.0,15900.0,14580.0,1008000.0,11220.0,13540.0,8014.0,15920.0,20640.0,0.0,0.0848,5.059E-5,2.606E-33,9.094000000000001E-34,4.595E-34,1.308E-33,1.822E-32,2.172E-34,9.133E-33,5.175E-34,24000.0,0.0,743.8,95.47,75.53,25.56,4.441,1.64,3.887,3.422,4.561,3.7,0.0,48800.0,16.28,4.452,1.861,12.35,0.973,0.7914,0.2259,0.5785,0.6907,
