entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.178,0.3355,0.106,0.0907,0.0685,0.1252,0.05449,0.03938,0.03062,0.03407,0.03502,0.2066,0.2094,
2.176,0.336,0.1039,0.09078,0.06855,0.1245,0.05453,0.03941,0.03064,0.03409,0.03504,0.2068,0.2118,
2.175,0.3306,0.1039,0.09078,0.06855,0.1245,0.05387,0.03941,0.03064,0.03409,0.03504,0.2068,0.2125,
2.173,0.3406,0.1048,0.09072,0.06851,0.124,0.05235,0.03939,0.03062,0.03407,0.03502,0.2077,0.2129,
2.17,0.3307,0.1041,0.0908,0.06861,0.1234,0.05045,0.03945,0.03067,0.03413,0.03508,0.2081,0.2152,
2.171,0.3319,0.1053,0.0907,0.06854,0.1233,0.05039,0.03941,0.03064,0.03409,0.03504,0.2089,0.2136,
2.171,0.3517,0.1053,0.0907,0.06854,0.1233,0.05039,0.03941,0.03064,0.03409,0.03504,0.2089,0.2136,
2.169,0.3301,0.106,0.0908,0.0686,0.1224,0.04869,0.03945,0.03066,0.03412,0.03507,0.2102,0.214,
2.168,0.3314,0.1047,0.0908,0.0686,0.1224,0.04869,0.03945,0.03066,0.03412,0.03507,0.2102,0.2153,
2.165,0.34,0.1047,0.09084,0.06862,0.1221,0.04717,0.03947,0.03067,0.03413,0.03507,0.2103,0.217,
