cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,0.0,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988100.0,10070.0,13140.0,8063.0,10610.0,11150.0,0.0,0.0,6.594E-34,2.914E-33,1.097E-33,4.685E-34,1.439E-33,1.8240000000000002E-32,2.217E-34,9.135E-33,5.166E-34,0.01,0.0,0.0,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,6.371,371.1,687.7,343.5,2.876,30.73,39.57,36.31,51.19,59.0,0.0,0.2538,0.7626,9.818,7.974,2.643,7.259,16.77,15.59,33.42,27.06,0.0,0.2538,0.7626,9.818,7.974,2.643,7.259,16.77,15.59,33.42,27.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,10.69,7.096,335.4,3.146,2.856,3.607,3.25,4.87,0.0,6.517E-8,23.98,32.9,208.1,130.3,0.4684,0.6355,1.101,0.8417,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.317E-4,0.0,191000.0,47400.0,18280.0,17070.0,915200.0,9497.0,12220.0,7466.0,9888.0,10400.0,0.0,7.941E-9,6.5930000000000006E-34,2.91E-33,1.089E-33,4.681000000000001E-34,1.423E-33,1.8240000000000002E-32,2.2140000000000002E-34,9.133999999999999E-33,5.1630000000000005E-34,0.01,0.0,0.3994,28.39,75.38,28.86,3.939,2.005,3.881,3.645,5.002,5.889,0.0,0.0744,9.108,4.922,1.998,12.91,1.059,0.7805,0.2129,0.4855,0.2305,
0.0,6.371,370.4,687.2,362.7,1.071,30.73,39.58,36.32,51.2,59.0,0.0,0.2538,0.7626,9.818,7.974,2.643,7.259,16.77,15.59,32.96,27.52,0.0,0.2538,0.7626,9.818,7.974,2.643,7.259,16.77,15.59,32.96,27.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,10.69,7.096,335.4,3.146,2.856,3.607,3.25,4.87,0.0,6.517E-8,24.72,33.44,188.9,132.1,0.4681,0.6256,1.101,0.8368,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,47100.0,18200.0,15960.0,894900.0,9406.0,11930.0,7292.0,9688.0,10210.0,0.0,1.459E-8,6.5930000000000006E-34,2.904E-33,1.0799999999999999E-33,4.681000000000001E-34,1.4069999999999999E-33,1.8240000000000002E-32,2.21E-34,9.133999999999999E-33,5.160000000000001E-34,0.01,0.0,0.3994,28.39,75.38,28.86,3.939,2.005,3.881,3.646,5.002,5.889,0.0,0.07444,9.105,4.921,1.997,12.87,1.058,0.7802,0.2126,0.4852,0.2299,
0.0,18.09,368.0,686.3,359.5,0.8284,34.56,39.63,36.37,51.27,59.1,0.0,0.3295,0.7696,9.717,8.105,2.654,7.632,16.68,15.48,32.83,27.35,0.0,0.3295,0.7696,9.717,8.105,2.654,7.632,16.68,15.48,32.83,27.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,10.63,7.228,335.5,3.118,2.851,3.601,3.242,4.853,0.0,3.97E-5,25.02,32.06,173.7,135.2,0.4682,0.6286,1.101,0.8384,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.157E-4,0.0,191000.0,47560.0,21710.0,16380.0,898000.0,9531.0,11980.0,7328.0,9755.0,10300.0,0.0,2.114E-8,6.603E-34,2.877E-33,1.0489999999999999E-33,4.723E-34,1.4039999999999999E-33,1.8240000000000002E-32,2.2090000000000003E-34,9.133999999999999E-33,5.162E-34,0.01,0.0,1.32,28.25,74.99,27.8,3.989,2.34,3.885,3.65,5.008,5.897,0.0,0.1255,9.106,4.903,1.947,12.84,1.073,0.7808,0.2132,0.4861,0.2308,
0.0,29.17,371.1,672.3,374.5,0.7529,29.87,39.92,36.56,52.23,59.43,0.0,0.3838,0.8434,9.634,8.707,2.636,6.587,16.75,15.55,32.98,27.46,0.0,0.3838,0.8434,9.634,8.707,2.636,6.587,16.75,15.55,32.98,27.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,10.62,7.171,333.6,3.135,2.832,3.573,3.224,4.836,0.0,5.357E-4,24.6,30.65,163.2,135.2,0.4672,0.6445,1.101,0.8464,1.16,0.0,0.0,4.7989999999999994E8,62730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,49410.0,21970.0,16240.0,929500.0,9943.0,12330.0,7539.0,10070.0,10680.0,0.0,2.112E-8,5.304E-10,2.856E-33,1.02E-33,4.722E-34,1.372E-33,1.8240000000000002E-32,2.215E-34,9.135999999999999E-33,5.179E-34,0.01,0.0,2.169,28.69,74.01,27.76,3.987,1.919,3.913,3.664,5.099,5.923,0.0,0.2173,8.943,4.963,1.951,12.77,1.071,0.78,0.2176,0.4786,0.2315,
0.0,41.62,362.4,579.4,355.9,0.7378,29.43,41.25,36.1,51.72,59.01,0.0,0.5908,0.8952,9.343,8.527,2.706,6.574,11.96,14.31,23.35,43.11,0.0,0.5908,0.8952,9.343,8.527,2.706,6.574,11.96,14.31,23.35,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,11.08,7.205,331.8,3.08,2.822,3.561,3.209,4.801,0.0,9.865,31.56,98.58,170.5,139.9,0.4678,0.6693,1.101,0.8592,1.161,0.0,0.0,4.7989999999999994E8,62730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139E-4,0.0,191000.0,56270.0,27890.0,17520.0,956100.0,10320.0,12790.0,7818.0,10460.0,11120.0,0.0,2.394E-8,1.954E-10,2.642E-33,1.0589999999999999E-33,5.034000000000001E-34,1.356E-33,1.818E-32,2.5870000000000003E-34,9.149E-33,5.1880000000000005E-34,0.01,0.0,3.624,28.8,70.53,27.87,4.554,1.876,4.049,3.618,5.05,5.883,0.0,0.3963,9.05,4.61,1.899,12.86,1.052,0.7778,0.2187,0.4794,0.2291,
0.0,54.79,365.6,572.2,372.0,1.931,23.97,41.22,36.01,51.67,58.95,0.0,0.7193,0.8983,10.09,8.441,3.315,5.176,11.96,14.29,23.34,43.1,0.0,0.7193,0.8983,10.09,8.441,3.315,5.176,11.96,14.29,23.34,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.65,11.82,7.655,300.4,30.5,2.655,3.817,3.105,4.399,0.0,5.605E-7,31.86,95.76,158.4,137.0,5.026,0.7656,1.247,0.9802,1.339,0.0,0.0,4.7989999999999994E8,62730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126E-4,0.0,191000.0,57620.0,32870.0,18530.0,868000.0,105000.0,12500.0,8837.0,10390.0,10190.0,0.0,2.653E-8,1.94E-10,3.391E-33,1.048E-33,6.029E-34,5.202E-34,1.818E-32,2.429E-34,9.141E-33,5.075E-34,0.01,0.0,4.027,28.98,70.38,27.8,4.524,1.435,4.049,3.611,5.047,5.879,0.0,0.4282,9.037,4.56,1.908,11.76,2.091,0.7719,0.229,0.4764,0.2161,
0.0,96.2,366.4,560.3,347.6,0.7255,23.22,41.16,35.99,51.63,58.92,0.0,1.011,0.8791,10.04,8.214,3.832,4.556,11.96,14.3,23.35,43.11,0.0,1.011,0.8791,10.04,8.214,3.832,4.556,11.96,14.3,23.35,43.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78,12.41,8.029,322.4,7.799,2.799,4.282,3.429,5.048,0.0,9.842E-7,32.9,105.2,143.0,140.1,2.087,0.8387,1.33,1.062,1.455,0.0,0.0,4.7989999999999994E8,109200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218E-4,0.0,191000.0,60090.0,33600.0,18430.0,893300.0,45790.0,12960.0,9510.0,11040.0,11260.0,0.0,2.683E-8,3.424E-10,3.376E-33,9.705E-34,6.418E-34,4.724000000000001E-34,1.818E-32,2.431E-34,9.142E-33,5.0840000000000006E-34,0.01,0.0,5.334,29.5,70.14,26.22,4.628,1.297,4.049,3.617,5.05,5.885,0.0,0.5457,9.033,4.552,1.816,12.58,1.19,0.7765,0.2466,0.4886,0.2406,
0.0,97.33,366.2,563.1,345.3,0.7213,23.22,41.09,37.84,50.04,58.6,0.0,1.08,0.9079,9.942,8.211,3.832,4.556,11.88,8.597,19.33,52.92,0.0,1.08,0.9079,9.942,8.211,3.832,4.556,11.88,8.597,19.33,52.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.91,12.34,7.951,316.7,7.726,2.747,4.242,3.38,4.987,0.0,3.089E-5,33.34,104.8,141.7,139.9,2.105,0.9172,1.352,1.109,1.472,0.0,0.0,4.7979999999999994E8,233200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,191000.0,63220.0,33930.0,18210.0,881600.0,41620.0,13330.0,9411.0,11200.0,11220.0,0.0,2.326E-8,1.313E-9,3.355E-33,9.644E-34,6.417000000000001E-34,4.707E-34,1.818E-32,2.4250000000000003E-34,9.141E-33,5.081E-34,0.01,0.0,4.32,30.87,69.78,26.22,4.625,1.297,4.05,3.803,4.895,5.853,0.0,0.5839,8.99,4.559,1.81,12.48,1.189,0.7767,0.2296,0.5021,0.2415,
0.0,97.42,366.8,549.7,364.4,0.7226,22.99,41.16,37.84,50.08,58.61,0.0,1.087,0.9424,9.806,8.332,3.794,4.529,11.88,8.596,19.33,52.92,0.0,1.087,0.9424,9.806,8.332,3.794,4.529,11.88,8.596,19.33,52.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.87,12.33,7.962,316.7,7.721,2.759,4.243,3.388,4.994,0.0,1.038E-6,37.4,105.3,131.1,139.1,2.026,0.8375,1.342,1.063,1.459,0.0,0.0,4.7979999999999994E8,233200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234E-4,0.0,191000.0,61250.0,33650.0,18840.0,872600.0,38340.0,12970.0,9431.0,11070.0,11360.0,0.0,2.81E-8,8.275E-10,3.3309999999999996E-33,9.638E-34,6.415E-34,4.6480000000000005E-34,1.817E-32,2.42E-34,9.141E-33,5.079E-34,0.01,0.0,4.329,31.17,68.79,26.95,4.614,1.243,4.05,3.803,4.895,5.853,0.0,0.5868,8.996,4.521,1.837,12.45,1.182,0.7766,0.2291,0.5018,0.2411,
