R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,protonEn,solubleMarker,volume,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,4.3E-6,0.0,0.0,0.0,37000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,1.0,3.4E-5,0.0,0.0,0.0,61000.0,1.0,5.0E8,
3.2E-36,2.7,3199999.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,3199999.9999999995,36.0,0.0,0.0,0.0,5.0,1.4E-4,0.0,0.0,0.0,84000.0,1.0,5.0E8,
2.5E-34,11.0,3199999.9999999995,120000.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3399999.9999999995,110.0,0.98,0.98,0.0,8.0,0.0012,0.0,0.0,0.0,110000.0,1.0,5.0E8,
1.8999999999999998E-35,0.85,3199999.9999999995,3400.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,8.5,0.23,0.23,0.0,10.0,1.4E-4,0.0,0.0,0.0,120000.0,1.0,5.0E8,
1.8999999999999998E-35,0.85,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3199999.9999999995,8.5,0.23,0.23,0.0,11.0,2.6E-4,0.0,0.0,0.0,130000.0,1.0,5.0E8,
1.8999999999999998E-35,0.85,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.4,0.23,0.23,0.0,14.0,4.5E-4,0.0,0.0,0.0,150000.0,1.0,5.0E8,
1.8999999999999998E-35,0.85,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.4,0.23,0.23,0.0,14.0,7.7E-4,0.0,0.0,0.0,160000.0,1.0,5.0E8,
1.8999999999999998E-35,0.84,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.4,0.23,0.23,0.0,17.0,0.0013,0.0,0.0,0.0,180000.0,1.0,5.0E8,
1.8999999999999998E-35,0.84,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.4,0.23,0.23,0.0,19.0,0.002,0.0,0.0,0.0,190000.0,1.0,5.0E8,
1.8999999999999998E-35,0.84,3099999.9999999995,3400.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.3,0.23,0.23,0.0,21.0,0.0031,0.0,0.0,0.0,210000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.3,0.23,0.23,0.0,22.0,0.0047,0.0,0.0,0.0,220000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.3,0.23,0.23,0.0,25.0,0.0061,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.3,0.23,0.23,0.0,25.0,0.0051,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.23,0.23,0.0,27.0,0.0053,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.23,0.23,0.0,28.0,0.0064,0.0,0.0,0.0,230000.0,1.0,5.0E8,
1.7999999999999998E-35,0.83,3099999.9999999995,3300.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.23,0.23,0.0,29.0,0.0082,0.0,0.0,0.0,240000.0,1.0,5.0E8,
1.7999999999999998E-35,0.82,2999999.9999999995,3300.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3099999.9999999995,8.2,0.23,0.23,0.0,31.0,0.011,0.0,0.0,0.0,260000.0,1.0,5.0E8,
