entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
0.2357,0.2279,0.01748,0.004153,0.003137,0.005731,0.002495,0.001803,0.001402,0.00156,0.001604,0.9606,
0.2355,0.2284,0.01744,0.004154,0.003137,0.005713,0.002495,0.001803,0.001402,0.00156,0.001604,0.9607,
0.2354,0.2283,0.01744,0.004154,0.003136,0.005694,0.002495,0.001803,0.001402,0.00156,0.001603,0.9607,
0.2353,0.2279,0.01744,0.004153,0.003135,0.005689,0.002493,0.001803,0.001402,0.001559,0.001603,0.9607,
0.2406,0.2229,0.0174,0.00415,0.003133,0.005684,0.00249,0.001801,0.0014,0.001558,0.002497,0.9599,
0.2416,0.2219,0.0174,0.004149,0.003132,0.005683,0.00249,0.001801,0.0014,0.001557,0.002685,0.9597,
0.2415,0.2216,0.01737,0.004149,0.003131,0.005677,0.002488,0.001801,0.0014,0.001557,0.002684,0.9597,
0.2414,0.2239,0.01735,0.004149,0.003131,0.005677,0.002488,0.001801,0.0014,0.001557,0.002684,0.9598,
0.2413,0.224,0.01733,0.004149,0.003131,0.005677,0.002488,0.001801,0.0014,0.001557,0.002685,0.9598,
0.2411,0.2254,0.01729,0.004149,0.003131,0.005678,0.002488,0.001801,0.0014,0.001557,0.002685,0.9598,
0.241,0.2256,0.01725,0.004149,0.003131,0.005678,0.002488,0.001801,0.0014,0.001557,0.002685,0.9599,
0.241,0.2256,0.01725,0.004149,0.003131,0.005678,0.002488,0.001801,0.0014,0.001557,0.002685,0.9599,
0.2409,0.225,0.01723,0.004149,0.003132,0.005678,0.002488,0.001801,0.0014,0.001557,0.002685,0.9599,
0.2439,0.2217,0.01722,0.004147,0.00313,0.005656,0.002486,0.0018,0.001399,0.001556,0.003244,0.9594,
0.2439,0.2217,0.01722,0.004147,0.00313,0.005656,0.002486,0.0018,0.001399,0.001556,0.003244,0.9594,
0.2437,0.221,0.0172,0.004147,0.00313,0.005656,0.002467,0.001795,0.001393,0.001556,0.003244,0.9594,
0.2437,0.221,0.0172,0.004147,0.00313,0.005656,0.002467,0.001795,0.001393,0.001556,0.003244,0.9594,
0.2431,0.2216,0.01718,0.004147,0.00313,0.005656,0.002374,0.001795,0.001393,0.001556,0.003244,0.9595,
0.243,0.2217,0.01716,0.004147,0.00313,0.005656,0.002374,0.001795,0.001393,0.001556,0.003244,0.9595,
0.2451,0.2193,0.01738,0.004146,0.003129,0.005655,0.002374,0.001795,0.001393,0.001556,0.003473,0.9591,
0.2449,0.2196,0.01732,0.004146,0.003129,0.005655,0.002374,0.001795,0.001393,0.001556,0.003473,0.9592,
0.2447,0.2232,0.01728,0.004147,0.003129,0.005655,0.002374,0.001795,0.001393,0.001556,0.003473,0.9592,
0.2464,0.2206,0.01727,0.004145,0.003128,0.005653,0.002287,0.00178,0.001392,0.001555,0.003887,0.9589,
0.2463,0.2207,0.01725,0.004145,0.003128,0.005653,0.002287,0.00178,0.001393,0.001555,0.003887,0.9589,
0.2455,0.2216,0.01721,0.004145,0.003128,0.005653,0.002181,0.00178,0.001393,0.001555,0.003887,0.9591,
0.2454,0.2216,0.01719,0.004145,0.003128,0.005654,0.002181,0.001781,0.001393,0.001555,0.003887,0.9591,
0.2472,0.2169,0.01739,0.004144,0.003127,0.005633,0.002181,0.00178,0.001392,0.001555,0.004102,0.9587,
0.2472,0.2169,0.01739,0.004144,0.003127,0.005633,0.002181,0.00178,0.001392,0.001555,0.004102,0.9587,
0.2472,0.2159,0.01739,0.004144,0.003127,0.005633,0.002181,0.00178,0.001392,0.001555,0.004102,0.9587,
0.2471,0.2161,0.01735,0.004145,0.003128,0.005634,0.002181,0.00178,0.001392,0.001555,0.004102,0.9587,
0.2469,0.2163,0.01731,0.004145,0.003128,0.005634,0.002181,0.00178,0.001392,0.001555,0.004102,0.9588,
0.2509,0.2205,0.01728,0.00415,0.003133,0.00563,0.002224,0.001734,0.001415,0.001757,0.004594,0.9581,
0.2507,0.2215,0.01723,0.004154,0.003141,0.005612,0.002224,0.001734,0.001415,0.001757,0.004593,0.9581,
0.254,0.2165,0.01719,0.004159,0.003142,0.005608,0.002222,0.001733,0.001414,0.001756,0.005251,0.9575,
0.254,0.2181,0.01718,0.004152,0.003157,0.005608,0.002222,0.001733,0.001414,0.001756,0.005251,0.9575,
0.2533,0.2244,0.01709,0.004173,0.003159,0.005671,0.003343,6.125E-4,0.001414,0.002028,0.004979,0.9575,
0.2546,0.2171,0.01703,0.004176,0.003161,0.005679,0.003341,6.122E-4,0.001414,0.002027,0.005259,0.9573,
0.2554,0.2211,0.01702,0.004181,0.003166,0.005678,0.00334,6.121E-4,0.001451,0.002029,0.005355,0.9572,
0.2565,0.2194,0.017,0.004188,0.003168,0.005659,0.003359,5.928E-4,0.00145,0.002029,0.005607,0.9569,
0.2587,0.2192,0.017,0.00417,0.003185,0.005656,0.003357,6.482E-4,0.001394,0.002028,0.006038,0.9565,
0.2614,0.2156,0.01694,0.004173,0.00319,0.005688,0.003379,6.479E-4,0.001369,0.002027,0.006592,0.956,
0.2613,0.2142,0.01694,0.004166,0.003201,0.00567,0.003379,6.479E-4,0.001413,0.001982,0.006592,0.956,
0.2615,0.2176,0.01681,0.004158,0.003213,0.005785,0.003379,6.863E-4,0.001375,0.002038,0.006536,0.956,
0.2614,0.2312,0.01681,0.004159,0.00322,0.005785,0.003349,0.001413,6.481E-4,0.002082,0.006492,0.956,
0.2608,0.2315,0.01679,0.004171,0.003226,0.005786,0.00335,0.001453,6.273E-4,0.002063,0.006358,0.9562,
0.2613,0.2328,0.01679,0.00417,0.0032,0.005785,0.003349,0.001453,6.272E-4,0.002062,0.006509,0.9561,
0.2614,0.2334,0.01678,0.004176,0.003203,0.005785,0.003349,0.001453,6.272E-4,0.002106,0.006465,0.9561,
0.265,0.2373,0.01676,0.004167,0.003213,0.005781,0.003371,0.001428,6.268E-4,0.002105,0.007223,0.9553,
0.265,0.2295,0.01675,0.00416,0.003227,0.005781,0.003371,0.001428,6.268E-4,0.002105,0.007223,0.9553,
