RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xPM,
4368000.0,1038000.0,783700.0,1432000.0,623400.0,450500.0,350300.0,389700.0,400700.0,2.3999999999999997E8,
4358000.0,1038000.0,783600.0,1427000.0,623300.0,450500.0,350200.0,389700.0,400600.0,2.3999999999999997E8,
4358000.0,1038000.0,783500.0,1423000.0,623300.0,450500.0,350200.0,389600.0,400600.0,2.3999999999999997E8,
4356000.0,1038000.0,783200.0,1421000.0,622700.0,450400.0,350100.0,389500.0,400500.0,2.3999999999999997E8,
4351000.0,1038000.0,783200.0,1421000.0,622700.0,450400.0,350100.0,389500.0,624400.0,2.3999999999999997E8,
4351000.0,1038000.0,783200.0,1421000.0,622700.0,450400.0,350100.0,389500.0,671400.0,2.3999999999999997E8,
4344000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4339000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4334000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4324000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4313000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4313000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4308000.0,1037000.0,783000.0,1420000.0,622000.0,450300.0,350100.0,389300.0,671300.0,2.3999999999999997E8,
4308000.0,1037000.0,782900.0,1415000.0,622000.0,450300.0,350000.0,389200.0,811500.0,2.3999999999999997E8,
4308000.0,1037000.0,782900.0,1415000.0,622000.0,450300.0,350000.0,389200.0,811500.0,2.3999999999999997E8,
4303000.0,1037000.0,782900.0,1415000.0,617200.0,449100.0,348500.0,389200.0,811500.0,2.3999999999999997E8,
4303000.0,1037000.0,782900.0,1415000.0,617200.0,449100.0,348500.0,389200.0,811500.0,2.3999999999999997E8,
4298000.0,1037000.0,782900.0,1415000.0,593900.0,449100.0,348500.0,389200.0,811500.0,2.3999999999999997E8,
4293000.0,1037000.0,782900.0,1415000.0,593900.0,449100.0,348500.0,389200.0,811500.0,2.3999999999999997E8,
4349000.0,1037000.0,782900.0,1415000.0,593900.0,449100.0,348500.0,389200.0,868900.0,2.3999999999999997E8,
4333000.0,1037000.0,782900.0,1415000.0,593900.0,449100.0,348500.0,389200.0,868900.0,2.3999999999999997E8,
4323000.0,1037000.0,782900.0,1415000.0,593900.0,449100.0,348500.0,389200.0,868900.0,2.3999999999999997E8,
4323000.0,1037000.0,782900.0,1415000.0,572300.0,445600.0,348500.0,389200.0,972900.0,2.3999999999999997E8,
