cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,373.2,693.8,324.0,7.087,30.76,39.53,36.31,50.96,59.21,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.7634,9.818,8.214,2.684,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,10.69,7.076,335.4,3.172,2.85,3.602,3.247,4.875,0.0,0.0,21.98,26.86,234.0,128.2,0.4818,0.6876,1.126,0.8766,1.183,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,50270.0,19290.0,19350.0,988000.0,10070.0,13140.0,8062.0,10610.0,11150.0,0.0,0.0,6.590000000000001E-34,2.914E-33,1.097E-33,4.685E-34,1.4429999999999999E-33,1.8240000000000002E-32,2.2180000000000003E-34,9.135999999999999E-33,5.167000000000001E-34,0.01,0.0,0.0,28.39,75.38,29.26,3.96,2.009,3.882,3.645,4.98,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-5,9.161,4.927,2.016,12.98,1.073,0.7809,0.2136,0.489,0.2288,
0.0,6.323,371.6,688.0,340.5,3.618,30.76,39.59,36.3,50.97,59.21,0.0,0.2384,0.7634,9.729,8.065,2.68,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7634,9.729,8.065,2.68,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11,10.69,7.089,336.3,3.179,2.85,3.612,3.25,4.882,0.0,2.366E-6,23.49,31.68,212.1,130.3,0.4696,0.6468,1.109,0.8516,1.171,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,16.83,47790.0,18370.0,17410.0,926500.0,9621.0,12280.0,7596.0,10010.0,10530.0,0.0,9.136E-37,6.590000000000001E-34,2.894E-33,1.105E-33,4.683E-34,1.429E-33,1.815E-32,2.786E-34,9.169E-33,5.164E-34,0.01,0.0,0.3947,28.39,75.07,29.18,3.95,2.009,3.884,3.643,4.979,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.155,4.91,2.014,12.97,1.073,0.7794,0.2141,0.4888,0.2287,
0.0,6.323,370.4,686.2,363.6,1.071,30.77,39.6,36.3,50.97,59.21,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,10.69,7.096,335.4,3.146,2.856,3.607,3.25,4.87,0.0,2.366E-6,24.71,33.44,188.9,132.1,0.4681,0.6248,1.101,0.8365,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283E-4,0.0,16.83,47260.0,18200.0,16080.0,902700.0,9531.0,11940.0,7387.0,9762.0,10330.0,0.0,9.136E-37,6.5890000000000005E-34,2.888E-33,1.094E-33,4.681000000000001E-34,1.41E-33,1.815E-32,2.781E-34,9.169E-33,5.161E-34,0.01,0.0,0.3947,28.39,75.07,29.18,3.939,2.009,3.884,3.643,4.978,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.15,4.909,2.014,12.98,1.073,0.7795,0.2142,0.4889,0.2288,
0.0,6.323,370.6,687.9,374.5,0.8284,30.77,39.6,36.3,50.97,59.21,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06,10.68,7.037,332.6,3.135,2.832,3.573,3.224,4.836,0.0,2.366E-6,24.52,31.82,178.0,132.4,0.4682,0.628,1.101,0.8381,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,16.83,48190.0,18550.0,15720.0,912600.0,9706.0,12000.0,7443.0,9851.0,10470.0,0.0,9.136E-37,6.588E-34,2.882E-33,1.086E-33,4.681000000000001E-34,1.3969999999999999E-33,1.815E-32,2.777E-34,9.169E-33,5.159E-34,0.01,0.0,0.3947,28.39,75.07,29.18,3.939,2.009,3.884,3.643,4.978,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.15,4.909,2.014,12.98,1.073,0.7794,0.2141,0.4889,0.2287,
0.0,6.323,370.7,689.3,385.0,0.7528,30.76,39.58,36.3,50.96,59.21,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7633,9.729,8.064,2.643,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.04,10.68,7.035,331.7,3.108,2.827,3.567,3.217,4.819,0.0,2.366E-6,24.39,30.43,167.5,132.4,0.4686,0.6442,1.101,0.8465,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024E-4,0.0,16.83,50560.0,19430.0,15740.0,950400.0,10160.0,12400.0,7715.0,10210.0,10920.0,0.0,9.136E-37,6.588E-34,2.872E-33,1.073E-33,4.681000000000001E-34,1.379E-33,1.815E-32,2.772E-34,9.168E-33,5.157E-34,0.01,0.0,0.3947,28.39,75.07,29.18,3.939,2.009,3.884,3.643,4.978,5.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.15,4.909,2.014,12.98,1.073,0.7795,0.2141,0.4889,0.2288,
0.0,6.323,370.7,690.1,390.2,0.7371,30.76,39.57,36.3,50.95,59.21,0.0,0.2384,0.7631,9.729,8.063,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7631,9.729,8.063,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,10.67,6.869,330.3,3.097,2.743,3.484,3.136,4.721,0.0,2.366E-6,24.42,29.56,162.4,132.5,0.469,0.6634,1.101,0.8562,1.161,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,16.83,52720.0,20220.0,15870.0,987600.0,10570.0,12740.0,7932.0,10520.0,11280.0,0.0,9.136E-37,6.587E-34,2.8649999999999998E-33,1.064E-33,4.681000000000001E-34,1.367E-33,1.814E-32,2.768E-34,9.168E-33,5.155E-34,0.01,0.0,0.3947,28.39,75.07,29.17,3.94,2.009,3.884,3.643,4.978,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.15,4.909,2.013,12.98,1.073,0.7787,0.2134,0.4882,0.2279,
0.0,6.323,370.2,687.3,394.8,0.7277,30.76,39.52,36.3,50.93,59.21,0.0,0.2384,0.7618,9.672,8.062,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7618,9.672,8.062,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.99,11.58,6.639,318.2,3.04,2.623,3.346,3.013,4.558,0.0,2.366E-6,24.53,28.98,157.6,132.5,0.47,0.7044,1.101,0.8774,1.162,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.217E-4,0.0,16.83,55370.0,21210.0,15550.0,990700.0,10430.0,12890.0,7833.0,10530.0,11110.0,0.0,9.136E-37,6.548E-34,2.833E-33,1.051E-33,4.681000000000001E-34,1.3499999999999999E-33,1.814E-32,2.762E-34,9.168E-33,5.1520000000000005E-34,0.01,0.0,0.3947,28.34,74.67,29.15,3.94,2.009,3.884,3.643,4.978,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.149,4.924,2.012,12.97,1.073,0.7787,0.2133,0.4882,0.2278,
0.0,6.323,370.0,687.5,398.7,0.724,30.76,39.48,36.29,50.91,59.21,0.0,0.2384,0.7618,9.672,8.062,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.2384,0.7618,9.672,8.062,2.646,7.274,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.99,11.57,6.594,316.4,3.037,2.6,3.324,2.991,4.532,0.0,2.366E-6,24.69,28.79,153.7,132.5,0.471,0.7452,1.102,0.8985,1.163,0.0,0.0,4.7999999999999994E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.173E-4,0.0,30.76,57470.0,21990.0,15550.0,1002000.0,10330.0,13110.0,7860.0,10630.0,11060.0,0.0,9.136E-37,6.548E-34,2.825E-33,1.042E-33,4.681000000000001E-34,1.339E-33,1.814E-32,2.7580000000000003E-34,9.168E-33,5.151E-34,0.01,0.0,0.3947,28.34,74.67,29.15,3.94,2.009,3.884,3.643,4.978,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668,9.149,4.924,2.012,12.97,1.073,0.7787,0.2133,0.4882,0.2279,
0.0,6.344,369.6,680.6,415.3,0.7202,30.74,39.4,36.29,50.87,59.21,0.0,0.2448,0.7618,9.291,8.443,2.646,7.269,16.77,15.59,34.38,26.1,0.0,0.2448,0.7618,9.291,8.443,2.646,7.269,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.95,11.56,6.535,312.7,2.999,2.572,3.285,2.959,4.481,0.0,2.374E-6,25.06,28.69,144.1,132.5,0.4729,0.8223,1.102,0.9384,1.166,0.0,0.0,4.7999999999999994E8,575.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165E-4,0.0,35.82,60700.0,23080.0,15830.0,1039000.0,10540.0,13640.0,8110.0,11010.0,11390.0,0.0,9.147E-37,6.547E-34,2.812E-33,1.034E-33,4.681000000000001E-34,1.323E-33,1.814E-32,2.752E-34,9.168E-33,5.148E-34,0.01,0.0,0.3961,28.34,74.33,29.49,3.94,2.007,3.884,3.643,4.978,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02058,9.149,4.915,2.02,12.97,1.07,0.778,0.2133,0.4882,0.2278,
0.0,10.96,370.3,679.0,429.2,0.7217,30.72,39.47,36.29,50.91,59.21,0.0,0.5016,0.7618,9.171,8.312,2.646,7.262,16.77,15.59,34.38,26.1,0.0,0.5016,0.7618,9.171,8.312,2.646,7.262,16.77,15.59,34.38,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,11.55,6.446,309.0,2.993,2.526,3.24,2.915,4.429,0.0,3.763E-6,24.4,28.11,127.8,132.5,0.4712,0.7531,1.102,0.9026,1.164,0.0,0.0,4.7999999999999994E8,575.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,53.02,59030.0,22540.0,15260.0,1027000.0,10690.0,13340.0,8065.0,10880.0,11590.0,0.0,2.255E-36,6.547E-34,2.801E-33,1.024E-33,4.681000000000001E-34,1.311E-33,1.8130000000000001E-32,2.746E-34,9.168E-33,5.146E-34,0.01,0.0,0.6263,28.34,74.22,29.38,3.94,2.005,3.884,3.643,4.978,5.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001,9.149,4.912,2.018,12.97,1.066,0.7779,0.2133,0.4882,0.2278,
