entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.6916,0.3455,0.007017,0.006688,0.006261,0.009112,0.005725,0.002505,0.002219,0.009753,0.005976,0.1208,0.824,
0.6913,0.34,0.007001,0.006688,0.006245,0.009094,0.005713,0.002502,0.002219,0.009753,0.005976,0.1208,0.824,
0.6908,0.3457,0.006997,0.006685,0.006245,0.009063,0.005645,0.002499,0.002219,0.009753,0.005976,0.1208,0.8241,
0.6909,0.3365,0.006994,0.006682,0.006242,0.009032,0.005587,0.002498,0.002218,0.00975,0.005974,0.1211,0.8239,
0.6882,0.3384,0.006991,0.006678,0.006201,0.009002,0.005163,0.002485,0.002211,0.009736,0.005969,0.1212,0.8244,
0.688,0.3451,0.006991,0.006678,0.006202,0.008982,0.005128,0.002485,0.002211,0.009736,0.005969,0.1212,0.8245,
0.6877,0.3408,0.006991,0.006679,0.006202,0.008944,0.005116,0.002482,0.002211,0.009736,0.005969,0.1212,0.8245,
0.6891,0.3339,0.007149,0.006674,0.006202,0.008928,0.005009,0.002482,0.002211,0.009736,0.006384,0.1207,0.8245,
0.6892,0.3329,0.007136,0.006672,0.006199,0.008897,0.00494,0.00248,0.00221,0.009733,0.006381,0.1211,0.8242,
0.6888,0.3321,0.007135,0.006669,0.006163,0.008882,0.004912,0.00248,0.00221,0.009733,0.006381,0.1211,0.8243,
0.6885,0.3241,0.007135,0.006669,0.006163,0.008873,0.004872,0.002477,0.00221,0.009733,0.006381,0.1211,0.8244,
0.6884,0.3392,0.007113,0.006668,0.006164,0.008871,0.004872,0.002477,0.00221,0.009733,0.006381,0.1211,0.8244,
0.6889,0.3299,0.007125,0.006662,0.006163,0.008828,0.004832,0.002475,0.002209,0.009733,0.006681,0.1208,0.8245,
0.6888,0.3172,0.007143,0.006661,0.006161,0.008763,0.004789,0.002475,0.002209,0.009734,0.006807,0.1207,0.8245,
0.6885,0.3158,0.007132,0.006654,0.006158,0.008753,0.004751,0.002472,0.002209,0.009734,0.006807,0.1207,0.8246,
0.6879,0.3144,0.007123,0.006638,0.006111,0.008683,0.004637,0.002459,0.002209,0.009731,0.006805,0.1211,0.8245,
0.6872,0.3162,0.007123,0.006638,0.006084,0.008644,0.004569,0.002459,0.002209,0.009731,0.006805,0.1211,0.8246,
0.6869,0.314,0.007122,0.006638,0.006084,0.008597,0.004548,0.002454,0.002205,0.009732,0.006805,0.1211,0.8247,
0.6874,0.315,0.007184,0.006635,0.006082,0.008578,0.004506,0.00245,0.002205,0.00973,0.006935,0.1211,0.8246,
0.6852,0.3193,0.007181,0.006622,0.006082,0.008554,0.00414,0.002442,0.0022,0.009729,0.006934,0.1211,0.825,
0.6858,0.3191,0.007211,0.006622,0.006082,0.008554,0.00414,0.002442,0.0022,0.009729,0.007079,0.121,0.825,
0.6862,0.3106,0.007254,0.006619,0.006081,0.008527,0.004119,0.002439,0.0022,0.009728,0.007186,0.121,0.8249,
0.6884,0.3047,0.007378,0.006609,0.006076,0.008494,0.004118,0.002438,0.002199,0.009724,0.007549,0.121,0.8244,
0.6883,0.3026,0.007378,0.006609,0.006076,0.008475,0.004117,0.002437,0.002198,0.009724,0.007549,0.121,0.8244,
0.6883,0.3,0.00741,0.006604,0.006048,0.008453,0.004057,0.002437,0.002198,0.009724,0.007705,0.1209,0.8245,
0.6893,0.2984,0.007518,0.006604,0.006048,0.008444,0.004056,0.002437,0.002198,0.009724,0.007891,0.1207,0.8244,
0.6898,0.2982,0.007531,0.006599,0.006048,0.008434,0.004044,0.002434,0.002198,0.009724,0.008129,0.1205,0.8244,
0.6901,0.3046,0.007508,0.006588,0.006044,0.008401,0.003992,0.002433,0.002197,0.009719,0.008125,0.121,0.824,
0.69,0.3006,0.007507,0.006588,0.006044,0.008372,0.003992,0.002433,0.002197,0.009719,0.008125,0.121,0.824,
0.6911,0.293,0.007575,0.006588,0.006044,0.008335,0.003972,0.002428,0.002192,0.009719,0.008538,0.1206,0.824,
0.6912,0.2951,0.007566,0.006582,0.00604,0.008294,0.003923,0.002425,0.002188,0.009715,0.008535,0.1209,0.8238,
0.6923,0.2925,0.00773,0.006582,0.006044,0.008285,0.003929,0.002452,0.002154,0.009832,0.008502,0.121,0.8235,
0.6919,0.2967,0.007718,0.00658,0.006054,0.008269,0.003908,0.002406,0.00219,0.01013,0.008164,0.121,0.8236,
0.6914,0.3021,0.007666,0.006578,0.006031,0.008278,0.00397,0.002355,0.002194,0.01046,0.00779,0.121,0.8237,
0.6914,0.3062,0.007595,0.006576,0.006042,0.008345,0.003989,0.00235,0.002193,0.01057,0.00773,0.1209,0.8237,
0.6923,0.3098,0.007635,0.006589,0.006043,0.008307,0.004002,0.002337,0.002353,0.01076,0.00762,0.1206,0.8237,
0.6926,0.3107,0.007692,0.006584,0.00605,0.008272,0.004002,0.002348,0.002377,0.01072,0.007682,0.1206,0.8237,
0.6921,0.3121,0.007662,0.006607,0.006057,0.008263,0.004001,0.002336,0.002399,0.01101,0.007244,0.1207,0.8237,
0.6919,0.3171,0.007649,0.006607,0.00606,0.00825,0.004001,0.002347,0.002451,0.01098,0.007061,0.121,0.8236,
0.6924,0.3135,0.007688,0.006594,0.006068,0.008235,0.003975,0.002348,0.002445,0.01109,0.007193,0.1207,0.8237,
0.6921,0.3268,0.007669,0.006604,0.006073,0.008201,0.003966,0.002355,0.002461,0.0111,0.007154,0.1207,0.8237,
0.6933,0.3232,0.007669,0.006611,0.006075,0.008153,0.003935,0.002347,0.002461,0.01113,0.007382,0.1209,0.8233,
0.6937,0.3139,0.007689,0.006614,0.006082,0.008152,0.003934,0.002347,0.002473,0.0112,0.007366,0.1209,0.8232,
0.6942,0.3202,0.007724,0.006617,0.006086,0.008141,0.003922,0.002343,0.002473,0.01144,0.007235,0.1209,0.8231,
0.6936,0.3184,0.007714,0.006615,0.006062,0.008122,0.003912,0.002341,0.00247,0.01164,0.006981,0.1209,0.8232,
0.6958,0.3095,0.007877,0.006631,0.006065,0.008071,0.003911,0.002367,0.002442,0.01171,0.007344,0.1207,0.8228,
0.6962,0.3069,0.007901,0.006631,0.006074,0.008052,0.003879,0.002366,0.002434,0.01181,0.00746,0.1205,0.8229,
0.6963,0.3169,0.007785,0.006631,0.006084,0.008118,0.003849,0.002365,0.002439,0.01182,0.007377,0.1209,0.8226,
0.6953,0.3125,0.007755,0.00664,0.006081,0.008042,0.003774,0.002362,0.002439,0.01184,0.007362,0.1208,0.8229,
0.6946,0.3105,0.007748,0.006642,0.006042,0.008005,0.003811,0.002325,0.00245,0.01206,0.007063,0.1209,0.8229,
0.694,0.3075,0.007717,0.006636,0.006047,0.007958,0.003753,0.002322,0.002451,0.01206,0.007064,0.1209,0.8231,
0.6934,0.3083,0.007695,0.006655,0.006052,0.007902,0.003721,0.002322,0.002463,0.01214,0.006977,0.1209,0.8232,
0.6943,0.3043,0.007838,0.006662,0.006056,0.007863,0.003705,0.002322,0.002487,0.0122,0.007056,0.1207,0.8231,
0.6947,0.3084,0.007818,0.00667,0.006046,0.007915,0.003705,0.002334,0.002475,0.01229,0.00707,0.1206,0.8231,
0.6944,0.31,0.007802,0.00667,0.006055,0.007883,0.003705,0.002334,0.002496,0.01236,0.006933,0.1207,0.8231,
0.6943,0.3057,0.007788,0.006667,0.00606,0.00786,0.003716,0.002321,0.002505,0.01245,0.006729,0.121,0.8229,
0.6941,0.3101,0.007777,0.006669,0.006069,0.007835,0.003726,0.002318,0.002569,0.01248,0.006634,0.1209,0.823,
0.6948,0.3096,0.007904,0.006674,0.006027,0.007805,0.003695,0.002318,0.002625,0.0125,0.006764,0.1207,0.823,
0.6944,0.3179,0.007889,0.006658,0.006014,0.007756,0.003695,0.002318,0.002648,0.01256,0.006682,0.1207,0.8231,
0.6944,0.315,0.007867,0.006668,0.006018,0.007717,0.003695,0.002335,0.002687,0.0126,0.006557,0.1209,0.823,
0.6943,0.3143,0.007841,0.006689,0.006023,0.007699,0.003703,0.002326,0.00269,0.01263,0.006501,0.1209,0.823,
0.6951,0.3155,0.007849,0.006678,0.006034,0.007738,0.003677,0.002359,0.002656,0.01276,0.006565,0.1209,0.8228,
0.6953,0.3238,0.007835,0.006683,0.006037,0.007749,0.003673,0.002347,0.002673,0.01286,0.006524,0.1209,0.8228,
0.6954,0.3113,0.00787,0.006697,0.006028,0.00774,0.003635,0.002357,0.002646,0.01302,0.006496,0.1207,0.8228,
0.6948,0.3101,0.007844,0.006689,0.006045,0.007708,0.003571,0.002367,0.002648,0.01301,0.006471,0.1207,0.8229,
0.696,0.3077,0.007795,0.006681,0.006053,0.007784,0.003562,0.002344,0.002647,0.01303,0.006673,0.1208,0.8226,
0.6962,0.3089,0.007788,0.006675,0.006061,0.007746,0.003561,0.00237,0.002658,0.01315,0.006618,0.1208,0.8226,
0.6962,0.3071,0.007806,0.006681,0.006063,0.007709,0.003492,0.002367,0.00267,0.0132,0.006716,0.1207,0.8226,
0.6967,0.3083,0.007871,0.006691,0.006072,0.007669,0.003476,0.002355,0.002697,0.01351,0.006445,0.1208,0.8224,
0.6962,0.3112,0.007753,0.006691,0.006052,0.007745,0.003464,0.002364,0.002684,0.01358,0.006381,0.1208,0.8225,
0.6972,0.321,0.007867,0.00669,0.006061,0.007695,0.003468,0.002342,0.002748,0.01355,0.006514,0.1207,0.8224,
0.6978,0.31,0.007868,0.006707,0.006069,0.007706,0.003468,0.002342,0.002757,0.01367,0.006579,0.1205,0.8223,
0.6977,0.3072,0.007861,0.006701,0.006083,0.007687,0.003456,0.002339,0.002757,0.01368,0.006567,0.1205,0.8223,
0.6985,0.3076,0.007955,0.006711,0.006086,0.007669,0.003429,0.002362,0.002731,0.0137,0.006733,0.1203,0.8223,
0.6982,0.3128,0.007929,0.006714,0.00606,0.007662,0.003417,0.002371,0.002761,0.01369,0.006698,0.1203,0.8224,
0.6987,0.321,0.00786,0.006711,0.006057,0.007713,0.003425,0.002361,0.00276,0.01377,0.006608,0.1208,0.822,
0.6985,0.3133,0.007853,0.006708,0.006068,0.007684,0.003413,0.002374,0.00281,0.01374,0.006565,0.1208,0.822,
0.6981,0.3133,0.00783,0.00672,0.006079,0.007664,0.003408,0.002336,0.002822,0.01382,0.006468,0.1208,0.8221,
0.6976,0.3248,0.007799,0.006735,0.006085,0.007578,0.003738,0.002005,0.002857,0.01382,0.00644,0.1208,0.8222,
0.6979,0.3132,0.007808,0.006745,0.00609,0.007479,0.003688,0.001999,0.002904,0.01385,0.006557,0.1208,0.8221,
0.6976,0.3149,0.007752,0.00675,0.006095,0.007563,0.00444,0.001247,0.002949,0.01392,0.006511,0.1207,0.8221,
0.6983,0.3113,0.007698,0.006756,0.006099,0.007605,0.004425,0.001261,0.002977,0.01396,0.006717,0.1204,0.8221,
0.7016,0.3096,0.007857,0.006757,0.00607,0.007706,0.004423,0.00126,0.003017,0.01394,0.007242,0.1202,0.8216,
0.7022,0.3057,0.007894,0.006751,0.006077,0.007647,0.004432,0.001248,0.003029,0.01399,0.007449,0.1199,0.8216,
0.7027,0.3106,0.008042,0.006753,0.006083,0.007628,0.004408,0.001248,0.003063,0.014,0.007409,0.1199,0.8215,
0.7027,0.3058,0.008019,0.006755,0.00609,0.007648,0.004426,0.001249,0.003055,0.01409,0.007302,0.1199,0.8215,
0.7039,0.3143,0.008068,0.006743,0.006099,0.007618,0.004412,0.001245,0.003049,0.01423,0.007143,0.1206,0.8207,
0.7021,0.3212,0.008056,0.006742,0.006112,0.007608,0.004099,0.001231,0.003049,0.01429,0.007088,0.1206,0.8211,
0.7006,0.3195,0.00803,0.006749,0.006117,0.007585,0.003849,0.001269,0.003023,0.0143,0.007066,0.1206,0.8214,
0.7001,0.3183,0.008012,0.006739,0.006122,0.00753,0.003822,0.001262,0.003045,0.01432,0.007026,0.1207,0.8215,
0.7012,0.312,0.008141,0.006746,0.006101,0.007491,0.003804,0.001273,0.00304,0.01431,0.007354,0.1203,0.8214,
0.7012,0.3144,0.00805,0.006748,0.006108,0.007535,0.003747,0.001269,0.003048,0.01436,0.00728,0.1206,0.8212,
0.7006,0.3178,0.007961,0.006742,0.006095,0.00757,0.003722,0.001293,0.003024,0.01451,0.007102,0.1207,0.8213,
0.7,0.3284,0.00793,0.006755,0.006104,0.007542,0.00369,0.001288,0.003015,0.01467,0.006942,0.1206,0.8214,
0.7002,0.3231,0.007953,0.00675,0.006113,0.007486,0.003691,0.001288,0.003083,0.01472,0.006935,0.1205,0.8214,
0.7,0.3241,0.007899,0.006768,0.006124,0.00748,0.003643,0.001287,0.0031,0.01482,0.006811,0.1206,0.8214,
0.7006,0.3233,0.007946,0.006764,0.00613,0.007467,0.003623,0.001316,0.003071,0.01503,0.006756,0.1206,0.8213,
