entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8676,0.4048,0.01126,0.008891,0.009364,0.01003,0.00746,0.004838,0.003542,0.005856,0.008246,0.1865,0.744,
0.867,0.4074,0.01126,0.008891,0.009325,0.01003,0.007358,0.004838,0.003542,0.005856,0.008246,0.1865,0.7441,
0.8676,0.4089,0.0113,0.008891,0.009325,0.01003,0.007304,0.004838,0.003542,0.005856,0.008472,0.1863,0.7441,
0.8678,0.41,0.01132,0.008877,0.009322,0.01002,0.007093,0.00483,0.003542,0.005855,0.008881,0.1859,0.7444,
0.8671,0.4095,0.01132,0.008877,0.009322,0.01002,0.006953,0.004817,0.003542,0.005855,0.008881,0.1859,0.7445,
0.8668,0.4085,0.01132,0.008877,0.009323,0.01001,0.006914,0.004817,0.003542,0.005855,0.008881,0.1859,0.7446,
0.8674,0.4085,0.01131,0.008868,0.009273,0.009981,0.006907,0.004812,0.003539,0.005849,0.008872,0.1867,0.7439,
0.8667,0.405,0.01131,0.008836,0.009273,0.009956,0.006802,0.004813,0.003538,0.00585,0.008872,0.1867,0.744,
0.8667,0.3908,0.01131,0.008836,0.009273,0.009956,0.006802,0.004813,0.003538,0.00585,0.008872,0.1867,0.744,
0.8657,0.3978,0.01129,0.008824,0.009269,0.009939,0.006622,0.004813,0.003538,0.00585,0.008872,0.1867,0.7442,
0.8653,0.3932,0.01129,0.008823,0.009269,0.009932,0.006548,0.004813,0.003538,0.00585,0.008872,0.1867,0.7443,
0.8649,0.4017,0.01128,0.008818,0.009265,0.009917,0.006503,0.004813,0.003538,0.005849,0.008872,0.1867,0.7444,
0.8656,0.3948,0.01138,0.008812,0.009193,0.009905,0.006425,0.004812,0.003537,0.005848,0.009107,0.1867,0.7443,
0.8667,0.3894,0.01144,0.008795,0.009147,0.009891,0.00636,0.004808,0.003533,0.005848,0.009634,0.1862,0.7444,
0.8665,0.3916,0.01143,0.00879,0.009142,0.009872,0.006236,0.004806,0.003531,0.005845,0.009629,0.1866,0.7441,
0.8677,0.3706,0.01154,0.008791,0.009143,0.009827,0.006203,0.004797,0.003526,0.005845,0.01004,0.1862,0.7441,
0.867,0.369,0.01154,0.00879,0.00909,0.009802,0.006125,0.004798,0.003526,0.005845,0.01004,0.1862,0.7442,
