RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3633000.0,2869000.0,3021000.0,3237000.0,2407000.0,1561000.0,1143000.0,1890000.0,2660000.0,6.018E7,2.4009999999999997E8,
3633000.0,2869000.0,3009000.0,3237000.0,2374000.0,1561000.0,1143000.0,1890000.0,2660000.0,6.018E7,2.4009999999999997E8,
3648000.0,2869000.0,3009000.0,3237000.0,2357000.0,1561000.0,1143000.0,1890000.0,2734000.0,6.011E7,2.4009999999999997E8,
3652000.0,2864000.0,3008000.0,3233000.0,2289000.0,1558000.0,1143000.0,1889000.0,2865000.0,5.997E7,2.4019999999999997E8,
3652000.0,2864000.0,3008000.0,3233000.0,2243000.0,1554000.0,1143000.0,1889000.0,2865000.0,5.997E7,2.4019999999999997E8,
3652000.0,2864000.0,3008000.0,3228000.0,2231000.0,1554000.0,1143000.0,1889000.0,2865000.0,5.997E7,2.4019999999999997E8,
3652000.0,2864000.0,2995000.0,3224000.0,2231000.0,1554000.0,1143000.0,1889000.0,2865000.0,6.03E7,2.4019999999999997E8,
3651000.0,2854000.0,2995000.0,3215000.0,2197000.0,1554000.0,1143000.0,1889000.0,2865000.0,6.03E7,2.4029999999999997E8,
3651000.0,2854000.0,2995000.0,3215000.0,2197000.0,1554000.0,1143000.0,1889000.0,2865000.0,6.03E7,2.4029999999999997E8,
3647000.0,2849000.0,2993000.0,3209000.0,2138000.0,1554000.0,1143000.0,1889000.0,2865000.0,6.03E7,2.4029999999999997E8,
3645000.0,2849000.0,2993000.0,3207000.0,2114000.0,1554000.0,1143000.0,1889000.0,2865000.0,6.03E7,2.4039999999999997E8,
3644000.0,2847000.0,2992000.0,3202000.0,2100000.0,1554000.0,1142000.0,1889000.0,2865000.0,6.03E7,2.4039999999999997E8,
3677000.0,2846000.0,2969000.0,3199000.0,2075000.0,1554000.0,1142000.0,1889000.0,2941000.0,6.03E7,2.4039999999999997E8,
3694000.0,2840000.0,2954000.0,3194000.0,2054000.0,1553000.0,1141000.0,1889000.0,3111000.0,6.013E7,2.4039999999999997E8,
3694000.0,2840000.0,2954000.0,3190000.0,2015000.0,1553000.0,1141000.0,1889000.0,3111000.0,6.03E7,2.4039999999999997E8,
3730000.0,2840000.0,2954000.0,3175000.0,2004000.0,1550000.0,1139000.0,1889000.0,3243000.0,6.017E7,2.4039999999999997E8,
3729000.0,2840000.0,2937000.0,3167000.0,1979000.0,1550000.0,1139000.0,1889000.0,3243000.0,6.017E7,2.4049999999999997E8,
3803000.0,2840000.0,2937000.0,3157000.0,1979000.0,1550000.0,1139000.0,1889000.0,3313000.0,6.01E7,2.4039999999999997E8,
3800000.0,2838000.0,2937000.0,3128000.0,1979000.0,1550000.0,1139000.0,1889000.0,3313000.0,6.01E7,2.4039999999999997E8,
3800000.0,2835000.0,2921000.0,3117000.0,1979000.0,1550000.0,1139000.0,1888000.0,3313000.0,6.03E7,2.4039999999999997E8,
3828000.0,2835000.0,2921000.0,3113000.0,1950000.0,1549000.0,1138000.0,1888000.0,3421000.0,6.019E7,2.4039999999999997E8,
3817000.0,2834000.0,2920000.0,3100000.0,1936000.0,1548000.0,1137000.0,1888000.0,3421000.0,6.03E7,2.4039999999999997E8,
3917000.0,2834000.0,2920000.0,3090000.0,1924000.0,1547000.0,1136000.0,1888000.0,3504000.0,6.022E7,2.4029999999999997E8,
3926000.0,2834000.0,2919000.0,3087000.0,1877000.0,1543000.0,1133000.0,1888000.0,3673000.0,6.03E7,2.4039999999999997E8,
3923000.0,2833000.0,2919000.0,3067000.0,1864000.0,1543000.0,1133000.0,1888000.0,3673000.0,6.03E7,2.4039999999999997E8,
3920000.0,2832000.0,2919000.0,3060000.0,1864000.0,1543000.0,1133000.0,1888000.0,3673000.0,6.03E7,2.4039999999999997E8,
3917000.0,2832000.0,2918000.0,3045000.0,1864000.0,1543000.0,1133000.0,1888000.0,3672000.0,6.03E7,2.4039999999999997E8,
3914000.0,2831000.0,2918000.0,3043000.0,1864000.0,1543000.0,1133000.0,1888000.0,3672000.0,6.03E7,2.4039999999999997E8,
3931000.0,2822000.0,2916000.0,3040000.0,1787000.0,1537000.0,1132000.0,1884000.0,3682000.0,6.03E7,2.4049999999999997E8,
3931000.0,2816000.0,2909000.0,3040000.0,1767000.0,1537000.0,1132000.0,1884000.0,3682000.0,6.03E7,2.4049999999999997E8,
3915000.0,2816000.0,2913000.0,3030000.0,1771000.0,1537000.0,1132000.0,1878000.0,3682000.0,6.03E7,2.4049999999999997E8,
3913000.0,2812000.0,2918000.0,3030000.0,1772000.0,1530000.0,1167000.0,1958000.0,3566000.0,6.03E7,2.4049999999999997E8,
3904000.0,2815000.0,2919000.0,3025000.0,1775000.0,1546000.0,1147000.0,2011000.0,3513000.0,6.03E7,2.4049999999999997E8,
3890000.0,2822000.0,2908000.0,2998000.0,1761000.0,1531000.0,1145000.0,2037000.0,3484000.0,6.03E7,2.4049999999999997E8,
3861000.0,2828000.0,2910000.0,2985000.0,1761000.0,1535000.0,1151000.0,2080000.0,3393000.0,6.032E7,2.4049999999999997E8,
3888000.0,2827000.0,2911000.0,2980000.0,1736000.0,1525000.0,1668000.0,1754000.0,3253000.0,6.026E7,2.4049999999999997E8,
3866000.0,2831000.0,2914000.0,2986000.0,1752000.0,1514000.0,1655000.0,1768000.0,3239000.0,6.03E7,2.4059999999999997E8,
3859000.0,2834000.0,2918000.0,2977000.0,1758000.0,1508000.0,1670000.0,1780000.0,3212000.0,6.03E7,2.4059999999999997E8,
3809000.0,2835000.0,2866000.0,2994000.0,1758000.0,1514000.0,1664000.0,1833000.0,3159000.0,6.03E7,2.4059999999999997E8,
3801000.0,2836000.0,2868000.0,3025000.0,1756000.0,1516000.0,1651000.0,1964000.0,3089000.0,6.023E7,2.4059999999999997E8,
3798000.0,2835000.0,2871000.0,3016000.0,1744000.0,1510000.0,1651000.0,2042000.0,3012000.0,6.03E7,2.4059999999999997E8,
3794000.0,2833000.0,2873000.0,3016000.0,1744000.0,1510000.0,1651000.0,2060000.0,2994000.0,6.03E7,2.4059999999999997E8,
3807000.0,2834000.0,2877000.0,3004000.0,2279000.0,974800.0,1651000.0,2177000.0,2909000.0,6.027E7,2.4059999999999997E8,
3763000.0,2837000.0,2881000.0,3033000.0,2274000.0,966200.0,1642000.0,2177000.0,2909000.0,6.027E7,2.4059999999999997E8,
3730000.0,2838000.0,2884000.0,3061000.0,2274000.0,973300.0,1635000.0,2229000.0,2857000.0,6.03E7,2.4059999999999997E8,
3686000.0,2838000.0,2887000.0,3087000.0,2266000.0,962300.0,1635000.0,2270000.0,2816000.0,6.03E7,2.4059999999999997E8,
3677000.0,2834000.0,2890000.0,3087000.0,2266000.0,968300.0,1629000.0,2317000.0,2769000.0,6.03E7,2.4059999999999997E8,
3691000.0,2839000.0,2892000.0,3084000.0,2254000.0,955400.0,1627000.0,2380000.0,2759000.0,6.026E7,2.4059999999999997E8,
3640000.0,2839000.0,2893000.0,3114000.0,2221000.0,961400.0,1620000.0,2407000.0,2731000.0,6.03E7,2.4059999999999997E8,
3629000.0,2841000.0,2896000.0,3096000.0,2221000.0,953700.0,1620000.0,2489000.0,2649000.0,6.03E7,2.4069999999999997E8,
3583000.0,2846000.0,2888000.0,3131000.0,2220000.0,947100.0,1633000.0,2493000.0,2610000.0,6.032E7,2.4069999999999997E8,
3608000.0,2843000.0,2892000.0,3127000.0,2214000.0,946100.0,1640000.0,2543000.0,2771000.0,6.01E7,2.4069999999999997E8,
3606000.0,2846000.0,2894000.0,3130000.0,2201000.0,946100.0,1640000.0,2583000.0,2879000.0,5.995E7,2.4069999999999997E8,
3594000.0,2857000.0,2894000.0,3121000.0,2138000.0,946100.0,1650000.0,2652000.0,2783000.0,5.997E7,2.4069999999999997E8,
3586000.0,2858000.0,2899000.0,3118000.0,2130000.0,940400.0,1650000.0,2718000.0,2716000.0,5.997E7,2.4069999999999997E8,
3578000.0,2855000.0,2901000.0,3112000.0,2122000.0,940400.0,1664000.0,2752000.0,2668000.0,5.997E7,2.4069999999999997E8,
3584000.0,2861000.0,2903000.0,3112000.0,2118000.0,931800.0,1668000.0,2804000.0,2599000.0,6.031E7,2.4069999999999997E8,
3581000.0,2856000.0,2868000.0,3111000.0,2090000.0,925600.0,1668000.0,2837000.0,2566000.0,6.031E7,2.4079999999999997E8,
3577000.0,2856000.0,2868000.0,3104000.0,2053000.0,937200.0,1655000.0,2950000.0,2453000.0,6.031E7,2.4089999999999997E8,
3541000.0,2857000.0,2869000.0,3133000.0,2038000.0,1913000.0,673500.0,2977000.0,2426000.0,6.031E7,2.4089999999999997E8,
3556000.0,2858000.0,2871000.0,3133000.0,2024000.0,1902000.0,683200.0,3015000.0,2442000.0,6.025E7,2.4089999999999997E8,
3548000.0,2862000.0,2874000.0,3129000.0,2018000.0,1893000.0,683200.0,3057000.0,2400000.0,6.025E7,2.4089999999999997E8,
