RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3645000.0,2870000.0,3036000.0,3232000.0,2397000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.03E7,2.3999999999999997E8,
3686000.0,2870000.0,3036000.0,3232000.0,2397000.0,1562000.0,1144000.0,1890000.0,2796000.0,6.016E7,2.3999999999999997E8,
3685000.0,2870000.0,3034000.0,3221000.0,2372000.0,1560000.0,1142000.0,1888000.0,2796000.0,6.03E7,2.3999999999999997E8,
3700000.0,2870000.0,3033000.0,3205000.0,2356000.0,1560000.0,1141000.0,1888000.0,2833000.0,6.026E7,2.3999999999999997E8,
3719000.0,2870000.0,3032000.0,3201000.0,2356000.0,1560000.0,1141000.0,1888000.0,2865000.0,6.03E7,2.3999999999999997E8,
3765000.0,2870000.0,3032000.0,3191000.0,2356000.0,1560000.0,1141000.0,1888000.0,2889000.0,6.028E7,2.3999999999999997E8,
3763000.0,2861000.0,3026000.0,3191000.0,2356000.0,1560000.0,1141000.0,1888000.0,2889000.0,6.028E7,2.3999999999999997E8,
3762000.0,2860000.0,3026000.0,3174000.0,2356000.0,1560000.0,1141000.0,1888000.0,3086000.0,6.008E7,2.3999999999999997E8,
3761000.0,2860000.0,3026000.0,3160000.0,2350000.0,1558000.0,1141000.0,1888000.0,3228000.0,5.994E7,2.3999999999999997E8,
3761000.0,2860000.0,3026000.0,3155000.0,2350000.0,1558000.0,1141000.0,1888000.0,3228000.0,5.994E7,2.3999999999999997E8,
3756000.0,2859000.0,3025000.0,3141000.0,2349000.0,1558000.0,1141000.0,1888000.0,3228000.0,5.994E7,2.3999999999999997E8,
3756000.0,2859000.0,3025000.0,3141000.0,2327000.0,1558000.0,1141000.0,1888000.0,3228000.0,5.994E7,2.3999999999999997E8,
3756000.0,2858000.0,3025000.0,3138000.0,2327000.0,1558000.0,1141000.0,1888000.0,3228000.0,5.994E7,2.3999999999999997E8,
3755000.0,2858000.0,3025000.0,3130000.0,2327000.0,1558000.0,1141000.0,1887000.0,3228000.0,6.03E7,2.3999999999999997E8,
3753000.0,2857000.0,3025000.0,3123000.0,2327000.0,1558000.0,1141000.0,1887000.0,3314000.0,6.021E7,2.3999999999999997E8,
3752000.0,2853000.0,3024000.0,3118000.0,2308000.0,1555000.0,1139000.0,1887000.0,3314000.0,6.021E7,2.3999999999999997E8,
3749000.0,2850000.0,3023000.0,3111000.0,2303000.0,1554000.0,1138000.0,1887000.0,3314000.0,6.03E7,2.3999999999999997E8,
3749000.0,2850000.0,3023000.0,3107000.0,2295000.0,1554000.0,1138000.0,1887000.0,3314000.0,6.03E7,2.3999999999999997E8,
3749000.0,2850000.0,3023000.0,3097000.0,2295000.0,1554000.0,1138000.0,1887000.0,3314000.0,6.03E7,2.3999999999999997E8,
3780000.0,2846000.0,3021000.0,3097000.0,2262000.0,1553000.0,1137000.0,1887000.0,3375000.0,6.024E7,2.3999999999999997E8,
3777000.0,2842000.0,3019000.0,3097000.0,2245000.0,1553000.0,1137000.0,1887000.0,3375000.0,6.024E7,2.4009999999999997E8,
3774000.0,2841000.0,3017000.0,3088000.0,2226000.0,1552000.0,1135000.0,1887000.0,3375000.0,6.03E7,2.4009999999999997E8,
3774000.0,2841000.0,2988000.0,3074000.0,2195000.0,1550000.0,1135000.0,1886000.0,3375000.0,6.03E7,2.4009999999999997E8,
3787000.0,2840000.0,2987000.0,3058000.0,2177000.0,1550000.0,1135000.0,1886000.0,3469000.0,6.021E7,2.4009999999999997E8,
3775000.0,2840000.0,2987000.0,3058000.0,2164000.0,1549000.0,1134000.0,1886000.0,3469000.0,6.03E7,2.4019999999999997E8,
3775000.0,2840000.0,2987000.0,3054000.0,2152000.0,1549000.0,1134000.0,1886000.0,3468000.0,6.03E7,2.4019999999999997E8,
3775000.0,2840000.0,2987000.0,3054000.0,2144000.0,1549000.0,1134000.0,1886000.0,3468000.0,6.03E7,2.4019999999999997E8,
3770000.0,2838000.0,2987000.0,3050000.0,2132000.0,1549000.0,1134000.0,1886000.0,3468000.0,6.03E7,2.4019999999999997E8,
3779000.0,2837000.0,2985000.0,3040000.0,2111000.0,1549000.0,1134000.0,1886000.0,3536000.0,6.03E7,2.4019999999999997E8,
