RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3519000.0,2865000.0,3035000.0,3242000.0,2412000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.4009999999999997E8,
3487000.0,2865000.0,3035000.0,3242000.0,2412000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.03E7,2.4019999999999997E8,
3403000.0,2853000.0,3034000.0,3239000.0,2395000.0,1562000.0,1144000.0,1890000.0,2660000.0,6.03E7,2.4029999999999997E8,
3397000.0,2847000.0,3018000.0,3230000.0,2376000.0,1562000.0,1144000.0,1890000.0,2660000.0,6.03E7,2.4029999999999997E8,
3358000.0,2840000.0,3018000.0,3225000.0,2358000.0,1561000.0,1144000.0,1890000.0,2660000.0,6.03E7,2.4039999999999997E8,
3224000.0,2831000.0,3012000.0,3209000.0,2357000.0,1560000.0,1144000.0,1889000.0,2660000.0,6.03E7,2.4049999999999997E8,
3190000.0,2831000.0,3012000.0,3201000.0,2341000.0,1560000.0,1144000.0,1889000.0,2660000.0,6.03E7,2.4059999999999997E8,
3236000.0,2831000.0,3012000.0,3188000.0,2336000.0,1559000.0,1142000.0,1889000.0,2725000.0,6.03E7,2.4049999999999997E8,
3237000.0,2828000.0,3011000.0,3188000.0,2332000.0,1559000.0,1142000.0,1889000.0,2777000.0,6.025E7,2.4059999999999997E8,
3301000.0,2828000.0,3011000.0,3188000.0,2322000.0,1559000.0,1142000.0,1889000.0,2845000.0,6.018E7,2.4049999999999997E8,
3324000.0,2827000.0,3011000.0,3188000.0,2308000.0,1559000.0,1142000.0,1889000.0,3099000.0,5.993E7,2.4049999999999997E8,
3254000.0,2822000.0,2994000.0,3184000.0,2294000.0,1559000.0,1142000.0,1889000.0,3099000.0,5.993E7,2.4059999999999997E8,
3073000.0,2818000.0,2992000.0,3180000.0,2288000.0,1557000.0,1142000.0,1889000.0,3099000.0,5.993E7,2.4079999999999997E8,
2974000.0,2810000.0,2989000.0,3165000.0,2260000.0,1557000.0,1142000.0,1889000.0,3099000.0,5.993E7,2.4089999999999997E8,
2972000.0,2809000.0,2989000.0,3158000.0,2203000.0,1556000.0,1141000.0,1889000.0,3099000.0,5.993E7,2.4099999999999997E8,
2929000.0,2806000.0,2989000.0,3158000.0,2170000.0,1553000.0,1141000.0,1889000.0,3099000.0,5.993E7,2.4109999999999997E8,
2826000.0,2789000.0,2989000.0,3153000.0,2135000.0,1552000.0,1139000.0,1889000.0,3099000.0,5.993E7,2.4119999999999997E8,
2800000.0,2786000.0,2988000.0,3130000.0,2135000.0,1552000.0,1139000.0,1889000.0,3099000.0,5.993E7,2.4119999999999997E8,
2800000.0,2785000.0,2988000.0,3102000.0,2118000.0,1552000.0,1139000.0,1889000.0,3099000.0,5.993E7,2.4129999999999997E8,
2800000.0,2785000.0,2988000.0,3097000.0,2118000.0,1552000.0,1139000.0,1889000.0,3099000.0,6.03E7,2.4129999999999997E8,
2799000.0,2785000.0,2967000.0,3089000.0,2118000.0,1552000.0,1139000.0,1889000.0,3099000.0,6.03E7,2.4129999999999997E8,
2785000.0,2783000.0,2967000.0,3085000.0,2109000.0,1551000.0,1139000.0,1888000.0,3099000.0,6.03E7,2.4129999999999997E8,
2815000.0,2780000.0,2966000.0,3084000.0,2093000.0,1551000.0,1139000.0,1888000.0,3276000.0,6.012E7,2.4129999999999997E8,
2855000.0,2776000.0,2966000.0,3075000.0,2070000.0,1550000.0,1139000.0,1888000.0,3339000.0,6.03E7,2.4129999999999997E8,
2855000.0,2776000.0,2966000.0,3070000.0,2053000.0,1550000.0,1138000.0,1888000.0,3339000.0,6.03E7,2.4129999999999997E8,
2837000.0,2776000.0,2966000.0,3070000.0,2030000.0,1547000.0,1138000.0,1888000.0,3339000.0,6.03E7,2.4129999999999997E8,
2771000.0,2774000.0,2944000.0,3060000.0,1978000.0,1547000.0,1138000.0,1888000.0,3339000.0,6.03E7,2.4139999999999997E8,
2771000.0,2772000.0,2943000.0,3044000.0,1943000.0,1544000.0,1137000.0,1888000.0,3339000.0,6.03E7,2.4149999999999997E8,
2791000.0,2771000.0,2943000.0,3027000.0,1922000.0,1544000.0,1137000.0,1888000.0,3389000.0,6.025E7,2.4149999999999997E8,
2791000.0,2771000.0,2930000.0,3027000.0,1906000.0,1544000.0,1137000.0,1888000.0,3389000.0,6.025E7,2.4149999999999997E8,
2785000.0,2771000.0,2935000.0,3027000.0,1904000.0,1546000.0,1143000.0,1949000.0,3278000.0,6.032E7,2.4149999999999997E8,
2778000.0,2777000.0,2937000.0,3023000.0,1897000.0,1547000.0,1150000.0,2041000.0,3153000.0,6.034E7,2.4149999999999997E8,
2772000.0,2778000.0,2942000.0,3023000.0,1889000.0,1549000.0,1143000.0,2147000.0,3046000.0,6.03E7,2.4149999999999997E8,
2756000.0,2778000.0,2945000.0,3036000.0,2164000.0,1274000.0,1143000.0,2239000.0,2955000.0,6.03E7,2.4149999999999997E8,
2750000.0,2781000.0,2946000.0,3028000.0,2176000.0,1266000.0,1139000.0,2296000.0,2897000.0,6.03E7,2.4149999999999997E8,
2749000.0,2781000.0,2948000.0,3024000.0,2178000.0,1257000.0,1139000.0,2386000.0,3007000.0,6.01E7,2.4159999999999997E8,
2694000.0,2779000.0,2951000.0,3038000.0,2189000.0,1255000.0,1129000.0,2413000.0,2980000.0,6.03E7,2.4159999999999997E8,
2720000.0,2777000.0,2955000.0,3055000.0,2174000.0,1263000.0,1122000.0,2419000.0,3140000.0,6.013E7,2.4159999999999997E8,
2761000.0,2779000.0,2944000.0,3046000.0,2169000.0,1265000.0,1117000.0,2511000.0,3098000.0,6.024E7,2.4149999999999997E8,
2759000.0,2774000.0,2947000.0,3036000.0,2154000.0,1260000.0,1139000.0,2535000.0,3051000.0,6.024E7,2.4159999999999997E8,
2837000.0,2770000.0,2953000.0,3030000.0,2160000.0,1260000.0,1139000.0,2774000.0,2957000.0,6.018E7,2.4149999999999997E8,
2877000.0,2774000.0,2955000.0,3021000.0,2160000.0,1266000.0,1133000.0,2792000.0,3128000.0,5.999E7,2.4139999999999997E8,
2872000.0,2778000.0,2955000.0,3018000.0,2170000.0,1247000.0,1133000.0,2851000.0,3050000.0,6.03E7,2.4139999999999997E8,
2893000.0,2777000.0,2956000.0,3016000.0,2153000.0,1251000.0,1131000.0,2895000.0,3031000.0,6.027E7,2.4139999999999997E8,
2823000.0,2778000.0,2938000.0,3018000.0,2156000.0,1248000.0,1131000.0,2895000.0,3031000.0,6.03E7,2.4149999999999997E8,
2805000.0,2780000.0,2940000.0,3013000.0,2155000.0,1248000.0,1130000.0,2926000.0,2999000.0,6.03E7,2.4149999999999997E8,
2797000.0,2782000.0,2943000.0,3017000.0,2155000.0,1254000.0,1130000.0,2975000.0,2944000.0,6.03E7,2.4149999999999997E8,
2826000.0,2787000.0,2945000.0,3012000.0,2155000.0,1254000.0,1130000.0,2996000.0,2946000.0,6.028E7,2.4149999999999997E8,
2848000.0,2793000.0,2947000.0,3022000.0,2151000.0,1259000.0,1123000.0,3041000.0,2943000.0,6.024E7,2.4139999999999997E8,
2823000.0,2796000.0,2949000.0,3037000.0,2139000.0,1264000.0,1117000.0,3051000.0,2933000.0,6.024E7,2.4149999999999997E8,
2805000.0,2799000.0,2950000.0,3027000.0,2131000.0,1264000.0,1117000.0,3051000.0,2968000.0,6.02E7,2.4149999999999997E8,
2774000.0,2793000.0,2951000.0,3026000.0,2131000.0,1264000.0,1117000.0,3063000.0,2956000.0,6.03E7,2.4149999999999997E8,
2741000.0,2793000.0,2953000.0,3026000.0,2137000.0,1810000.0,564800.0,3139000.0,2880000.0,6.03E7,2.4149999999999997E8,
2681000.0,2789000.0,2955000.0,3018000.0,2115000.0,1820000.0,567300.0,3179000.0,2968000.0,6.016E7,2.4159999999999997E8,
2675000.0,2791000.0,2958000.0,3014000.0,2129000.0,1806000.0,567300.0,3244000.0,2903000.0,6.016E7,2.4159999999999997E8,
2669000.0,2789000.0,2961000.0,3014000.0,2119000.0,1805000.0,571400.0,3235000.0,2903000.0,6.016E7,2.4159999999999997E8,
2644000.0,2789000.0,2964000.0,3014000.0,2080000.0,1804000.0,571400.0,3318000.0,2820000.0,6.03E7,2.4169999999999997E8,
2641000.0,2789000.0,2967000.0,3010000.0,2047000.0,1796000.0,582600.0,3328000.0,2799000.0,6.03E7,2.4169999999999997E8,
2661000.0,2789000.0,2971000.0,3010000.0,2445000.0,1367000.0,581100.0,3345000.0,2822000.0,6.026E7,2.4169999999999997E8,
2660000.0,2789000.0,2975000.0,3014000.0,2432000.0,1355000.0,587100.0,3378000.0,2830000.0,6.025E7,2.4179999999999997E8,
2656000.0,2789000.0,2962000.0,2992000.0,2410000.0,1358000.0,587000.0,3401000.0,2800000.0,6.025E7,2.4179999999999997E8,
2686000.0,2793000.0,2963000.0,2988000.0,2404000.0,1352000.0,607000.0,3440000.0,2787000.0,6.031E7,2.4179999999999997E8,
2699000.0,2790000.0,2966000.0,2970000.0,2374000.0,1364000.0,603500.0,3448000.0,2867000.0,6.021E7,2.4179999999999997E8,
2692000.0,2791000.0,2967000.0,2961000.0,2380000.0,1363000.0,620600.0,3437000.0,2856000.0,6.021E7,2.4179999999999997E8,
2690000.0,2789000.0,2959000.0,2956000.0,2379000.0,1356000.0,624900.0,3550000.0,2736000.0,6.03E7,2.4179999999999997E8,
2679000.0,2798000.0,2961000.0,2956000.0,2302000.0,1344000.0,628000.0,3581000.0,2695000.0,6.03E7,2.4189999999999997E8,
2658000.0,2796000.0,2964000.0,2961000.0,2305000.0,1341000.0,636000.0,3573000.0,2694000.0,6.03E7,2.4189999999999997E8,
2581000.0,2796000.0,2955000.0,3009000.0,2310000.0,1349000.0,643500.0,3563000.0,2682000.0,6.03E7,2.4189999999999997E8,
2573000.0,2802000.0,2957000.0,3005000.0,2309000.0,1349000.0,648200.0,3600000.0,2641000.0,6.03E7,2.4189999999999997E8,
2634000.0,2802000.0,2956000.0,3000000.0,2309000.0,1349000.0,2496000.0,1811000.0,2658000.0,6.022E7,2.4189999999999997E8,
2562000.0,2805000.0,2960000.0,3065000.0,2304000.0,1348000.0,2500000.0,1926000.0,2512000.0,6.025E7,2.4189999999999997E8,
2552000.0,2807000.0,2962000.0,3052000.0,2276000.0,1348000.0,2500000.0,1985000.0,2440000.0,6.031E7,2.4189999999999997E8,
2532000.0,2813000.0,2964000.0,3056000.0,2261000.0,1348000.0,2500000.0,2051000.0,2374000.0,6.031E7,2.4189999999999997E8,
2518000.0,2813000.0,2966000.0,3055000.0,2226000.0,1347000.0,2516000.0,2086000.0,2322000.0,6.03E7,2.4199999999999997E8,
2516000.0,2811000.0,2968000.0,3051000.0,2191000.0,1341000.0,2516000.0,2199000.0,2209000.0,6.03E7,2.4199999999999997E8,
2510000.0,2815000.0,2969000.0,3039000.0,2143000.0,1340000.0,2515000.0,2291000.0,2116000.0,6.03E7,2.4199999999999997E8,
2510000.0,2808000.0,2971000.0,3065000.0,2106000.0,1333000.0,2519000.0,2286000.0,2221000.0,6.019E7,2.4199999999999997E8,
2444000.0,2808000.0,2975000.0,3097000.0,2101000.0,1336000.0,2513000.0,2356000.0,2151000.0,6.019E7,2.4209999999999997E8,
2436000.0,2808000.0,2977000.0,3102000.0,2074000.0,1335000.0,2521000.0,2397000.0,2103000.0,6.019E7,2.4209999999999997E8,
2423000.0,2807000.0,2981000.0,3103000.0,2074000.0,1348000.0,2508000.0,2479000.0,2021000.0,6.019E7,2.4209999999999997E8,
2386000.0,2806000.0,2975000.0,3137000.0,2020000.0,1338000.0,2507000.0,2522000.0,1974000.0,6.019E7,2.4219999999999997E8,
2396000.0,2804000.0,2978000.0,3137000.0,2014000.0,1330000.0,2507000.0,2551000.0,1997000.0,6.025E7,2.4219999999999997E8,
2356000.0,2803000.0,2981000.0,3137000.0,2002000.0,1327000.0,2512000.0,2566000.0,1978000.0,6.025E7,2.4219999999999997E8,
2385000.0,2803000.0,2982000.0,3137000.0,1988000.0,1729000.0,2118000.0,2597000.0,1983000.0,6.02E7,2.4219999999999997E8,
2353000.0,2798000.0,2984000.0,3122000.0,1994000.0,1734000.0,2113000.0,2590000.0,1982000.0,6.02E7,2.4229999999999997E8,
2437000.0,2794000.0,2988000.0,3115000.0,1994000.0,1748000.0,2108000.0,2612000.0,2198000.0,5.996E7,2.4219999999999997E8,
2429000.0,2787000.0,2990000.0,3099000.0,1997000.0,1750000.0,2112000.0,2673000.0,2126000.0,5.996E7,2.4219999999999997E8,
2432000.0,2787000.0,2960000.0,3100000.0,1996000.0,1750000.0,2127000.0,2668000.0,2116000.0,5.996E7,2.4219999999999997E8,
2492000.0,2786000.0,2963000.0,3100000.0,2002000.0,1748000.0,2128000.0,2720000.0,2059000.0,5.996E7,2.4209999999999997E8,
2489000.0,2783000.0,2966000.0,3092000.0,2002000.0,1772000.0,2122000.0,2709000.0,2029000.0,6.032E7,2.4209999999999997E8,
2463000.0,2781000.0,2969000.0,3103000.0,1998000.0,1769000.0,2120000.0,2748000.0,1983000.0,6.03E7,2.4209999999999997E8,
2435000.0,2773000.0,2962000.0,3117000.0,1998000.0,1769000.0,2120000.0,2803000.0,1900000.0,6.033E7,2.4209999999999997E8,
2445000.0,2775000.0,2965000.0,3117000.0,1967000.0,1762000.0,2128000.0,2809000.0,1957000.0,6.025E7,2.4219999999999997E8,
2354000.0,2776000.0,2968000.0,3093000.0,1972000.0,1750000.0,2122000.0,2823000.0,1943000.0,6.025E7,2.4229999999999997E8,
2354000.0,2771000.0,2973000.0,3093000.0,1990000.0,1760000.0,2113000.0,2831000.0,1915000.0,6.03E7,2.4229999999999997E8,
2412000.0,2770000.0,2975000.0,3101000.0,1960000.0,1772000.0,2109000.0,2839000.0,2002000.0,6.02E7,2.4219999999999997E8,
2368000.0,2768000.0,2961000.0,3086000.0,1953000.0,1791000.0,2099000.0,2845000.0,1966000.0,6.022E7,2.4229999999999997E8,
2350000.0,2765000.0,2963000.0,3095000.0,1962000.0,1782000.0,2108000.0,2842000.0,1942000.0,6.024E7,2.4229999999999997E8,
