entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8689,0.4046,0.01112,0.008856,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008694,0.1861,0.744,
0.8672,0.4085,0.01075,0.008849,0.009406,0.009983,0.007489,0.004842,0.003547,0.005856,0.008825,0.1859,0.7445,
0.8659,0.4096,0.01051,0.008848,0.009404,0.009957,0.007445,0.004842,0.003546,0.005856,0.008825,0.186,0.7448,
0.8663,0.4133,0.01065,0.008817,0.009404,0.009957,0.007445,0.004842,0.003546,0.005856,0.008825,0.186,0.7447,
0.8689,0.4076,0.01077,0.008809,0.009395,0.009905,0.007352,0.004833,0.003543,0.005851,0.009431,0.1861,0.744,
0.8691,0.3965,0.01065,0.008803,0.009389,0.009838,0.007096,0.004829,0.00354,0.005847,0.009922,0.1862,0.7438,
0.8703,0.3905,0.01074,0.00879,0.009382,0.009813,0.007056,0.004826,0.003538,0.005843,0.01011,0.1865,0.7434,
0.8678,0.4005,0.01025,0.008785,0.009382,0.009798,0.006978,0.004826,0.003538,0.005843,0.01011,0.1865,0.744,
0.8669,0.3971,0.01032,0.008785,0.009311,0.009743,0.006781,0.004803,0.003537,0.005831,0.01026,0.1864,0.7443,
0.8649,0.3941,0.009949,0.008751,0.009286,0.009717,0.006781,0.004803,0.003537,0.005831,0.01026,0.1864,0.7447,
0.8622,0.392,0.00965,0.008736,0.009282,0.009717,0.006537,0.004782,0.003533,0.005831,0.01026,0.1864,0.7453,
0.8614,0.3721,0.009564,0.008734,0.009281,0.009715,0.006423,0.004767,0.003527,0.00583,0.01026,0.1865,0.7454,
0.8609,0.3657,0.009481,0.008735,0.009227,0.009663,0.006379,0.004767,0.003527,0.00583,0.01045,0.1863,0.7456,
0.8609,0.3589,0.009359,0.008726,0.009224,0.009598,0.006378,0.004767,0.003527,0.00583,0.01076,0.186,0.7458,
0.8614,0.3572,0.009223,0.008706,0.009217,0.009565,0.006311,0.00476,0.003525,0.005827,0.01117,0.186,0.7457,
0.861,0.3589,0.009155,0.00869,0.009214,0.00955,0.006311,0.00476,0.003525,0.005827,0.01117,0.186,0.7458,
0.8599,0.3581,0.008929,0.008672,0.009193,0.009536,0.006262,0.004758,0.003524,0.005825,0.01116,0.1864,0.7458,
0.8586,0.3635,0.008628,0.008672,0.009193,0.009536,0.006262,0.004758,0.003524,0.005825,0.01116,0.1864,0.7461,
0.8583,0.3609,0.008589,0.008672,0.009193,0.009536,0.006239,0.004758,0.003524,0.005825,0.01116,0.1864,0.7461,
0.8581,0.3593,0.008573,0.008671,0.009192,0.009513,0.00615,0.004746,0.003519,0.005825,0.01134,0.1862,0.7463,
0.857,0.3629,0.008367,0.008671,0.009192,0.009503,0.006131,0.004742,0.003514,0.005825,0.01134,0.1862,0.7465,
0.8597,0.3612,0.008657,0.008665,0.009191,0.0095,0.006091,0.004742,0.003514,0.005825,0.01192,0.1856,0.7463,
0.8612,0.3574,0.008737,0.008665,0.009191,0.0095,0.006091,0.004742,0.003514,0.005825,0.01236,0.1852,0.7462,
0.8629,0.3574,0.008697,0.008655,0.00918,0.009489,0.006069,0.004733,0.003506,0.005818,0.01267,0.1858,0.7453,
0.8659,0.351,0.008955,0.008655,0.00918,0.009489,0.006069,0.004733,0.003506,0.005818,0.01339,0.1851,0.7451,
0.8658,0.3515,0.008934,0.008646,0.00918,0.009489,0.006069,0.004733,0.003506,0.005818,0.01339,0.1851,0.7451,
0.865,0.352,0.008866,0.008644,0.009111,0.009451,0.006069,0.004733,0.003506,0.005818,0.01339,0.1851,0.7453,
0.865,0.3477,0.008764,0.008632,0.0091,0.009404,0.00602,0.004718,0.003495,0.005804,0.01338,0.186,0.7447,
0.8644,0.366,0.008646,0.008623,0.009095,0.009404,0.006021,0.004718,0.003495,0.005804,0.01338,0.186,0.7448,
0.864,0.362,0.008591,0.008616,0.009093,0.009404,0.006006,0.004715,0.003491,0.005804,0.01338,0.186,0.7449,
0.8636,0.3569,0.008617,0.008606,0.009065,0.009392,0.005936,0.004713,0.00345,0.005978,0.01326,0.186,0.745,
0.8632,0.3597,0.008542,0.008604,0.009066,0.009392,0.005901,0.004725,0.003438,0.006229,0.01295,0.186,0.7451,
0.8638,0.3623,0.008628,0.008606,0.009073,0.009386,0.005895,0.00469,0.003457,0.006281,0.01297,0.186,0.745,
0.863,0.362,0.00854,0.00859,0.009092,0.009253,0.005963,0.004619,0.003507,0.006526,0.01267,0.186,0.7452,
0.8638,0.3649,0.008563,0.008597,0.0091,0.009253,0.005999,0.004601,0.003469,0.006756,0.01267,0.1858,0.7452,
0.8617,0.3662,0.008036,0.008599,0.009102,0.009352,0.00596,0.004582,0.003469,0.007051,0.01232,0.1859,0.7457,
0.8596,0.3855,0.007985,0.008588,0.009109,0.009352,0.008372,0.002184,0.003525,0.00721,0.01207,0.1859,0.7458,
0.8591,0.3863,0.007967,0.008587,0.009114,0.009318,0.008279,0.002165,0.00355,0.007584,0.01161,0.186,0.7458,
0.859,0.396,0.007942,0.008581,0.009129,0.009318,0.008312,0.002162,0.003519,0.007855,0.0113,0.1861,0.7458,
0.8585,0.3974,0.007914,0.00857,0.009077,0.009295,0.008333,0.00219,0.003465,0.008241,0.0109,0.1861,0.7459,
0.8579,0.3848,0.007781,0.008566,0.009064,0.009244,0.008353,0.002228,0.00341,0.009332,0.009857,0.1859,0.7462,
0.8576,0.3749,0.007768,0.00857,0.009069,0.009236,0.00837,0.002209,0.003441,0.009383,0.009701,0.1861,0.7462,
0.8572,0.3775,0.007763,0.008567,0.00905,0.009222,0.008378,0.002162,0.00344,0.009473,0.009611,0.1861,0.7463,
0.8566,0.3792,0.007687,0.008548,0.009077,0.00925,0.008358,0.002157,0.003459,0.009472,0.009517,0.1861,0.7464,
0.8577,0.3956,0.007802,0.008537,0.009088,0.009192,0.008339,0.002219,0.003378,0.009592,0.009653,0.186,0.7462,
0.857,0.397,0.007706,0.008538,0.009093,0.009189,0.008391,0.003697,0.001846,0.009746,0.009458,0.1861,0.7462,
0.857,0.4011,0.007683,0.008531,0.009106,0.009205,0.008409,0.003679,0.001861,0.00994,0.009249,0.1861,0.7462,
0.8564,0.3907,0.007674,0.008514,0.009132,0.009205,0.008409,0.003703,0.001836,0.009977,0.009016,0.1863,0.7462,
0.8565,0.3905,0.007648,0.008513,0.009142,0.009219,0.008322,0.003722,0.001817,0.01001,0.00916,0.1861,0.7463,
0.8563,0.393,0.007625,0.008526,0.009152,0.009191,0.008322,0.003745,0.001794,0.01014,0.009032,0.1861,0.7464,
0.8572,0.3895,0.007669,0.008522,0.009158,0.009162,0.008321,0.003745,0.001794,0.01063,0.008825,0.1858,0.7463,
0.8563,0.388,0.007446,0.008515,0.009181,0.009215,0.008293,0.003726,0.001794,0.01072,0.008735,0.1858,0.7465,
0.8576,0.3812,0.007544,0.00851,0.009187,0.009197,0.008286,0.003707,0.001793,0.01077,0.009042,0.1855,0.7465,
0.8572,0.3846,0.007468,0.008493,0.009194,0.009224,0.008279,0.003691,0.001793,0.01078,0.009022,0.1855,0.7465,
0.8569,0.3758,0.007348,0.008462,0.00919,0.009339,0.008276,0.003691,0.001814,0.01118,0.0086,0.1855,0.7466,
0.8567,0.3726,0.007334,0.008452,0.009194,0.009316,0.008295,0.003673,0.001814,0.0112,0.008582,0.1855,0.7466,
0.8586,0.3703,0.00736,0.008455,0.009202,0.009302,0.00831,0.003658,0.001814,0.01128,0.009112,0.1849,0.7466,
0.8592,0.3755,0.007344,0.00844,0.009203,0.009265,0.008257,0.003693,0.001767,0.01137,0.008998,0.1859,0.7458,
0.859,0.3786,0.007321,0.008451,0.009214,0.009265,0.008242,0.003689,0.001787,0.01196,0.008382,0.1859,0.7458,
0.8617,0.3721,0.007601,0.008448,0.009228,0.009251,0.00826,0.003669,0.001785,0.01211,0.008735,0.1854,0.7455,
0.8617,0.3726,0.007554,0.008435,0.009189,0.009286,0.008242,0.003676,0.001793,0.01243,0.008371,0.1858,0.7452,
0.8611,0.3648,0.007585,0.008427,0.009198,0.009285,0.008086,0.003707,0.001749,0.0125,0.008338,0.1858,0.7453,
0.8607,0.3677,0.007553,0.008417,0.009199,0.009327,0.00941,0.002234,0.001748,0.01255,0.00871,0.1858,0.7451,
0.8604,0.3677,0.007619,0.008413,0.00921,0.009299,0.009438,0.002106,0.001744,0.01265,0.008662,0.1857,0.7451,
0.8598,0.3754,0.00757,0.008413,0.009216,0.009327,0.009387,0.002093,0.001754,0.01276,0.008488,0.1858,0.7452,
0.8581,0.3827,0.007396,0.008415,0.009223,0.00934,0.009292,0.002059,0.001729,0.01307,0.00816,0.1858,0.7456,
0.858,0.3703,0.007385,0.008413,0.009236,0.009326,0.009326,0.002026,0.001783,0.01319,0.007979,0.1857,0.7456,
0.8587,0.358,0.007476,0.008413,0.00924,0.009285,0.009317,0.002012,0.001801,0.01328,0.00807,0.1855,0.7456,
