RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3588000.0,2857000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2805000.0,6.003E7,2.4009999999999997E8,
3468000.0,2855000.0,3035000.0,3221000.0,2416000.0,1562000.0,1144000.0,1889000.0,2847000.0,5.999E7,2.4019999999999997E8,
3389000.0,2855000.0,3034000.0,3212000.0,2402000.0,1562000.0,1144000.0,1889000.0,2847000.0,5.999E7,2.4029999999999997E8,
3435000.0,2845000.0,3034000.0,3212000.0,2402000.0,1562000.0,1144000.0,1889000.0,2847000.0,5.999E7,2.4029999999999997E8,
3476000.0,2844000.0,3034000.0,3198000.0,2374000.0,1560000.0,1144000.0,1889000.0,3045000.0,6.01E7,2.4019999999999997E8,
3441000.0,2844000.0,3034000.0,3179000.0,2293000.0,1560000.0,1144000.0,1889000.0,3206000.0,6.018E7,2.4039999999999997E8,
3471000.0,2842000.0,3033000.0,3172000.0,2281000.0,1560000.0,1144000.0,1889000.0,3270000.0,6.03E7,2.4029999999999997E8,
3312000.0,2840000.0,3033000.0,3168000.0,2256000.0,1560000.0,1144000.0,1889000.0,3270000.0,6.03E7,2.4049999999999997E8,
3337000.0,2840000.0,3010000.0,3149000.0,2192000.0,1553000.0,1144000.0,1885000.0,3316000.0,6.025E7,2.4059999999999997E8,
3216000.0,2829000.0,3002000.0,3141000.0,2192000.0,1553000.0,1143000.0,1885000.0,3316000.0,6.025E7,2.4069999999999997E8,
3119000.0,2824000.0,3001000.0,3141000.0,2113000.0,1546000.0,1142000.0,1885000.0,3316000.0,6.025E7,2.4089999999999997E8,
3092000.0,2824000.0,3001000.0,3141000.0,2077000.0,1541000.0,1140000.0,1885000.0,3316000.0,6.03E7,2.4099999999999997E8,
3065000.0,2824000.0,2983000.0,3124000.0,2062000.0,1541000.0,1140000.0,1885000.0,3379000.0,6.024E7,2.4099999999999997E8,
3026000.0,2821000.0,2982000.0,3103000.0,2062000.0,1541000.0,1140000.0,1885000.0,3478000.0,6.014E7,2.4109999999999997E8,
2983000.0,2816000.0,2981000.0,3094000.0,2041000.0,1539000.0,1140000.0,1885000.0,3612000.0,6.017E7,2.4119999999999997E8,
2961000.0,2810000.0,2980000.0,3089000.0,2041000.0,1539000.0,1140000.0,1885000.0,3612000.0,6.017E7,2.4119999999999997E8,
2889000.0,2806000.0,2974000.0,3085000.0,2026000.0,1539000.0,1140000.0,1885000.0,3612000.0,6.03E7,2.4129999999999997E8,
2791000.0,2806000.0,2974000.0,3085000.0,2026000.0,1539000.0,1140000.0,1885000.0,3612000.0,6.03E7,2.4139999999999997E8,
2779000.0,2806000.0,2974000.0,3085000.0,2018000.0,1539000.0,1140000.0,1885000.0,3612000.0,6.03E7,2.4139999999999997E8,
2774000.0,2805000.0,2974000.0,3078000.0,1990000.0,1535000.0,1139000.0,1884000.0,3669000.0,6.024E7,2.4139999999999997E8,
2707000.0,2805000.0,2974000.0,3074000.0,1983000.0,1534000.0,1137000.0,1884000.0,3669000.0,6.024E7,2.4149999999999997E8,
2801000.0,2803000.0,2973000.0,3073000.0,1971000.0,1534000.0,1137000.0,1884000.0,3855000.0,6.006E7,2.4139999999999997E8,
2826000.0,2803000.0,2973000.0,3073000.0,1971000.0,1534000.0,1137000.0,1884000.0,3998000.0,5.991E7,2.4139999999999997E8,
2817000.0,2803000.0,2973000.0,3073000.0,1966000.0,1533000.0,1135000.0,1884000.0,4105000.0,6.019E7,2.4139999999999997E8,
2901000.0,2803000.0,2973000.0,3073000.0,1966000.0,1533000.0,1135000.0,1884000.0,4337000.0,5.996E7,2.4129999999999997E8,
2894000.0,2800000.0,2973000.0,3073000.0,1966000.0,1533000.0,1135000.0,1884000.0,4337000.0,5.996E7,2.4129999999999997E8,
2872000.0,2800000.0,2951000.0,3061000.0,1966000.0,1533000.0,1135000.0,1884000.0,4337000.0,5.996E7,2.4139999999999997E8,
2841000.0,2799000.0,2950000.0,3049000.0,1952000.0,1530000.0,1133000.0,1882000.0,4337000.0,6.03E7,2.4139999999999997E8,
2803000.0,2796000.0,2949000.0,3049000.0,1952000.0,1530000.0,1133000.0,1882000.0,4337000.0,6.03E7,2.4149999999999997E8,
2785000.0,2793000.0,2948000.0,3049000.0,1947000.0,1528000.0,1132000.0,1882000.0,4337000.0,6.03E7,2.4149999999999997E8,
2794000.0,2790000.0,2939000.0,3045000.0,1924000.0,1528000.0,1119000.0,1938000.0,4297000.0,6.028E7,2.4149999999999997E8,
2769000.0,2789000.0,2939000.0,3045000.0,1913000.0,1532000.0,1115000.0,2019000.0,4197000.0,6.031E7,2.4159999999999997E8,
2797000.0,2790000.0,2941000.0,3043000.0,1911000.0,1521000.0,1121000.0,2036000.0,4205000.0,6.03E7,2.4149999999999997E8,
2768000.0,2784000.0,2947000.0,2999000.0,1933000.0,1497000.0,1137000.0,2115000.0,4108000.0,6.03E7,2.4159999999999997E8,
2776000.0,2787000.0,2950000.0,2999000.0,1945000.0,1491000.0,1125000.0,2190000.0,4106000.0,6.022E7,2.4159999999999997E8,
2605000.0,2787000.0,2950000.0,3031000.0,1932000.0,1485000.0,1125000.0,2286000.0,3992000.0,6.024E7,2.4169999999999997E8,
2588000.0,2784000.0,2953000.0,3031000.0,2714000.0,707800.0,1143000.0,2337000.0,3911000.0,6.024E7,2.4169999999999997E8,
2583000.0,2783000.0,2954000.0,3021000.0,2684000.0,701800.0,1151000.0,2458000.0,3764000.0,6.03E7,2.4179999999999997E8,
2574000.0,2782000.0,2959000.0,3021000.0,2694000.0,700800.0,1141000.0,2546000.0,3664000.0,6.031E7,2.4179999999999997E8,
2565000.0,2778000.0,2942000.0,3013000.0,2701000.0,710000.0,1123000.0,2671000.0,3532000.0,6.031E7,2.4179999999999997E8,
2522000.0,2776000.0,2938000.0,2996000.0,2707000.0,722000.0,1105000.0,3024000.0,3194000.0,6.026E7,2.4179999999999997E8,
2518000.0,2778000.0,2939000.0,2993000.0,2713000.0,715800.0,1115000.0,3041000.0,3144000.0,6.03E7,2.4179999999999997E8,
2516000.0,2776000.0,2933000.0,2989000.0,2715000.0,700700.0,1115000.0,3070000.0,3115000.0,6.03E7,2.4189999999999997E8,
2491000.0,2770000.0,2941000.0,2997000.0,2708000.0,698900.0,1121000.0,3069000.0,3084000.0,6.03E7,2.4189999999999997E8,
2528000.0,2767000.0,2945000.0,2979000.0,2702000.0,719000.0,1095000.0,3108000.0,3128000.0,6.027E7,2.4179999999999997E8,
2497000.0,2767000.0,2947000.0,2978000.0,2719000.0,1198000.0,598200.0,3159000.0,3065000.0,6.031E7,2.4189999999999997E8,
2490000.0,2765000.0,2951000.0,2983000.0,2725000.0,1192000.0,603000.0,3221000.0,2998000.0,6.031E7,2.4189999999999997E8,
2487000.0,2759000.0,2960000.0,2983000.0,2725000.0,1200000.0,595000.0,3234000.0,2922000.0,6.038E7,2.4189999999999997E8,
2479000.0,2759000.0,2963000.0,2988000.0,2697000.0,1206000.0,588900.0,3246000.0,2969000.0,6.032E7,2.4189999999999997E8,
2471000.0,2763000.0,2966000.0,2979000.0,2697000.0,1214000.0,581400.0,3287000.0,2927000.0,6.032E7,2.4189999999999997E8,
2485000.0,2762000.0,2968000.0,2969000.0,2697000.0,1214000.0,581300.0,3445000.0,2860000.0,6.023E7,2.4189999999999997E8,
2413000.0,2759000.0,2975000.0,2986000.0,2688000.0,1208000.0,581300.0,3474000.0,2831000.0,6.023E7,2.4189999999999997E8,
2445000.0,2758000.0,2977000.0,2980000.0,2685000.0,1201000.0,580900.0,3489000.0,2930000.0,6.011E7,2.4189999999999997E8,
2420000.0,2752000.0,2979000.0,2989000.0,2683000.0,1196000.0,580900.0,3495000.0,2923000.0,6.011E7,2.4189999999999997E8,
2381000.0,2742000.0,2978000.0,3026000.0,2682000.0,1196000.0,587700.0,3624000.0,2787000.0,6.011E7,2.4189999999999997E8,
2376000.0,2738000.0,2979000.0,3019000.0,2688000.0,1190000.0,587700.0,3630000.0,2781000.0,6.011E7,2.4189999999999997E8,
2385000.0,2739000.0,2981000.0,3014000.0,2692000.0,1185000.0,587700.0,3655000.0,2952000.0,5.991E7,2.4189999999999997E8,
2382000.0,2738000.0,2985000.0,3005000.0,2678000.0,1198000.0,573200.0,3688000.0,2919000.0,6.03E7,2.4189999999999997E8,
2375000.0,2741000.0,2989000.0,3005000.0,2673000.0,1197000.0,579800.0,3880000.0,2719000.0,6.03E7,2.4189999999999997E8,
2466000.0,2740000.0,2993000.0,3001000.0,2679000.0,1190000.0,579100.0,3927000.0,2833000.0,6.014E7,2.4179999999999997E8,
2452000.0,2738000.0,2982000.0,3014000.0,2675000.0,1193000.0,582000.0,4035000.0,2717000.0,6.03E7,2.4189999999999997E8,
2462000.0,2735000.0,2985000.0,3014000.0,2624000.0,1203000.0,567500.0,4057000.0,2706000.0,6.03E7,2.4189999999999997E8,
2453000.0,2733000.0,2987000.0,3029000.0,3055000.0,725500.0,567500.0,4074000.0,2828000.0,6.032E7,2.4189999999999997E8,
2474000.0,2732000.0,2990000.0,3019000.0,3065000.0,683700.0,566200.0,4108000.0,2813000.0,6.03E7,2.4189999999999997E8,
2458000.0,2732000.0,2992000.0,3028000.0,3048000.0,679400.0,569500.0,4145000.0,2756000.0,6.032E7,2.4199999999999997E8,
2401000.0,2732000.0,2995000.0,3032000.0,3017000.0,668700.0,561400.0,4242000.0,2650000.0,6.032E7,2.4209999999999997E8,
2398000.0,2731000.0,2999000.0,3028000.0,3028000.0,657800.0,578800.0,4284000.0,2591000.0,6.03E7,2.4209999999999997E8,
2427000.0,2731000.0,3000000.0,3014000.0,3025000.0,653200.0,584700.0,4310000.0,2620000.0,6.024E7,2.4199999999999997E8,
2421000.0,2731000.0,3005000.0,3032000.0,2944000.0,652900.0,578600.0,4330000.0,2664000.0,6.024E7,2.4209999999999997E8,
2461000.0,2733000.0,3004000.0,3012000.0,2769000.0,636000.0,570300.0,4421000.0,2657000.0,6.02E7,2.4229999999999997E8,
2414000.0,2718000.0,2991000.0,3001000.0,2726000.0,629700.0,570000.0,4443000.0,2616000.0,6.022E7,2.4239999999999997E8,
2412000.0,2715000.0,2994000.0,2983000.0,2739000.0,621700.0,563900.0,4488000.0,2566000.0,6.022E7,2.4239999999999997E8,
2410000.0,2712000.0,3000000.0,2983000.0,2698000.0,616800.0,563000.0,4556000.0,2492000.0,6.022E7,2.4239999999999997E8,
2426000.0,2699000.0,2991000.0,2968000.0,2391000.0,614000.0,553100.0,4591000.0,2570000.0,6.009E7,2.4279999999999997E8,
2400000.0,2697000.0,2993000.0,2952000.0,2383000.0,613900.0,552700.0,4619000.0,2599000.0,6.004E7,2.4279999999999997E8,
2377000.0,2688000.0,2990000.0,2938000.0,2343000.0,617100.0,560100.0,4632000.0,2571000.0,6.004E7,2.4289999999999997E8,
2316000.0,2688000.0,2994000.0,2946000.0,2335000.0,629600.0,547600.0,4663000.0,2540000.0,6.004E7,2.4289999999999997E8,
2314000.0,2687000.0,2997000.0,2946000.0,2319000.0,633400.0,561800.0,4661000.0,2517000.0,6.004E7,2.4289999999999997E8,
2313000.0,2685000.0,2999000.0,2946000.0,2280000.0,625900.0,573900.0,4768000.0,2383000.0,6.005E7,2.4299999999999997E8,
2321000.0,2685000.0,2979000.0,2943000.0,2232000.0,618100.0,573500.0,4778000.0,2504000.0,5.992E7,2.4299999999999997E8,
2333000.0,2681000.0,2984000.0,2941000.0,2213000.0,609300.0,598900.0,4756000.0,2596000.0,6.02E7,2.4309999999999997E8,
2337000.0,2674000.0,2988000.0,2947000.0,2163000.0,607100.0,595000.0,4797000.0,2621000.0,6.014E7,2.4309999999999997E8,
2277000.0,2663000.0,2992000.0,2935000.0,2154000.0,606900.0,588700.0,4796000.0,2497000.0,6.026E7,2.4319999999999997E8,
2283000.0,2664000.0,2995000.0,2924000.0,2119000.0,606700.0,588400.0,4829000.0,2523000.0,6.03E7,2.4319999999999997E8,
2278000.0,2660000.0,2999000.0,2917000.0,2123000.0,607900.0,600700.0,4811000.0,2667000.0,6.016E7,2.4319999999999997E8,
2306000.0,2660000.0,2999000.0,2903000.0,2093000.0,623600.0,593700.0,4821000.0,2741000.0,6.028E7,2.4319999999999997E8,
2336000.0,2659000.0,2999000.0,2897000.0,2143000.0,514200.0,586800.0,4855000.0,2828000.0,6.016E7,2.4319999999999997E8,
2354000.0,2661000.0,3002000.0,2937000.0,2111000.0,505000.0,596500.0,5038000.0,2711000.0,6.03E7,2.4319999999999997E8,
2393000.0,2657000.0,3006000.0,2942000.0,2106000.0,510800.0,587900.0,5093000.0,2709000.0,6.025E7,2.4319999999999997E8,
2390000.0,2656000.0,3009000.0,2942000.0,2100000.0,509300.0,596700.0,5084000.0,2709000.0,6.03E7,2.4319999999999997E8,
2359000.0,2655000.0,3012000.0,2947000.0,2077000.0,503700.0,616800.0,5085000.0,2687000.0,6.03E7,2.4319999999999997E8,
2380000.0,2653000.0,3016000.0,2963000.0,2082000.0,498800.0,616800.0,5134000.0,2801000.0,6.02E7,2.4319999999999997E8,
2321000.0,2648000.0,3019000.0,2989000.0,2082000.0,498800.0,616800.0,5140000.0,2794000.0,6.03E7,2.4319999999999997E8,
2300000.0,2648000.0,3019000.0,2978000.0,2066000.0,478300.0,628300.0,5134000.0,2788000.0,6.03E7,2.4329999999999997E8,
2254000.0,2651000.0,3020000.0,3020000.0,2066000.0,485700.0,620800.0,5198000.0,2725000.0,6.03E7,2.4329999999999997E8,
2223000.0,2644000.0,3007000.0,3011000.0,2052000.0,485400.0,614800.0,5210000.0,2712000.0,6.03E7,2.4329999999999997E8,
2222000.0,2642000.0,3009000.0,3011000.0,2057000.0,480600.0,634900.0,5209000.0,2693000.0,6.03E7,2.4329999999999997E8,
2272000.0,2642000.0,3012000.0,3011000.0,2062000.0,474300.0,638200.0,5200000.0,2886000.0,6.03E7,2.4329999999999997E8,
2260000.0,2640000.0,3014000.0,3011000.0,2072000.0,464200.0,654200.0,5246000.0,2940000.0,6.018E7,2.4329999999999997E8,
2241000.0,2639000.0,3018000.0,3022000.0,2075000.0,465000.0,650400.0,5255000.0,2930000.0,6.03E7,2.4329999999999997E8,
2241000.0,2637000.0,3021000.0,3022000.0,2057000.0,468800.0,633500.0,5317000.0,2869000.0,6.03E7,2.4329999999999997E8,
2287000.0,2635000.0,3023000.0,3022000.0,2045000.0,463500.0,655600.0,5376000.0,2831000.0,6.026E7,2.4329999999999997E8,
2275000.0,2637000.0,3022000.0,3012000.0,2033000.0,463500.0,655600.0,5390000.0,2816000.0,6.026E7,2.4329999999999997E8,
2257000.0,2639000.0,3008000.0,3009000.0,2016000.0,462500.0,651700.0,5583000.0,2767000.0,6.011E7,2.4329999999999997E8,
2242000.0,2637000.0,3011000.0,3010000.0,2007000.0,456900.0,656500.0,5600000.0,2744000.0,6.03E7,2.4339999999999997E8,
2165000.0,2636000.0,3001000.0,3010000.0,1983000.0,467200.0,650200.0,5611000.0,2725000.0,6.03E7,2.4349999999999997E8,
2139000.0,2635000.0,3004000.0,3005000.0,1988000.0,462300.0,661100.0,5621000.0,2741000.0,6.026E7,2.4349999999999997E8,
2137000.0,2635000.0,3007000.0,3005000.0,1993000.0,463900.0,1945000.0,4341000.0,2731000.0,6.026E7,2.4349999999999997E8,
2114000.0,2632000.0,3010000.0,3017000.0,1979000.0,471400.0,1945000.0,4394000.0,2668000.0,6.026E7,2.4349999999999997E8,
2192000.0,2630000.0,3011000.0,3013000.0,1973000.0,469700.0,1949000.0,4402000.0,2778000.0,6.014E7,2.4339999999999997E8,
2188000.0,2631000.0,3013000.0,2995000.0,1961000.0,470100.0,1945000.0,4414000.0,2756000.0,6.03E7,2.4349999999999997E8,
2144000.0,2625000.0,2998000.0,2989000.0,1934000.0,463500.0,1953000.0,4484000.0,2664000.0,6.03E7,2.4349999999999997E8,
2073000.0,2613000.0,2999000.0,2987000.0,1918000.0,458300.0,1962000.0,4534000.0,2626000.0,6.028E7,2.4359999999999997E8,
2071000.0,2607000.0,3002000.0,2978000.0,1917000.0,447300.0,1962000.0,4563000.0,2596000.0,6.028E7,2.4359999999999997E8,
2085000.0,2605000.0,3006000.0,2964000.0,1902000.0,447200.0,1980000.0,4596000.0,2611000.0,6.021E7,2.4359999999999997E8,
2081000.0,2608000.0,2994000.0,2960000.0,1907000.0,442400.0,1996000.0,4632000.0,2559000.0,6.021E7,2.4369999999999997E8,
2092000.0,2600000.0,2982000.0,2938000.0,1905000.0,435900.0,1996000.0,4711000.0,2519000.0,6.026E7,2.4369999999999997E8,
2147000.0,2599000.0,2983000.0,2937000.0,1905000.0,429800.0,2004000.0,4786000.0,2511000.0,6.018E7,2.4359999999999997E8,
2116000.0,2600000.0,2984000.0,2961000.0,1905000.0,429800.0,2004000.0,4799000.0,2498000.0,6.03E7,2.4359999999999997E8,
2113000.0,2598000.0,2965000.0,2950000.0,1897000.0,429700.0,2016000.0,4787000.0,2483000.0,6.032E7,2.4359999999999997E8,
2112000.0,2597000.0,2966000.0,2952000.0,1897000.0,429700.0,5152000.0,1717000.0,2555000.0,6.018E7,2.4359999999999997E8,
2193000.0,2595000.0,2968000.0,2948000.0,1891000.0,428100.0,5161000.0,1726000.0,2653000.0,6.006E7,2.4359999999999997E8,
2190000.0,2592000.0,2970000.0,2941000.0,1891000.0,438000.0,5158000.0,1757000.0,2597000.0,6.008E7,2.4359999999999997E8,
2164000.0,2595000.0,2972000.0,2940000.0,1878000.0,451100.0,5145000.0,1789000.0,2580000.0,6.028E7,2.4359999999999997E8,
2164000.0,2593000.0,2974000.0,2940000.0,1878000.0,445100.0,5144000.0,1833000.0,2536000.0,6.03E7,2.4359999999999997E8,
2103000.0,2588000.0,2964000.0,2979000.0,1875000.0,454700.0,5139000.0,1849000.0,2508000.0,6.03E7,2.4359999999999997E8,
2061000.0,2586000.0,2950000.0,2975000.0,1867000.0,460600.0,5147000.0,1870000.0,2473000.0,6.03E7,2.4369999999999997E8,
2048000.0,2587000.0,2952000.0,2971000.0,1883000.0,444900.0,5153000.0,1902000.0,2434000.0,6.03E7,2.4369999999999997E8,
2086000.0,2583000.0,2953000.0,2962000.0,1895000.0,426900.0,5157000.0,1982000.0,2743000.0,6.03E7,2.4369999999999997E8,
2081000.0,2583000.0,2956000.0,2953000.0,1881000.0,426700.0,5157000.0,2023000.0,2702000.0,6.03E7,2.4369999999999997E8,
2092000.0,2581000.0,2960000.0,2944000.0,1841000.0,447000.0,5136000.0,2023000.0,2692000.0,6.03E7,2.4369999999999997E8,
2086000.0,2574000.0,2955000.0,2943000.0,1886000.0,401100.0,5130000.0,2048000.0,2643000.0,6.032E7,2.4369999999999997E8,
2066000.0,2574000.0,2957000.0,2943000.0,1886000.0,414400.0,5123000.0,2053000.0,2632000.0,6.032E7,2.4379999999999997E8,
2065000.0,2569000.0,2962000.0,2943000.0,1878000.0,426400.0,5111000.0,2109000.0,2576000.0,6.032E7,2.4379999999999997E8,
2062000.0,2569000.0,2965000.0,2943000.0,1863000.0,439800.0,5108000.0,2141000.0,2517000.0,6.031E7,2.4379999999999997E8,
2049000.0,2571000.0,2967000.0,2943000.0,1858000.0,470000.0,5094000.0,2132000.0,2563000.0,6.03E7,2.4379999999999997E8,
2046000.0,2569000.0,2952000.0,2931000.0,1833000.0,494000.0,5068000.0,2143000.0,2551000.0,6.03E7,2.4379999999999997E8,
2004000.0,2567000.0,2955000.0,2937000.0,1813000.0,497800.0,5058000.0,2143000.0,2551000.0,6.03E7,2.4389999999999997E8,
1962000.0,2566000.0,2957000.0,2932000.0,1738000.0,3815000.0,1745000.0,2155000.0,2535000.0,6.03E7,2.4399999999999997E8,
2025000.0,2564000.0,2961000.0,2932000.0,1744000.0,3821000.0,1733000.0,2195000.0,2544000.0,6.03E7,2.4399999999999997E8,
2062000.0,2565000.0,2964000.0,2927000.0,1735000.0,3814000.0,1745000.0,2233000.0,2529000.0,6.026E7,2.4389999999999997E8,
2066000.0,2563000.0,2968000.0,2915000.0,1744000.0,3822000.0,1720000.0,2244000.0,2615000.0,6.02E7,2.4389999999999997E8,
2061000.0,2562000.0,2970000.0,2902000.0,1744000.0,3840000.0,1710000.0,2256000.0,2594000.0,6.03E7,2.4389999999999997E8,
2036000.0,2556000.0,2962000.0,2901000.0,1747000.0,3837000.0,1710000.0,2289000.0,2548000.0,6.031E7,2.4399999999999997E8,
1973000.0,2547000.0,2963000.0,2901000.0,1734000.0,3861000.0,2043000.0,1937000.0,2542000.0,6.03E7,2.4399999999999997E8,
1958000.0,2548000.0,2964000.0,2909000.0,1734000.0,3861000.0,2060000.0,2027000.0,2436000.0,6.03E7,2.4399999999999997E8,
1961000.0,2549000.0,2966000.0,2923000.0,1745000.0,3868000.0,2042000.0,2042000.0,2479000.0,6.024E7,2.4399999999999997E8,
1999000.0,2546000.0,2969000.0,2919000.0,1744000.0,3895000.0,2015000.0,2066000.0,2468000.0,6.023E7,2.4399999999999997E8,
1945000.0,2543000.0,2969000.0,2907000.0,1739000.0,3906000.0,2000000.0,2070000.0,2446000.0,6.031E7,2.4399999999999997E8,
1908000.0,2545000.0,2971000.0,2896000.0,1756000.0,3905000.0,1983000.0,2078000.0,2563000.0,6.019E7,2.4399999999999997E8,
1904000.0,2543000.0,2971000.0,2882000.0,1746000.0,3909000.0,1977000.0,2095000.0,2546000.0,6.03E7,2.4409999999999997E8,
1922000.0,2539000.0,2976000.0,2878000.0,1764000.0,3891000.0,1982000.0,2091000.0,2631000.0,6.021E7,2.4399999999999997E8,
1923000.0,2540000.0,2978000.0,2885000.0,1751000.0,3910000.0,1960000.0,2100000.0,2734000.0,6.01E7,2.4399999999999997E8,
1916000.0,2542000.0,2980000.0,2885000.0,1719000.0,3915000.0,1971000.0,2102000.0,2715000.0,6.01E7,2.4409999999999997E8,
1978000.0,2538000.0,2981000.0,2876000.0,1709000.0,3907000.0,1992000.0,2080000.0,2787000.0,6.028E7,2.4399999999999997E8,
1979000.0,2535000.0,2984000.0,2889000.0,1722000.0,3912000.0,1974000.0,2100000.0,2765000.0,6.029E7,2.4399999999999997E8,
1961000.0,2530000.0,2987000.0,2888000.0,1717000.0,3911000.0,1972000.0,2224000.0,2640000.0,6.029E7,2.4399999999999997E8,
1960000.0,2528000.0,2989000.0,2861000.0,1722000.0,3911000.0,1971000.0,2271000.0,2575000.0,6.03E7,2.4399999999999997E8,
1955000.0,2526000.0,2991000.0,2838000.0,1719000.0,3918000.0,1966000.0,2263000.0,2561000.0,6.031E7,2.4399999999999997E8,
1972000.0,2519000.0,2980000.0,2829000.0,1711000.0,3906000.0,1969000.0,2296000.0,2583000.0,6.025E7,2.4399999999999997E8,
1948000.0,2515000.0,2986000.0,2826000.0,1707000.0,3935000.0,3106000.0,1193000.0,2514000.0,6.025E7,2.4409999999999997E8,
1937000.0,2511000.0,2989000.0,2815000.0,1730000.0,4953000.0,2074000.0,1208000.0,2664000.0,6.008E7,2.4409999999999997E8,
1929000.0,2509000.0,2973000.0,2786000.0,1778000.0,4913000.0,2066000.0,1217000.0,2655000.0,6.008E7,2.4409999999999997E8,
1925000.0,2508000.0,2977000.0,2777000.0,1814000.0,4892000.0,2050000.0,1236000.0,2636000.0,6.03E7,2.4409999999999997E8,
1912000.0,2505000.0,2977000.0,2785000.0,1823000.0,4876000.0,2061000.0,1257000.0,2578000.0,6.031E7,2.4409999999999997E8,
1897000.0,2500000.0,2981000.0,2800000.0,1837000.0,4833000.0,2060000.0,1313000.0,2520000.0,6.031E7,2.4409999999999997E8,
