entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.866,0.4298,0.01074,0.008856,0.009406,0.01004,0.007482,0.00484,0.003546,0.005854,0.008243,0.1868,0.7442,
0.8648,0.4284,0.01056,0.008813,0.009401,0.01004,0.007431,0.00484,0.003546,0.005854,0.008234,0.1868,0.7445,
0.865,0.4439,0.01061,0.008808,0.009401,0.01004,0.00736,0.004835,0.003546,0.005854,0.008364,0.1867,0.7445,
0.8643,0.4257,0.01056,0.008804,0.009354,0.01003,0.007286,0.004829,0.00354,0.005853,0.008363,0.1868,0.7446,
0.8628,0.423,0.01032,0.008804,0.009354,0.01003,0.007206,0.004825,0.00354,0.005853,0.008363,0.1868,0.7449,
0.8617,0.4222,0.01009,0.008777,0.00935,0.01002,0.007206,0.004825,0.00354,0.005853,0.008362,0.1868,0.7452,
0.861,0.4136,0.009936,0.008773,0.009341,0.009981,0.007205,0.004825,0.00354,0.005854,0.008426,0.1867,0.7454,
0.8601,0.4102,0.009801,0.008757,0.009288,0.009965,0.007206,0.004825,0.00354,0.005854,0.008427,0.1868,0.7456,
0.8598,0.394,0.009683,0.008756,0.009289,0.009923,0.007187,0.00482,0.00354,0.005854,0.008612,0.1866,0.7458,
0.8585,0.4037,0.009462,0.008756,0.009289,0.009892,0.007134,0.004817,0.003536,0.005854,0.008612,0.1866,0.7461,
0.8592,0.3932,0.009337,0.008716,0.009235,0.00984,0.007087,0.004809,0.003528,0.005849,0.009069,0.1867,0.7458,
0.8585,0.3878,0.009298,0.008704,0.009235,0.009839,0.006999,0.004809,0.003528,0.005849,0.009069,0.1867,0.746,
0.8568,0.3857,0.009094,0.008657,0.009235,0.009721,0.006961,0.004809,0.003528,0.005849,0.00907,0.1867,0.7463,
0.8559,0.3872,0.009083,0.008651,0.009195,0.009709,0.006824,0.004809,0.003528,0.005849,0.00907,0.1868,0.7465,
0.857,0.3858,0.009164,0.008648,0.009195,0.009709,0.006824,0.004809,0.003528,0.005849,0.009347,0.1865,0.7465,
0.8555,0.3878,0.009028,0.008643,0.009193,0.009699,0.006592,0.004809,0.003529,0.005849,0.009415,0.1864,0.7468,
0.8546,0.3913,0.00882,0.008634,0.009186,0.009692,0.006545,0.004808,0.003527,0.005847,0.009412,0.1867,0.7468,
0.8544,0.3889,0.008804,0.008601,0.009176,0.009686,0.006462,0.004807,0.003527,0.005846,0.009548,0.1867,0.7469,
0.8528,0.387,0.00878,0.008583,0.009053,0.009671,0.006306,0.0048,0.003518,0.005846,0.009548,0.1867,0.7472,
0.8544,0.385,0.009024,0.00858,0.009044,0.009672,0.006221,0.004791,0.003516,0.005846,0.009876,0.1864,0.7471,
0.8547,0.3768,0.008985,0.00855,0.009034,0.009648,0.005939,0.004786,0.003516,0.005846,0.0106,0.1856,0.7475,
0.8536,0.3768,0.008922,0.008534,0.009028,0.009628,0.005822,0.004778,0.003511,0.005846,0.0106,0.1856,0.7477,
0.8536,0.3737,0.008954,0.008524,0.009027,0.009614,0.005822,0.004777,0.003511,0.005846,0.0106,0.1857,0.7477,
0.854,0.3742,0.00886,0.00851,0.009016,0.009597,0.005716,0.004773,0.003507,0.00584,0.01073,0.1864,0.7471,
0.8572,0.3703,0.008971,0.008502,0.008969,0.009588,0.005688,0.004768,0.003504,0.005835,0.0115,0.1863,0.7463,
0.8571,0.375,0.008971,0.008502,0.008969,0.009559,0.005688,0.004768,0.003504,0.005835,0.0115,0.1863,0.7464,
0.8565,0.3771,0.008931,0.008499,0.008969,0.009533,0.005624,0.004768,0.003504,0.005835,0.0115,0.1863,0.7465,
0.8572,0.3691,0.008951,0.008476,0.008962,0.009498,0.005571,0.004768,0.003504,0.005834,0.01191,0.186,0.7466,
0.8572,0.3693,0.008951,0.008476,0.008962,0.009498,0.005571,0.004768,0.003504,0.005834,0.01191,0.186,0.7466,
0.857,0.3696,0.009026,0.008473,0.008962,0.009489,0.005394,0.00475,0.003503,0.005822,0.01214,0.1857,0.7467,
0.8594,0.3663,0.009368,0.00848,0.008969,0.009463,0.005417,0.004721,0.003555,0.005935,0.0123,0.1854,0.7464,
0.8604,0.3784,0.009365,0.008482,0.008965,0.009459,0.00543,0.004712,0.003585,0.005951,0.01219,0.1862,0.7457,
0.8597,0.3738,0.009159,0.008481,0.008975,0.009516,0.005431,0.004712,0.003641,0.005952,0.0121,0.1862,0.7458,
0.86,0.3707,0.009105,0.008485,0.008985,0.009527,0.005449,0.004731,0.003604,0.006111,0.01207,0.1861,0.7458,
0.8607,0.3814,0.009203,0.008457,0.008993,0.009528,0.005468,0.004712,0.003647,0.006295,0.0119,0.186,0.7458,
0.8622,0.3741,0.009258,0.00845,0.008997,0.009511,0.005453,0.004684,0.003683,0.006796,0.01162,0.1861,0.7454,
0.862,0.3774,0.009261,0.008445,0.009003,0.009508,0.005451,0.004646,0.003729,0.006936,0.01139,0.1862,0.7454,
0.861,0.3869,0.009058,0.008455,0.009007,0.0095,0.005449,0.004594,0.003764,0.007013,0.01128,0.1862,0.7457,
0.861,0.4009,0.009053,0.008456,0.009013,0.0095,0.005449,0.004632,0.003727,0.007084,0.01121,0.1862,0.7457,
0.862,0.389,0.009116,0.008453,0.009024,0.009477,0.005468,0.004613,0.003727,0.007523,0.01102,0.1859,0.7457,
0.8614,0.4001,0.008978,0.008455,0.009008,0.009468,0.005464,0.004631,0.003727,0.007802,0.01072,0.1859,0.7458,
0.8614,0.3558,0.008965,0.008445,0.009013,0.009448,0.005432,0.004632,0.003707,0.008357,0.01016,0.1861,0.7457,
0.8603,0.3559,0.008915,0.008428,0.008982,0.009463,0.005437,0.004658,0.003598,0.008357,0.01004,0.1863,0.7459,
0.8601,0.3766,0.008931,0.008445,0.008987,0.009452,0.005418,0.005823,0.002428,0.008536,0.01002,0.1861,0.7459,
0.8597,0.3849,0.008924,0.00843,0.00897,0.009436,0.005437,0.005805,0.002472,0.008579,0.009856,0.1862,0.7459,
0.8597,0.3841,0.008837,0.008425,0.008976,0.009524,0.005437,0.005805,0.002472,0.008771,0.009665,0.1862,0.7459,
0.8602,0.3833,0.008917,0.008422,0.008933,0.009522,0.00541,0.005786,0.002472,0.008839,0.009785,0.186,0.746,
0.8593,0.3896,0.008708,0.008393,0.008944,0.009482,0.005428,0.005816,0.002469,0.008937,0.009636,0.1861,0.7461,
0.8582,0.4092,0.008634,0.00839,0.008953,0.00952,0.005386,0.006492,0.001788,0.009035,0.009539,0.1861,0.7461,
0.8586,0.4095,0.008632,0.008389,0.008957,0.009519,0.005398,0.00648,0.001788,0.009201,0.009501,0.186,0.7461,
0.8587,0.3874,0.008682,0.008377,0.008971,0.009493,0.00538,0.006476,0.001788,0.009391,0.009352,0.186,0.7461,
0.8582,0.3782,0.008608,0.008361,0.008929,0.009463,0.005433,0.00642,0.001788,0.00939,0.00935,0.1861,0.7461,
0.8571,0.3716,0.008486,0.008378,0.00889,0.009395,0.005396,0.006446,0.001781,0.009561,0.009156,0.1861,0.7464,
0.8573,0.3926,0.008364,0.008375,0.008899,0.009393,0.005414,0.006428,0.001781,0.009619,0.009342,0.1859,0.7465,
0.857,0.3834,0.008314,0.008386,0.008903,0.00942,0.005359,0.006429,0.001762,0.009692,0.009226,0.1861,0.7464,
0.8582,0.3696,0.008483,0.008383,0.008908,0.00938,0.005262,0.006383,0.001789,0.009836,0.009458,0.1858,0.7464,
0.8606,0.3663,0.008706,0.008368,0.008866,0.009363,0.005239,0.006392,0.00181,0.009952,0.009666,0.186,0.7457,
0.8593,0.3866,0.008603,0.008327,0.008878,0.009363,0.005141,0.006348,0.001829,0.01051,0.009075,0.186,0.7459,
0.8588,0.3701,0.00854,0.008314,0.008888,0.009348,0.005171,0.006292,0.001829,0.01058,0.009007,0.186,0.746,
0.8584,0.3692,0.008453,0.008318,0.008903,0.009372,0.005152,0.006322,0.001795,0.01074,0.008841,0.186,0.7461,
0.8586,0.3768,0.008474,0.008305,0.008907,0.009408,0.005063,0.00629,0.001786,0.01078,0.009024,0.1858,0.7462,
0.8578,0.3767,0.008336,0.008272,0.008914,0.009408,0.005063,0.006315,0.001761,0.01085,0.008956,0.1858,0.7463,
0.8574,0.3698,0.008333,0.008254,0.008919,0.009388,0.005054,0.006295,0.00178,0.0109,0.008824,0.1859,0.7464,
0.8562,0.3663,0.008186,0.008249,0.008923,0.009375,0.004987,0.006295,0.001807,0.0111,0.008543,0.1859,0.7466,
0.8595,0.3609,0.008375,0.008254,0.008888,0.009374,0.004987,0.006295,0.001854,0.01117,0.009218,0.1852,0.7464,
0.8592,0.3535,0.008121,0.008261,0.008889,0.009397,0.004983,0.006308,0.001834,0.01132,0.009057,0.1859,0.746,
0.8589,0.3574,0.008102,0.008268,0.008901,0.009368,0.004983,0.006401,0.001741,0.01152,0.008854,0.1859,0.746,
0.8601,0.3527,0.008147,0.008273,0.008905,0.009393,0.004963,0.006414,0.001741,0.01172,0.008887,0.1858,0.7457,
0.8595,0.3582,0.007985,0.008294,0.008907,0.009421,0.004962,0.006408,0.001815,0.01185,0.008647,0.1858,0.7459,
0.8592,0.362,0.007965,0.008307,0.008912,0.009408,0.004934,0.006389,0.001833,0.01203,0.008447,0.1858,0.7459,
0.8598,0.3519,0.008019,0.008317,0.008917,0.009451,0.004986,0.006337,0.001833,0.01217,0.008358,0.1858,0.7458,
0.86,0.3495,0.007925,0.008321,0.008925,0.009501,0.004986,0.006531,0.001639,0.0122,0.00851,0.1856,0.7458,
0.8602,0.3519,0.00801,0.00832,0.008929,0.009499,0.004947,0.006531,0.001639,0.01229,0.008441,0.1856,0.7458,
0.8593,0.3689,0.007926,0.008297,0.008937,0.009481,0.007424,0.00404,0.001645,0.01254,0.008168,0.1858,0.7457,
0.8591,0.3537,0.007904,0.008271,0.008946,0.009476,0.007458,0.004007,0.001646,0.01266,0.008048,0.1858,0.7458,
0.8607,0.3484,0.007969,0.00827,0.008955,0.009464,0.007462,0.004004,0.001647,0.01271,0.008457,0.1853,0.7457,
0.86,0.352,0.007843,0.00826,0.008961,0.009475,0.007491,0.003955,0.001641,0.01291,0.008131,0.1858,0.7455,
0.8599,0.3578,0.007819,0.008255,0.008971,0.009481,0.007509,0.003961,0.00165,0.013,0.008009,0.1858,0.7455,
0.8593,0.3578,0.007707,0.008255,0.008948,0.009499,0.007528,0.003943,0.001665,0.01304,0.007908,0.1858,0.7457,
0.8548,0.3773,0.007564,0.008268,0.008902,0.009484,0.00681,0.003902,0.001696,0.01329,0.007636,0.1858,0.7466,
0.8549,0.3716,0.00771,0.008268,0.008905,0.009457,0.006825,0.004051,0.001542,0.0134,0.007447,0.1859,0.7465,
0.8542,0.3689,0.007697,0.008267,0.008917,0.009394,0.006841,0.004104,0.001511,0.01336,0.007378,0.1858,0.7467,
0.8539,0.3683,0.007687,0.008273,0.008921,0.009364,0.006823,0.0041,0.001529,0.01358,0.007139,0.1858,0.7468,
0.8533,0.3711,0.007572,0.00827,0.008873,0.009441,0.006853,0.004055,0.001536,0.01358,0.00712,0.1858,0.7469,
0.8531,0.3726,0.007562,0.008269,0.008837,0.009441,0.006806,0.004082,0.001693,0.01356,0.006961,0.1858,0.747,
0.8528,0.3727,0.007501,0.00826,0.008838,0.009391,0.006749,0.00405,0.001718,0.01372,0.006981,0.1856,0.7472,
0.8522,0.3775,0.007471,0.008262,0.008804,0.009409,0.006815,0.003961,0.001718,0.01372,0.006917,0.1857,0.7472,
0.8511,0.3692,0.007353,0.008249,0.008776,0.009388,0.006768,0.00396,0.001754,0.01383,0.006718,0.1858,0.7474,
0.8507,0.3661,0.007342,0.008252,0.008784,0.009388,0.006783,0.004018,0.001658,0.01383,0.006668,0.1859,0.7474,
0.8512,0.3573,0.007266,0.008254,0.008781,0.009375,0.00678,0.004035,0.001709,0.014,0.006662,0.1858,0.7473,
0.8514,0.358,0.007329,0.008253,0.008791,0.009362,0.006748,0.004017,0.001709,0.01437,0.006406,0.1857,0.7473,
0.8509,0.372,0.007317,0.008245,0.008798,0.009304,0.006699,0.004016,0.001734,0.01438,0.006376,0.1857,0.7474,
0.8505,0.3663,0.007215,0.008245,0.008808,0.009319,0.006704,0.004006,0.001733,0.0144,0.006332,0.1858,0.7474,
0.8497,0.3663,0.007094,0.008229,0.008786,0.009338,0.006612,0.003983,0.001752,0.01444,0.006393,0.1857,0.7477,
0.8503,0.3664,0.007128,0.008222,0.008796,0.009338,0.006612,0.003983,0.001804,0.01452,0.006384,0.1856,0.7476,
0.8501,0.3688,0.007058,0.008223,0.008801,0.009328,0.006592,0.003977,0.001842,0.01456,0.006295,0.1858,0.7475,
0.8479,0.3869,0.007053,0.008222,0.008807,0.009328,0.00866,0.001967,0.001783,0.0148,0.006061,0.1858,0.7475,
0.8475,0.3607,0.007044,0.00821,0.008816,0.009326,0.008599,0.001976,0.001783,0.01478,0.006061,0.1858,0.7476,
0.8472,0.3604,0.007024,0.008218,0.008762,0.009326,0.008587,0.001973,0.001862,0.01472,0.006028,0.1858,0.7477,
0.8463,0.3688,0.006942,0.008212,0.008778,0.009326,0.008544,0.001974,0.00188,0.01483,0.005838,0.1858,0.7479,
0.8455,0.3706,0.006926,0.008197,0.00878,0.009284,0.008459,0.001965,0.001884,0.01485,0.005799,0.1858,0.7481,
0.8449,0.3637,0.006919,0.0082,0.008779,0.00926,0.008376,0.001946,0.001898,0.01485,0.00578,0.1858,0.7482,
0.8443,0.3637,0.006817,0.008188,0.008795,0.009231,0.008414,0.001927,0.001879,0.01485,0.00578,0.1858,0.7483,
0.8439,0.3688,0.006806,0.00819,0.008804,0.009231,0.008433,0.001906,0.001847,0.01494,0.005685,0.1858,0.7483,
0.8472,0.3614,0.006978,0.008182,0.008815,0.009294,0.008437,0.001905,0.001876,0.01493,0.00629,0.1852,0.7481,
0.8472,0.3626,0.006972,0.008173,0.008814,0.009288,0.008365,0.001881,0.001912,0.01506,0.006106,0.1857,0.7477,
0.8483,0.3611,0.00712,0.008167,0.008821,0.009284,0.00828,0.001876,0.001912,0.01529,0.006185,0.1854,0.7477,
0.8486,0.3778,0.007183,0.008168,0.008772,0.009266,0.008208,0.001886,0.001927,0.01532,0.006192,0.1856,0.7475,
0.848,0.3775,0.00717,0.008158,0.008778,0.00924,0.008157,0.00187,0.001976,0.01545,0.006029,0.1856,0.7476,
0.848,0.3673,0.007107,0.008136,0.008788,0.009297,0.008166,0.001887,0.001967,0.01546,0.005992,0.1856,0.7476,
0.8473,0.3661,0.006963,0.008129,0.008797,0.009287,0.008166,0.001887,0.001985,0.01553,0.005909,0.1857,0.7477,
0.8469,0.3695,0.006954,0.008128,0.008807,0.009274,0.008148,0.001883,0.001997,0.01562,0.005781,0.1857,0.7478,
0.8479,0.368,0.006863,0.008122,0.008817,0.009387,0.008152,0.001861,0.002036,0.01561,0.006029,0.1854,0.7477,
0.849,0.3842,0.00695,0.008109,0.008827,0.009369,0.008167,0.001846,0.002036,0.01567,0.006234,0.1851,0.7477,
0.85,0.3747,0.007191,0.008118,0.008827,0.009332,0.008041,0.001873,0.002083,0.01563,0.006323,0.185,0.7476,
0.8493,0.3719,0.007143,0.008098,0.008837,0.009286,0.007922,0.001845,0.002123,0.01591,0.005977,0.1856,0.7473,
0.8502,0.3706,0.007257,0.008091,0.008809,0.009285,0.007902,0.001858,0.002172,0.01589,0.006067,0.1855,0.7471,
0.8493,0.3689,0.007115,0.008087,0.008819,0.009282,0.007882,0.001865,0.002173,0.01602,0.005911,0.1855,0.7473,
0.848,0.3732,0.006872,0.008085,0.008822,0.009272,0.007877,0.001845,0.00221,0.01602,0.005874,0.1856,0.7476,
0.8487,0.3727,0.006946,0.008094,0.008827,0.009245,0.007789,0.00184,0.002247,0.0161,0.005998,0.1853,0.7476,
0.8491,0.3746,0.006961,0.008094,0.008833,0.009183,0.007638,0.001882,0.002282,0.01605,0.0063,0.185,0.7478,
0.8527,0.368,0.007517,0.008082,0.008834,0.009164,0.007564,0.001882,0.002338,0.016,0.006723,0.1846,0.7473,
0.8516,0.3704,0.007445,0.008082,0.008793,0.00915,0.007439,0.001894,0.002363,0.016,0.006683,0.1846,0.7476,
0.8471,0.373,0.007323,0.008071,0.008724,0.00911,0.006552,0.00187,0.002407,0.01591,0.006637,0.1854,0.748,
0.8485,0.3932,0.007221,0.008059,0.008729,0.009066,0.006476,0.001882,0.004104,0.01437,0.006449,0.1854,0.7482,
0.8492,0.4187,0.006984,0.008047,0.008736,0.009112,0.006414,0.001902,0.006095,0.01236,0.006448,0.1854,0.7485,
0.8483,0.4151,0.006864,0.008049,0.008747,0.009067,0.006414,0.001902,0.006114,0.01244,0.00629,0.1855,0.7486,
0.848,0.4184,0.006859,0.00804,0.008761,0.009055,0.006395,0.001897,0.006132,0.01262,0.006083,0.1855,0.7487,
0.8488,0.4372,0.006839,0.008033,0.00876,0.009054,0.006407,0.001885,0.008582,0.01028,0.005981,0.1855,0.7487,
0.8525,0.442,0.007049,0.008034,0.008724,0.009028,0.006441,0.001949,0.008553,0.01027,0.006751,0.1847,0.7485,
0.8523,0.442,0.006978,0.008,0.008728,0.009028,0.006405,0.001961,0.008582,0.01021,0.006898,0.1845,0.7487,
0.8534,0.4305,0.007026,0.008001,0.008673,0.009006,0.006347,0.001959,0.008573,0.0102,0.007025,0.1853,0.7479,
0.8516,0.4301,0.006899,0.007985,0.008593,0.008993,0.006239,0.001959,0.008587,0.01029,0.006879,0.1853,0.7483,
0.8515,0.4287,0.006886,0.007984,0.008592,0.008993,0.006276,0.001942,0.008567,0.01031,0.00686,0.1853,0.7483,
0.8512,0.4325,0.006741,0.007983,0.008596,0.0091,0.006294,0.001923,0.008567,0.01051,0.006664,0.1853,0.7483,
0.8504,0.4369,0.006655,0.007923,0.008548,0.009115,0.00631,0.001909,0.008568,0.01054,0.006634,0.1853,0.7485,
0.8497,0.4059,0.006636,0.007891,0.008552,0.009118,0.00621,0.001904,0.008587,0.01052,0.006634,0.1853,0.7486,
0.8481,0.3763,0.006628,0.007853,0.00851,0.009094,0.006681,0.001375,0.008572,0.0106,0.006551,0.1853,0.7488,
0.8479,0.3801,0.006552,0.007823,0.008512,0.00914,0.006658,0.001517,0.008431,0.01062,0.006531,0.1853,0.7489,
0.8498,0.3704,0.006603,0.007828,0.008514,0.009133,0.00664,0.001589,0.008373,0.01064,0.00699,0.1848,0.7489,
0.8495,0.3762,0.006594,0.007818,0.008524,0.009132,0.006659,0.001554,0.008399,0.01067,0.006909,0.1848,0.7489,
0.8499,0.3748,0.00654,0.007812,0.008523,0.009164,0.006656,0.001553,0.00843,0.01063,0.006905,0.1852,0.7485,
0.8496,0.3808,0.006534,0.007805,0.008536,0.009164,0.006611,0.001556,0.008433,0.0106,0.006905,0.1852,0.7486,
0.8498,0.376,0.006578,0.007813,0.008539,0.009178,0.00657,0.001546,0.008418,0.01066,0.006901,0.1852,0.7486,
0.8497,0.3775,0.006574,0.007809,0.008547,0.009178,0.006597,0.00153,0.008449,0.01086,0.006662,0.1852,0.7486,
0.8492,0.3767,0.006559,0.007822,0.008486,0.009178,0.006553,0.001545,0.008435,0.01096,0.006563,0.1852,0.7487,
0.8521,0.3742,0.006723,0.007821,0.00849,0.009193,0.006553,0.001608,0.00839,0.01102,0.007088,0.1846,0.7485,
0.8518,0.3792,0.006708,0.007811,0.008446,0.009194,0.006572,0.00162,0.008427,0.01097,0.00707,0.1846,0.7486,
0.8523,0.3817,0.006677,0.007797,0.008446,0.009188,0.006583,0.001603,0.008422,0.01109,0.006983,0.1851,0.7481,
0.8513,0.3814,0.006546,0.007815,0.008448,0.009203,0.006515,0.00162,0.00841,0.01124,0.006802,0.1851,0.7483,
0.8534,0.3898,0.006661,0.007814,0.008455,0.009191,0.006429,0.00175,0.008295,0.01152,0.00709,0.1845,0.7482,
0.8526,0.382,0.006466,0.007808,0.008458,0.009189,0.006338,0.001767,0.00829,0.01159,0.006983,0.185,0.7481,
0.8514,0.3817,0.006248,0.007809,0.008468,0.009172,0.006301,0.001813,0.008253,0.01164,0.006921,0.185,0.7483,
0.8536,0.3959,0.006397,0.007818,0.008464,0.009168,0.006245,0.001856,0.008202,0.01169,0.007266,0.185,0.7479,
0.8553,0.3748,0.00649,0.007811,0.008475,0.009189,0.006285,0.001852,0.008184,0.01178,0.007525,0.1846,0.7478,
0.8551,0.3734,0.006435,0.007822,0.008476,0.009206,0.006197,0.001884,0.008198,0.01171,0.007522,0.1849,0.7476,
0.8549,0.3746,0.006399,0.007816,0.008487,0.009237,0.006174,0.001895,0.008206,0.01172,0.00746,0.1849,0.7477,
0.855,0.3749,0.006589,0.007808,0.008503,0.009222,0.005968,0.001918,0.008187,0.01182,0.00744,0.1848,0.7477,
0.8534,0.3795,0.006416,0.007794,0.008458,0.009205,0.005861,0.001947,0.008157,0.01191,0.007355,0.1849,0.748,
0.8528,0.3743,0.006398,0.007804,0.008466,0.009205,0.005772,0.00198,0.008159,0.01191,0.007267,0.185,0.7481,
0.8524,0.3742,0.006364,0.007815,0.008474,0.009205,0.005689,0.00199,0.00822,0.01183,0.007267,0.185,0.7482,
0.8517,0.3903,0.006348,0.007815,0.00849,0.009191,0.005591,0.00201,0.008209,0.01198,0.007095,0.185,0.7483,
0.8512,0.3821,0.006342,0.00782,0.008494,0.009223,0.005301,0.002065,0.008154,0.01219,0.007129,0.1847,0.7486,
0.8516,0.3842,0.006372,0.007829,0.008498,0.009255,0.005265,0.002131,0.008122,0.01219,0.007124,0.1847,0.7485,
0.8512,0.3823,0.00632,0.00784,0.008499,0.009236,0.005197,0.00213,0.008122,0.01218,0.007228,0.1846,0.7487,
0.8498,0.3812,0.006139,0.007837,0.008505,0.009196,0.00519,0.002141,0.00811,0.01237,0.00696,0.1846,0.7489,
0.8487,0.3777,0.005948,0.007832,0.008456,0.00924,0.005144,0.002107,0.008107,0.01237,0.006958,0.1849,0.749,
0.8517,0.3929,0.00607,0.007845,0.008461,0.009227,0.005169,0.003158,0.007028,0.0124,0.007318,0.1845,0.7488,
0.8501,0.3939,0.006098,0.007846,0.00847,0.009199,0.005184,0.003143,0.007046,0.0123,0.006869,0.185,0.7488,
0.8498,0.4005,0.005986,0.007845,0.008477,0.009265,0.005184,0.003143,0.007046,0.01261,0.006623,0.1849,0.7489,
0.8488,0.4021,0.005835,0.007838,0.008435,0.00925,0.005184,0.00317,0.00702,0.01263,0.006598,0.1849,0.7491,
