RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3466000.0,2858000.0,3036000.0,3242000.0,2415000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.03E7,2.4019999999999997E8,
3410000.0,2845000.0,3035000.0,3242000.0,2399000.0,1562000.0,1144000.0,1890000.0,2658000.0,6.03E7,2.4029999999999997E8,
3424000.0,2843000.0,3035000.0,3242000.0,2376000.0,1561000.0,1144000.0,1890000.0,2700000.0,6.026E7,2.4029999999999997E8,
3409000.0,2842000.0,3019000.0,3237000.0,2352000.0,1559000.0,1143000.0,1889000.0,2700000.0,6.03E7,2.4039999999999997E8,
3330000.0,2842000.0,3019000.0,3237000.0,2326000.0,1557000.0,1143000.0,1889000.0,2700000.0,6.03E7,2.4049999999999997E8,
3258000.0,2833000.0,3018000.0,3233000.0,2326000.0,1557000.0,1143000.0,1889000.0,2699000.0,6.03E7,2.4049999999999997E8,
3207000.0,2832000.0,3015000.0,3222000.0,2326000.0,1557000.0,1143000.0,1889000.0,2720000.0,6.028E7,2.4059999999999997E8,
3164000.0,2826000.0,2998000.0,3216000.0,2326000.0,1557000.0,1143000.0,1889000.0,2720000.0,6.028E7,2.4069999999999997E8,
3125000.0,2826000.0,2998000.0,3203000.0,2320000.0,1556000.0,1143000.0,1889000.0,2780000.0,6.022E7,2.4069999999999997E8,
3054000.0,2826000.0,2998000.0,3193000.0,2303000.0,1555000.0,1141000.0,1889000.0,2780000.0,6.022E7,2.4079999999999997E8,
3016000.0,2815000.0,2982000.0,3178000.0,2289000.0,1553000.0,1139000.0,1889000.0,2929000.0,6.03E7,2.4089999999999997E8,
3003000.0,2811000.0,2982000.0,3178000.0,2260000.0,1553000.0,1139000.0,1889000.0,2929000.0,6.03E7,2.4089999999999997E8,
2937000.0,2795000.0,2982000.0,3139000.0,2248000.0,1553000.0,1139000.0,1889000.0,2929000.0,6.03E7,2.4099999999999997E8,
2933000.0,2793000.0,2969000.0,3135000.0,2203000.0,1553000.0,1139000.0,1889000.0,2929000.0,6.03E7,2.4099999999999997E8,
2959000.0,2792000.0,2969000.0,3135000.0,2203000.0,1553000.0,1139000.0,1889000.0,3018000.0,6.021E7,2.4099999999999997E8,
2915000.0,2791000.0,2968000.0,3132000.0,2128000.0,1553000.0,1139000.0,1889000.0,3040000.0,6.019E7,2.4109999999999997E8,
2849000.0,2789000.0,2967000.0,3130000.0,2114000.0,1553000.0,1139000.0,1889000.0,3040000.0,6.03E7,2.4119999999999997E8,
2844000.0,2778000.0,2964000.0,3129000.0,2087000.0,1553000.0,1139000.0,1889000.0,3084000.0,6.03E7,2.4129999999999997E8,
2836000.0,2772000.0,2924000.0,3124000.0,2037000.0,1550000.0,1136000.0,1888000.0,3084000.0,6.03E7,2.4139999999999997E8,
2915000.0,2771000.0,2921000.0,3124000.0,2010000.0,1548000.0,1136000.0,1888000.0,3190000.0,6.019E7,2.4129999999999997E8,
2902000.0,2762000.0,2918000.0,3116000.0,1918000.0,1546000.0,1136000.0,1888000.0,3423000.0,5.996E7,2.4139999999999997E8,
2882000.0,2757000.0,2916000.0,3110000.0,1881000.0,1543000.0,1134000.0,1888000.0,3423000.0,5.996E7,2.4149999999999997E8,
2892000.0,2753000.0,2915000.0,3105000.0,1880000.0,1543000.0,1134000.0,1888000.0,3423000.0,5.996E7,2.4149999999999997E8,
2865000.0,2751000.0,2915000.0,3103000.0,1848000.0,1543000.0,1134000.0,1888000.0,3468000.0,6.026E7,2.4149999999999997E8,
2903000.0,2751000.0,2902000.0,3103000.0,1841000.0,1543000.0,1134000.0,1888000.0,3722000.0,6.03E7,2.4149999999999997E8,
2903000.0,2751000.0,2902000.0,3093000.0,1841000.0,1543000.0,1134000.0,1888000.0,3722000.0,6.03E7,2.4149999999999997E8,
2890000.0,2750000.0,2902000.0,3085000.0,1820000.0,1543000.0,1134000.0,1888000.0,3722000.0,6.03E7,2.4159999999999997E8,
2896000.0,2743000.0,2900000.0,3073000.0,1803000.0,1543000.0,1134000.0,1888000.0,3854000.0,6.017E7,2.4159999999999997E8,
2896000.0,2743000.0,2900000.0,3073000.0,1803000.0,1543000.0,1134000.0,1888000.0,3854000.0,6.017E7,2.4159999999999997E8,
2920000.0,2741000.0,2900000.0,3070000.0,1745000.0,1537000.0,1134000.0,1884000.0,3929000.0,6.009E7,2.4159999999999997E8,
3031000.0,2744000.0,2902000.0,3062000.0,1753000.0,1527000.0,1150000.0,1920000.0,3979000.0,5.998E7,2.4149999999999997E8,
3033000.0,2747000.0,2903000.0,3063000.0,1759000.0,1526000.0,1161000.0,1927000.0,3949000.0,6.03E7,2.4149999999999997E8,
2966000.0,2746000.0,2906000.0,3081000.0,1759000.0,1526000.0,1179000.0,1927000.0,3918000.0,6.03E7,2.4149999999999997E8,
2948000.0,2748000.0,2910000.0,3085000.0,1765000.0,1532000.0,1167000.0,1979000.0,3908000.0,6.026E7,2.4149999999999997E8,
2980000.0,2739000.0,2912000.0,3085000.0,1771000.0,1526000.0,1181000.0,2038000.0,3853000.0,6.024E7,2.4149999999999997E8,
2999000.0,2738000.0,2915000.0,3081000.0,1767000.0,1517000.0,1193000.0,2202000.0,3764000.0,6.03E7,2.4149999999999997E8,
3000000.0,2736000.0,2917000.0,3080000.0,1766000.0,1505000.0,1208000.0,2247000.0,3691000.0,6.031E7,2.4149999999999997E8,
2934000.0,2739000.0,2918000.0,3077000.0,1765000.0,1488000.0,1219000.0,2272000.0,3655000.0,6.031E7,2.4149999999999997E8,
2932000.0,2739000.0,2919000.0,3077000.0,1765000.0,1500000.0,1207000.0,2295000.0,3632000.0,6.03E7,2.4149999999999997E8,
2953000.0,2738000.0,2923000.0,3070000.0,1771000.0,1494000.0,1207000.0,2437000.0,3568000.0,6.022E7,2.4149999999999997E8,
2908000.0,2739000.0,2918000.0,3067000.0,1770000.0,1500000.0,1207000.0,2527000.0,3472000.0,6.022E7,2.4159999999999997E8,
2904000.0,2736000.0,2920000.0,3061000.0,1760000.0,1501000.0,1201000.0,2707000.0,3291000.0,6.03E7,2.4159999999999997E8,
2888000.0,2730000.0,2910000.0,3066000.0,1761000.0,1509000.0,1166000.0,2707000.0,3253000.0,6.034E7,2.4159999999999997E8,
2893000.0,2736000.0,2911000.0,3062000.0,1755000.0,1886000.0,786600.0,2765000.0,3245000.0,6.029E7,2.4159999999999997E8,
2891000.0,2731000.0,2906000.0,3057000.0,1761000.0,1880000.0,800700.0,2779000.0,3193000.0,6.031E7,2.4159999999999997E8,
2862000.0,2729000.0,2908000.0,3085000.0,1761000.0,1880000.0,800700.0,2841000.0,3131000.0,6.03E7,2.4159999999999997E8,
2889000.0,2728000.0,2894000.0,3084000.0,1752000.0,1874000.0,800700.0,2863000.0,3170000.0,6.024E7,2.4159999999999997E8,
2821000.0,2719000.0,2898000.0,3072000.0,1758000.0,1884000.0,800000.0,2895000.0,3122000.0,6.03E7,2.4169999999999997E8,
2797000.0,2718000.0,2900000.0,3084000.0,1745000.0,2103000.0,579300.0,2927000.0,3090000.0,6.03E7,2.4169999999999997E8,
2796000.0,2718000.0,2902000.0,3084000.0,1749000.0,2099000.0,579300.0,2981000.0,3078000.0,6.026E7,2.4169999999999997E8,
2812000.0,2714000.0,2906000.0,3075000.0,1743000.0,2098000.0,579300.0,3042000.0,3029000.0,6.025E7,2.4169999999999997E8,
2789000.0,2709000.0,2893000.0,3066000.0,1760000.0,2080000.0,579300.0,3042000.0,3029000.0,6.03E7,2.4169999999999997E8,
2749000.0,2714000.0,2880000.0,3043000.0,1748000.0,2088000.0,577000.0,3097000.0,2966000.0,6.03E7,2.4179999999999997E8,
2709000.0,2713000.0,2883000.0,3043000.0,1754000.0,2082000.0,577000.0,3116000.0,3026000.0,6.022E7,2.4179999999999997E8,
2694000.0,2717000.0,2885000.0,3052000.0,1736000.0,2083000.0,571000.0,3140000.0,2989000.0,6.031E7,2.4179999999999997E8,
2748000.0,2716000.0,2886000.0,3039000.0,1705000.0,2068000.0,579700.0,3187000.0,3064000.0,6.018E7,2.4179999999999997E8,
2823000.0,2713000.0,2875000.0,3036000.0,1699000.0,2072000.0,586900.0,3227000.0,3134000.0,6.03E7,2.4179999999999997E8,
2789000.0,2700000.0,2878000.0,3036000.0,1667000.0,2058000.0,593100.0,3407000.0,2942000.0,6.03E7,2.4179999999999997E8,
2769000.0,2695000.0,2882000.0,3031000.0,1676000.0,2040000.0,593000.0,3430000.0,2920000.0,6.03E7,2.4189999999999997E8,
2740000.0,2696000.0,2886000.0,3038000.0,1670000.0,2049000.0,581800.0,3483000.0,2866000.0,6.03E7,2.4189999999999997E8,
2747000.0,2692000.0,2887000.0,3050000.0,1641000.0,2039000.0,578900.0,3493000.0,2925000.0,6.022E7,2.4189999999999997E8,
2702000.0,2681000.0,2889000.0,3050000.0,1641000.0,2047000.0,570900.0,3515000.0,2903000.0,6.022E7,2.4189999999999997E8,
2701000.0,2675000.0,2891000.0,3043000.0,1638000.0,2041000.0,576900.0,3534000.0,2860000.0,6.024E7,2.4189999999999997E8,
2653000.0,2673000.0,2892000.0,3039000.0,1616000.0,2040000.0,585700.0,3598000.0,2769000.0,6.026E7,2.4199999999999997E8,
2715000.0,2676000.0,2881000.0,3039000.0,1616000.0,2040000.0,601000.0,3622000.0,2988000.0,6.004E7,2.4189999999999997E8,
2635000.0,2680000.0,2884000.0,3048000.0,1616000.0,2046000.0,595000.0,3672000.0,2938000.0,6.03E7,2.4199999999999997E8,
2628000.0,2682000.0,2887000.0,3039000.0,1616000.0,2077000.0,564800.0,3737000.0,2872000.0,6.03E7,2.4199999999999997E8,
2643000.0,2684000.0,2889000.0,3048000.0,1610000.0,2081000.0,564800.0,3802000.0,2884000.0,6.03E7,2.4199999999999997E8,
2591000.0,2691000.0,2890000.0,3057000.0,1610000.0,2079000.0,588900.0,3845000.0,2806000.0,6.03E7,2.4199999999999997E8,
2584000.0,2695000.0,2892000.0,3053000.0,1601000.0,2073000.0,594900.0,3904000.0,2741000.0,6.03E7,2.4199999999999997E8,
2602000.0,2699000.0,2893000.0,3067000.0,1618000.0,2056000.0,594900.0,3948000.0,2712000.0,6.028E7,2.4199999999999997E8,
2571000.0,2700000.0,2896000.0,3083000.0,1618000.0,2119000.0,531900.0,3958000.0,2761000.0,6.023E7,2.4199999999999997E8,
2599000.0,2700000.0,2897000.0,3082000.0,1605000.0,2119000.0,531800.0,3988000.0,2739000.0,6.022E7,2.4199999999999997E8,
2572000.0,2693000.0,2900000.0,3077000.0,2409000.0,1311000.0,534000.0,4070000.0,2651000.0,6.03E7,2.4199999999999997E8,
2565000.0,2684000.0,2903000.0,3075000.0,2420000.0,1300000.0,534000.0,4109000.0,2612000.0,6.03E7,2.4199999999999997E8,
2586000.0,2684000.0,2906000.0,3071000.0,2421000.0,1299000.0,534500.0,4124000.0,2744000.0,6.014E7,2.4199999999999997E8,
2546000.0,2682000.0,2909000.0,3076000.0,2432000.0,1284000.0,532800.0,4191000.0,2640000.0,6.032E7,2.4199999999999997E8,
2539000.0,2680000.0,2913000.0,3078000.0,2438000.0,1286000.0,535700.0,4220000.0,2600000.0,6.032E7,2.4199999999999997E8,
