entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8659,0.4186,0.01072,0.008886,0.009409,0.01005,0.007475,0.004842,0.003547,0.005856,0.008294,0.1865,0.7445,
0.863,0.4143,0.01011,0.00886,0.009406,0.009994,0.007384,0.004837,0.003547,0.005857,0.008484,0.1863,0.7452,
0.8615,0.4145,0.00986,0.008835,0.009405,0.009961,0.007339,0.004837,0.003547,0.005857,0.008485,0.1863,0.7456,
0.8585,0.4071,0.009261,0.008801,0.009405,0.009915,0.007316,0.004838,0.003547,0.005857,0.008485,0.1863,0.7463,
0.8571,0.4066,0.008951,0.008781,0.009402,0.009906,0.007222,0.004829,0.003542,0.005857,0.008692,0.1861,0.7467,
0.8572,0.4101,0.008819,0.008756,0.009389,0.009867,0.007214,0.004825,0.003539,0.005852,0.00874,0.1868,0.7462,
0.8566,0.417,0.008626,0.008743,0.009369,0.009837,0.007203,0.004822,0.003535,0.005847,0.008884,0.1867,0.7464,
0.8557,0.3888,0.008567,0.008729,0.009365,0.009836,0.007106,0.004818,0.00353,0.005847,0.008884,0.1867,0.7466,
0.8545,0.3832,0.008421,0.008676,0.009306,0.009814,0.007082,0.004813,0.00353,0.005846,0.008919,0.1867,0.7468,
0.8533,0.3867,0.00826,0.008669,0.009306,0.009787,0.007018,0.004813,0.00353,0.005846,0.008919,0.1868,0.7471,
0.8519,0.3846,0.00809,0.008669,0.009306,0.009787,0.006873,0.004805,0.00353,0.005846,0.008919,0.1868,0.7474,
0.849,0.3793,0.007545,0.008602,0.009304,0.009766,0.006873,0.004805,0.00353,0.005846,0.008919,0.1868,0.7481,
0.8484,0.3784,0.00749,0.008584,0.009305,0.009755,0.006842,0.004797,0.00353,0.005846,0.008919,0.1868,0.7482,
0.8474,0.3817,0.007413,0.008584,0.009305,0.009731,0.006716,0.004798,0.003531,0.005846,0.008919,0.1868,0.7484,
0.8451,0.3784,0.007177,0.008583,0.009304,0.009707,0.006536,0.004779,0.00353,0.005833,0.008904,0.1868,0.7489,
0.8433,0.379,0.006887,0.008581,0.009304,0.009684,0.006459,0.004779,0.00353,0.005833,0.008903,0.1868,0.7493,
0.8414,0.3801,0.006685,0.00858,0.009302,0.009646,0.006304,0.004774,0.003529,0.005833,0.008904,0.1868,0.7497,
0.8411,0.3791,0.006609,0.00858,0.009302,0.009646,0.006304,0.004774,0.003529,0.005833,0.008904,0.1868,0.7497,
0.8425,0.3867,0.006539,0.00858,0.009302,0.009646,0.006289,0.00477,0.003525,0.005833,0.009536,0.1862,0.7498,
0.8453,0.3759,0.006607,0.008556,0.009268,0.009621,0.006282,0.004765,0.003521,0.005826,0.01008,0.1866,0.7489,
0.8446,0.3765,0.006608,0.008557,0.009269,0.009499,0.006232,0.004765,0.003521,0.005827,0.01008,0.1866,0.749,
0.8438,0.3687,0.006398,0.008495,0.009262,0.009496,0.006176,0.004756,0.00352,0.005825,0.01031,0.1866,0.7492,
0.8433,0.3703,0.006307,0.008495,0.009262,0.009467,0.006176,0.004756,0.00352,0.005825,0.01031,0.1866,0.7493,
0.8438,0.3603,0.006383,0.008495,0.009262,0.009467,0.006176,0.004756,0.00352,0.005825,0.01037,0.1865,0.7492,
0.8438,0.3608,0.006383,0.008495,0.009262,0.009452,0.006176,0.004756,0.00352,0.005825,0.01037,0.1865,0.7493,
0.8424,0.358,0.006313,0.008495,0.009263,0.009407,0.006001,0.004756,0.00352,0.005825,0.01037,0.1865,0.7495,
0.8413,0.3568,0.006178,0.008493,0.009258,0.009339,0.005954,0.004752,0.00352,0.005825,0.01037,0.1866,0.7497,
0.841,0.3574,0.006177,0.008482,0.009257,0.009324,0.005931,0.004752,0.00352,0.005825,0.01037,0.1866,0.7498,
0.8406,0.3582,0.006177,0.008482,0.009257,0.009324,0.005856,0.004748,0.003515,0.005825,0.01037,0.1866,0.7499,
0.8401,0.3611,0.006177,0.008482,0.009257,0.009324,0.005753,0.004748,0.003515,0.005825,0.01037,0.1866,0.75,
0.8407,0.3633,0.006173,0.008475,0.009265,0.009323,0.005799,0.004739,0.003495,0.006091,0.01019,0.1866,0.7499,
0.8416,0.3817,0.006171,0.00847,0.009276,0.009388,0.005763,0.004758,0.005491,0.004529,0.009817,0.1865,0.7499,
0.8395,0.4273,0.00608,0.008461,0.009285,0.009373,0.00825,0.002317,0.005444,0.004844,0.009424,0.1866,0.7499,
0.8396,0.3984,0.006216,0.008469,0.009247,0.009329,0.00825,0.00234,0.005452,0.004963,0.009145,0.1868,0.7498,
0.8418,0.3667,0.006251,0.00847,0.009255,0.009418,0.00825,0.00234,0.005452,0.005178,0.009407,0.1863,0.7497,
0.842,0.3688,0.006256,0.008466,0.009259,0.009371,0.008269,0.002316,0.005489,0.00514,0.009563,0.1861,0.7497,
0.8414,0.3636,0.006095,0.008466,0.009264,0.009384,0.008283,0.002279,0.00549,0.005522,0.009182,0.1861,0.7499,
0.8418,0.3605,0.006113,0.008434,0.009275,0.009385,0.008309,0.002235,0.005485,0.005666,0.009209,0.186,0.7499,
0.8434,0.3635,0.006102,0.008427,0.009279,0.009338,0.008299,0.002285,0.005428,0.00592,0.009212,0.1864,0.7493,
0.8446,0.3767,0.006192,0.008414,0.009288,0.009321,0.008268,0.002247,0.005458,0.006101,0.009266,0.1864,0.7491,
0.8446,0.3749,0.006186,0.008413,0.009295,0.009307,0.008268,0.002247,0.005458,0.006321,0.009045,0.1864,0.7491,
