RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3460000.0,2867000.0,3036000.0,3242000.0,2412000.0,1562000.0,1144000.0,1890000.0,2676000.0,6.016E7,2.4019999999999997E8,
3261000.0,2859000.0,3035000.0,3224000.0,2382000.0,1561000.0,1144000.0,1890000.0,2737000.0,6.01E7,2.4039999999999997E8,
3181000.0,2850000.0,3034000.0,3214000.0,2368000.0,1561000.0,1144000.0,1890000.0,2737000.0,6.01E7,2.4049999999999997E8,
2988000.0,2839000.0,3034000.0,3199000.0,2360000.0,1561000.0,1144000.0,1890000.0,2737000.0,6.01E7,2.4079999999999997E8,
2888000.0,2833000.0,3033000.0,3196000.0,2330000.0,1558000.0,1143000.0,1889000.0,2804000.0,6.003E7,2.4089999999999997E8,
2847000.0,2827000.0,3031000.0,3186000.0,2329000.0,1558000.0,1143000.0,1889000.0,2822000.0,6.03E7,2.4089999999999997E8,
2785000.0,2823000.0,3025000.0,3176000.0,2326000.0,1557000.0,1142000.0,1888000.0,2869000.0,6.03E7,2.4099999999999997E8,
2766000.0,2819000.0,3024000.0,3176000.0,2295000.0,1556000.0,1140000.0,1888000.0,2869000.0,6.03E7,2.4109999999999997E8,
2719000.0,2801000.0,3005000.0,3169000.0,2287000.0,1554000.0,1140000.0,1888000.0,2880000.0,6.03E7,2.4119999999999997E8,
2667000.0,2799000.0,3005000.0,3160000.0,2266000.0,1554000.0,1140000.0,1887000.0,2880000.0,6.03E7,2.4119999999999997E8,
2612000.0,2799000.0,3005000.0,3160000.0,2219000.0,1551000.0,1140000.0,1887000.0,2880000.0,6.03E7,2.4129999999999997E8,
2436000.0,2777000.0,3004000.0,3153000.0,2219000.0,1551000.0,1140000.0,1887000.0,2880000.0,6.03E7,2.4149999999999997E8,
2418000.0,2771000.0,3004000.0,3149000.0,2209000.0,1549000.0,1140000.0,1887000.0,2880000.0,6.03E7,2.4159999999999997E8,
2393000.0,2771000.0,3004000.0,3142000.0,2168000.0,1549000.0,1140000.0,1887000.0,2880000.0,6.03E7,2.4159999999999997E8,
2317000.0,2771000.0,3004000.0,3134000.0,2110000.0,1543000.0,1140000.0,1883000.0,2874000.0,6.03E7,2.4179999999999997E8,
