entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8659,0.4205,0.01094,0.008867,0.009369,0.01005,0.007383,0.004842,0.003547,0.005856,0.008246,0.1865,0.7444,
0.8641,0.3927,0.01044,0.008804,0.009361,0.01004,0.00738,0.00484,0.003546,0.005854,0.008318,0.1867,0.7447,
0.8613,0.3899,0.009912,0.008786,0.009357,0.01004,0.007284,0.004832,0.003545,0.005854,0.008317,0.1868,0.7453,
0.8566,0.3974,0.009033,0.008747,0.00934,0.01003,0.007154,0.004832,0.003545,0.005854,0.008317,0.1868,0.7463,
0.8576,0.3957,0.009069,0.008743,0.00934,0.01001,0.007084,0.004828,0.003541,0.005854,0.008738,0.1864,0.7464,
0.8556,0.3954,0.008736,0.008741,0.009334,0.009962,0.00703,0.004828,0.003541,0.005854,0.008739,0.1864,0.7468,
0.8549,0.3916,0.008656,0.008726,0.009277,0.00993,0.006966,0.004826,0.003539,0.005851,0.008735,0.1867,0.7467,
0.8547,0.3902,0.008365,0.008687,0.009274,0.009899,0.006964,0.004825,0.003537,0.005849,0.009071,0.1867,0.7468,
0.855,0.3918,0.008417,0.008685,0.009273,0.009862,0.006964,0.004825,0.003537,0.005849,0.00916,0.1866,0.7468,
0.8539,0.3898,0.008288,0.008674,0.00921,0.009819,0.006964,0.004825,0.003537,0.00585,0.00916,0.1866,0.7471,
0.8527,0.3917,0.008086,0.008662,0.009208,0.009808,0.006919,0.004825,0.003537,0.00585,0.00916,0.1866,0.7473,
0.8526,0.3939,0.008024,0.008605,0.009185,0.009808,0.006919,0.004825,0.003537,0.00585,0.009315,0.1865,0.7475,
0.8509,0.3936,0.007631,0.008577,0.009139,0.009808,0.006871,0.004825,0.003537,0.00585,0.00953,0.1863,0.748,
0.8499,0.3937,0.007535,0.008574,0.009139,0.009782,0.006803,0.004817,0.003528,0.00585,0.00953,0.1863,0.7482,
0.8536,0.4027,0.007717,0.008563,0.009127,0.009757,0.00662,0.004811,0.003523,0.005842,0.0104,0.1865,0.7472,
0.853,0.3998,0.007671,0.008543,0.009125,0.009729,0.006512,0.004806,0.003523,0.005842,0.01051,0.1864,0.7474,
0.8513,0.3912,0.007421,0.00853,0.009107,0.009695,0.006464,0.004795,0.003523,0.005842,0.01051,0.1864,0.7477,
0.8503,0.3827,0.00732,0.008491,0.009103,0.009665,0.006414,0.004795,0.003523,0.005841,0.01054,0.1864,0.748,
0.8488,0.381,0.007129,0.008491,0.009102,0.009651,0.006298,0.004783,0.003518,0.005841,0.01054,0.1864,0.7483,
0.8483,0.386,0.007033,0.008489,0.0091,0.009648,0.006199,0.004782,0.003517,0.00584,0.01063,0.1865,0.7483,
0.8471,0.3983,0.006885,0.00848,0.009059,0.009592,0.006185,0.004778,0.003513,0.00584,0.01065,0.1864,0.7486,
0.8473,0.3931,0.006969,0.008467,0.009056,0.009559,0.006158,0.004775,0.003508,0.00584,0.01072,0.1864,0.7486,
0.8467,0.3868,0.006803,0.008465,0.009052,0.009538,0.006158,0.004775,0.003508,0.00584,0.01082,0.1863,0.7487,
0.8463,0.3857,0.006711,0.008463,0.00905,0.009536,0.006133,0.004774,0.003507,0.005839,0.01082,0.1864,0.7487,
0.8466,0.3838,0.006766,0.008463,0.009049,0.009512,0.006093,0.004774,0.003507,0.005839,0.01092,0.1864,0.7487,
0.8457,0.379,0.006675,0.00844,0.009027,0.009491,0.006054,0.004774,0.003507,0.005839,0.01092,0.1864,0.7489,
0.8467,0.3686,0.006855,0.008429,0.009017,0.009454,0.006011,0.004763,0.0035,0.005836,0.01119,0.1861,0.7488,
0.8491,0.366,0.007142,0.008405,0.009011,0.009441,0.005996,0.00476,0.003495,0.005836,0.01165,0.1856,0.7486,
0.8487,0.3912,0.006978,0.008387,0.009003,0.009433,0.00593,0.004751,0.003492,0.005831,0.01164,0.1863,0.7482,
0.8499,0.362,0.006944,0.008387,0.008965,0.009389,0.00593,0.004763,0.00348,0.005831,0.01228,0.1857,0.7483,
0.8494,0.3646,0.006939,0.008384,0.008973,0.009358,0.00582,0.004755,0.00356,0.005945,0.01208,0.1857,0.7485,
0.8492,0.3689,0.006908,0.008381,0.008983,0.009338,0.005848,0.004728,0.003579,0.00613,0.01184,0.1858,0.7485,
0.8494,0.3741,0.006898,0.008375,0.008984,0.009306,0.0058,0.004687,0.003576,0.006397,0.01156,0.1862,0.7482,
0.8496,0.3798,0.006841,0.008382,0.00899,0.009313,0.005818,0.004687,0.003557,0.006833,0.01118,0.1862,0.7482,
0.8491,0.3755,0.00676,0.008406,0.008958,0.00932,0.00585,0.004656,0.003557,0.007141,0.0108,0.1863,0.7483,
0.8493,0.3793,0.006875,0.008386,0.008971,0.009306,0.005819,0.004657,0.003558,0.007384,0.01055,0.1861,0.7483,
0.8489,0.3999,0.006768,0.00837,0.008941,0.009289,0.005837,0.004671,0.003524,0.007486,0.01048,0.1863,0.7484,
0.8486,0.3825,0.006705,0.008375,0.008944,0.009262,0.005852,0.004656,0.003543,0.00772,0.01023,0.1863,0.7484,
0.8477,0.3946,0.006542,0.00836,0.00895,0.009262,0.00589,0.004637,0.003556,0.007861,0.01001,0.1863,0.7486,
0.8474,0.3906,0.006537,0.008349,0.008951,0.009249,0.005909,0.004638,0.003538,0.00788,0.009948,0.1863,0.7487,
0.8472,0.3926,0.006533,0.008329,0.00896,0.009221,0.005965,0.004582,0.003538,0.008008,0.009821,0.1863,0.7487,
0.847,0.3848,0.00659,0.00832,0.008974,0.00918,0.005929,0.004562,0.003551,0.008073,0.009735,0.1863,0.7488,
0.8465,0.3953,0.006463,0.008319,0.008989,0.009225,0.005988,0.004521,0.003533,0.008441,0.009295,0.1864,0.7488,
