RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3529000.0,2861000.0,3023000.0,3242000.0,2382000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.4019999999999997E8,
3369000.0,2842000.0,3021000.0,3242000.0,2382000.0,1562000.0,1144000.0,1890000.0,2685000.0,6.027E7,2.4039999999999997E8,
3200000.0,2836000.0,3021000.0,3242000.0,2351000.0,1560000.0,1144000.0,1890000.0,2685000.0,6.03E7,2.4059999999999997E8,
2916000.0,2823000.0,3015000.0,3237000.0,2309000.0,1560000.0,1144000.0,1890000.0,2685000.0,6.03E7,2.4089999999999997E8,
2927000.0,2822000.0,3015000.0,3232000.0,2287000.0,1559000.0,1143000.0,1890000.0,2821000.0,6.016E7,2.4089999999999997E8,
2820000.0,2821000.0,3013000.0,3216000.0,2269000.0,1559000.0,1143000.0,1889000.0,2821000.0,6.016E7,2.4109999999999997E8,
2795000.0,2818000.0,2996000.0,3206000.0,2249000.0,1558000.0,1143000.0,1889000.0,2820000.0,6.03E7,2.4109999999999997E8,
2702000.0,2806000.0,2996000.0,3197000.0,2249000.0,1558000.0,1143000.0,1889000.0,2930000.0,6.03E7,2.4119999999999997E8,
2719000.0,2805000.0,2995000.0,3185000.0,2249000.0,1558000.0,1142000.0,1889000.0,2958000.0,6.027E7,2.4119999999999997E8,
2677000.0,2801000.0,2974000.0,3171000.0,2249000.0,1558000.0,1142000.0,1889000.0,2958000.0,6.027E7,2.4129999999999997E8,
2611000.0,2797000.0,2974000.0,3168000.0,2235000.0,1558000.0,1142000.0,1889000.0,2958000.0,6.027E7,2.4139999999999997E8,
2591000.0,2779000.0,2966000.0,3168000.0,2235000.0,1558000.0,1142000.0,1889000.0,3008000.0,6.022E7,2.4139999999999997E8,
2464000.0,2770000.0,2951000.0,3168000.0,2219000.0,1558000.0,1142000.0,1889000.0,3078000.0,6.015E7,2.4159999999999997E8,
2433000.0,2769000.0,2951000.0,3159000.0,2197000.0,1556000.0,1139000.0,1889000.0,3078000.0,6.015E7,2.4159999999999997E8,
2496000.0,2769000.0,2951000.0,3155000.0,2141000.0,1556000.0,1139000.0,1889000.0,3363000.0,6.03E7,2.4159999999999997E8,
2481000.0,2762000.0,2951000.0,3146000.0,2106000.0,1554000.0,1139000.0,1889000.0,3400000.0,6.026E7,2.4169999999999997E8,
2400000.0,2758000.0,2945000.0,3135000.0,2090000.0,1550000.0,1139000.0,1889000.0,3400000.0,6.026E7,2.4179999999999997E8,
2367000.0,2745000.0,2943000.0,3125000.0,2074000.0,1550000.0,1139000.0,1889000.0,3409000.0,6.025E7,2.4179999999999997E8,
2305000.0,2745000.0,2943000.0,3120000.0,2036000.0,1546000.0,1137000.0,1889000.0,3409000.0,6.025E7,2.4189999999999997E8,
2275000.0,2745000.0,2943000.0,3120000.0,2005000.0,1546000.0,1137000.0,1889000.0,3439000.0,6.03E7,2.4199999999999997E8,
2226000.0,2742000.0,2929000.0,3102000.0,2000000.0,1545000.0,1136000.0,1889000.0,3444000.0,6.029E7,2.4209999999999997E8,
2253000.0,2738000.0,2928000.0,3091000.0,1991000.0,1544000.0,1134000.0,1889000.0,3467000.0,6.027E7,2.4209999999999997E8,
2200000.0,2737000.0,2927000.0,3084000.0,1991000.0,1544000.0,1134000.0,1889000.0,3499000.0,6.024E7,2.4209999999999997E8,
2170000.0,2737000.0,2927000.0,3084000.0,1984000.0,1544000.0,1134000.0,1889000.0,3499000.0,6.03E7,2.4209999999999997E8,
2188000.0,2737000.0,2926000.0,3076000.0,1970000.0,1544000.0,1134000.0,1888000.0,3531000.0,6.027E7,2.4209999999999997E8,
