entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8657,0.4092,0.01062,0.008869,0.009391,0.01004,0.007531,0.004842,0.003547,0.005857,0.008347,0.1864,0.7445,
0.862,0.4194,0.009927,0.008785,0.009383,0.009981,0.007471,0.004838,0.003542,0.005857,0.008424,0.1863,0.7455,
0.8627,0.4124,0.009765,0.008766,0.009384,0.009935,0.007472,0.004838,0.003542,0.005857,0.008974,0.1858,0.7457,
0.8605,0.4138,0.009482,0.008697,0.009352,0.00992,0.007381,0.004834,0.003543,0.005857,0.008974,0.1858,0.7462,
0.8575,0.4121,0.008949,0.008697,0.009313,0.009891,0.00731,0.004826,0.003542,0.005857,0.008975,0.1858,0.7468,
0.8568,0.4111,0.008988,0.008697,0.009313,0.009862,0.007144,0.004817,0.003543,0.005857,0.008975,0.1858,0.747,
0.8533,0.3782,0.008352,0.008662,0.009305,0.009835,0.007078,0.004817,0.003542,0.005857,0.008975,0.1858,0.7478,
0.8522,0.3839,0.008322,0.008644,0.009218,0.009824,0.006793,0.004793,0.003538,0.005838,0.00895,0.1867,0.7473,
0.8511,0.3809,0.008133,0.008637,0.009217,0.0098,0.006705,0.004782,0.003537,0.005838,0.009037,0.1867,0.7476,
0.8501,0.3843,0.00788,0.008605,0.009164,0.009776,0.006654,0.004782,0.003537,0.005837,0.009317,0.1864,0.748,
0.8486,0.3831,0.007666,0.008593,0.009164,0.009776,0.006551,0.004782,0.003537,0.005838,0.009317,0.1864,0.7483,
0.8489,0.3778,0.007592,0.008564,0.009164,0.009746,0.006481,0.004782,0.003537,0.005838,0.00972,0.1861,0.7485,
0.8471,0.3845,0.007248,0.008544,0.009157,0.009712,0.006351,0.004779,0.003534,0.005834,0.009714,0.1866,0.7485,
0.8456,0.3831,0.007037,0.00851,0.009139,0.0097,0.006313,0.004775,0.00353,0.005834,0.009714,0.1866,0.7488,
0.8451,0.3739,0.007032,0.008487,0.009095,0.009665,0.006286,0.004775,0.00353,0.005834,0.009714,0.1866,0.749,
0.8459,0.3667,0.00701,0.008483,0.009093,0.009653,0.006247,0.004775,0.003529,0.005834,0.01012,0.1862,0.749,
0.8465,0.3764,0.007017,0.008479,0.009049,0.009638,0.006163,0.004773,0.003528,0.005831,0.01042,0.1863,0.7488,
0.8478,0.3637,0.007118,0.008479,0.009049,0.009638,0.006163,0.004773,0.003528,0.005831,0.01069,0.186,0.7487,
0.8474,0.3746,0.007118,0.008479,0.009049,0.009638,0.006115,0.004761,0.003518,0.005831,0.01069,0.186,0.7488,
0.8487,0.3709,0.007284,0.008468,0.009045,0.009611,0.006115,0.004761,0.003519,0.005832,0.0109,0.1858,0.7487,
0.8491,0.3638,0.007278,0.008462,0.009038,0.009604,0.006072,0.004753,0.003511,0.005827,0.0109,0.1864,0.7481,
0.8491,0.3648,0.007193,0.008443,0.009036,0.009602,0.006052,0.004748,0.003511,0.005826,0.01106,0.1864,0.7481,
0.8503,0.3681,0.00729,0.008437,0.009031,0.00959,0.005996,0.004748,0.003511,0.005826,0.01147,0.186,0.7481,
0.8504,0.3659,0.007287,0.008434,0.008983,0.009572,0.005993,0.004746,0.003509,0.005823,0.01147,0.1863,0.7479,
0.8501,0.3772,0.007283,0.008426,0.008939,0.009559,0.005992,0.004746,0.003509,0.005823,0.01147,0.1863,0.7479,
0.8492,0.3924,0.007188,0.008426,0.008939,0.009533,0.005911,0.004746,0.003509,0.005823,0.01146,0.1863,0.7481,
0.8485,0.354,0.007087,0.008418,0.008936,0.009501,0.005911,0.004746,0.003509,0.005823,0.01146,0.1863,0.7483,
0.8476,0.3488,0.006954,0.008407,0.008936,0.009439,0.005912,0.004746,0.003509,0.005823,0.01146,0.1864,0.7484,
0.8463,0.3713,0.006767,0.008403,0.008874,0.009403,0.005911,0.004746,0.003509,0.005823,0.01146,0.1864,0.7487,
0.8452,0.3547,0.006658,0.008338,0.008869,0.009358,0.005832,0.004742,0.003509,0.005824,0.01154,0.1864,0.749,
0.844,0.3552,0.006535,0.008318,0.008842,0.009329,0.005813,0.004694,0.003494,0.006106,0.01124,0.1864,0.7492,
0.8438,0.3626,0.006514,0.008296,0.008856,0.009284,0.005809,0.004676,0.003551,0.00671,0.01052,0.1865,0.7493,
0.8416,0.4032,0.00643,0.008266,0.008868,0.009343,0.005635,0.004628,0.007802,0.002583,0.01039,0.1864,0.7496,
0.8413,0.4,0.006367,0.008261,0.008885,0.009393,0.005606,0.004622,0.007783,0.002713,0.0102,0.1865,0.7497,
0.8413,0.4054,0.006357,0.008258,0.008893,0.009385,0.005641,0.004606,0.007765,0.002942,0.009898,0.1865,0.7497,
0.8423,0.417,0.006405,0.008254,0.008904,0.009386,0.005626,0.005726,0.00663,0.003068,0.009931,0.1863,0.7498,
0.8418,0.4247,0.006339,0.00826,0.008908,0.009373,0.005627,0.005721,0.006611,0.003143,0.009802,0.1863,0.7499,
0.8419,0.4266,0.006262,0.008259,0.00892,0.00944,0.005655,0.005693,0.006611,0.003296,0.009648,0.1863,0.7499,
0.842,0.3953,0.006251,0.008256,0.008931,0.009426,0.005655,0.005723,0.006598,0.003314,0.009609,0.1864,0.7498,
0.8445,0.403,0.006404,0.00826,0.008936,0.009411,0.005622,0.005697,0.006641,0.003312,0.01029,0.1857,0.7497,
0.8445,0.39,0.006384,0.008272,0.008944,0.009411,0.005603,0.0057,0.006645,0.003512,0.01006,0.1857,0.7498,
0.8435,0.4287,0.006389,0.008271,0.008949,0.009434,0.005608,0.009458,0.002868,0.003509,0.01003,0.1863,0.7492,
0.8437,0.4372,0.006384,0.008269,0.008957,0.009434,0.005608,0.009458,0.002868,0.003692,0.009851,0.1863,0.7492,
0.8435,0.432,0.006368,0.008255,0.008965,0.009413,0.005624,0.009472,0.002838,0.003711,0.009833,0.1863,0.7492,
0.8436,0.3803,0.006359,0.008255,0.008975,0.009413,0.005643,0.009453,0.002856,0.003778,0.009747,0.1863,0.7492,
0.8432,0.3787,0.006329,0.008253,0.00899,0.009387,0.005643,0.009406,0.002856,0.003778,0.009746,0.1863,0.7493,
0.8432,0.3803,0.006323,0.008254,0.008995,0.009373,0.005661,0.009406,0.002837,0.003812,0.009712,0.1863,0.7493,
0.8421,0.3698,0.00616,0.008249,0.009006,0.009339,0.005597,0.009402,0.002837,0.003943,0.009582,0.1863,0.7496,
0.8448,0.3756,0.006259,0.008245,0.009011,0.009324,0.005652,0.009387,0.002797,0.004459,0.009729,0.1857,0.7495,
0.8461,0.3725,0.006378,0.008234,0.009023,0.00932,0.005708,0.009331,0.002815,0.0045,0.009871,0.1855,0.7493,
0.8456,0.386,0.006326,0.008218,0.009047,0.00932,0.005708,0.0093,0.004742,0.00262,0.00981,0.1855,0.7494,
0.8455,0.3786,0.006295,0.008211,0.009055,0.009322,0.005639,0.009312,0.00473,0.00298,0.00941,0.1855,0.7495,
0.8463,0.3813,0.006274,0.008194,0.009054,0.009228,0.005568,0.009322,0.004689,0.003445,0.009064,0.1862,0.749,
0.8455,0.3761,0.006122,0.008181,0.009059,0.009198,0.005605,0.009297,0.004692,0.003698,0.008726,0.1863,0.7491,
0.8452,0.3811,0.006095,0.008185,0.009065,0.009185,0.005643,0.009279,0.004673,0.003819,0.008535,0.1864,0.7492,
0.8468,0.3732,0.006043,0.008182,0.009077,0.009212,0.007316,0.007585,0.004711,0.003976,0.008762,0.1858,0.7493,
0.8492,0.3654,0.006288,0.008178,0.009086,0.009239,0.007241,0.007585,0.004711,0.004016,0.009193,0.1854,0.7491,
0.8501,0.3792,0.00632,0.008164,0.009085,0.009186,0.01043,0.004398,0.004686,0.004262,0.00924,0.186,0.7482,
0.8489,0.3664,0.006361,0.00817,0.009092,0.009171,0.01157,0.003163,0.004686,0.00428,0.009331,0.1859,0.7482,
0.8481,0.3645,0.006306,0.008166,0.0091,0.009113,0.01149,0.003145,0.004681,0.00433,0.009265,0.186,0.7484,
0.8426,0.3711,0.006248,0.008161,0.009099,0.009099,0.0104,0.003121,0.004656,0.004346,0.009192,0.186,0.7496,
0.8413,0.3717,0.006075,0.008151,0.009103,0.009073,0.01036,0.003125,0.004619,0.004396,0.009142,0.1861,0.7499,
