RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3345000.0,2862000.0,3035000.0,3237000.0,2421000.0,1561000.0,1143000.0,1890000.0,2806000.0,6.003E7,2.4029999999999997E8,
3197000.0,2860000.0,3035000.0,3237000.0,2390000.0,1561000.0,1143000.0,1890000.0,2806000.0,6.03E7,2.4049999999999997E8,
3024000.0,2839000.0,3033000.0,3231000.0,2355000.0,1561000.0,1143000.0,1889000.0,2806000.0,6.03E7,2.4069999999999997E8,
2830000.0,2830000.0,3033000.0,3231000.0,2355000.0,1561000.0,1143000.0,1889000.0,2806000.0,6.03E7,2.4089999999999997E8,
2726000.0,2825000.0,3032000.0,3231000.0,2338000.0,1561000.0,1143000.0,1889000.0,2806000.0,6.03E7,2.4109999999999997E8,
2697000.0,2821000.0,3031000.0,3231000.0,2301000.0,1561000.0,1143000.0,1889000.0,2806000.0,6.03E7,2.4109999999999997E8,
2667000.0,2803000.0,3031000.0,3231000.0,2286000.0,1559000.0,1143000.0,1889000.0,2815000.0,6.03E7,2.4119999999999997E8,
2618000.0,2803000.0,3031000.0,3222000.0,2264000.0,1558000.0,1141000.0,1889000.0,2815000.0,6.03E7,2.4129999999999997E8,
2578000.0,2801000.0,3029000.0,3218000.0,2212000.0,1553000.0,1141000.0,1889000.0,2815000.0,6.03E7,2.4129999999999997E8,
2554000.0,2801000.0,3028000.0,3205000.0,2197000.0,1549000.0,1140000.0,1889000.0,2815000.0,6.03E7,2.4139999999999997E8,
2502000.0,2790000.0,3027000.0,3201000.0,2172000.0,1548000.0,1138000.0,1889000.0,2815000.0,6.03E7,2.4149999999999997E8,
2422000.0,2781000.0,3002000.0,3193000.0,2129000.0,1548000.0,1138000.0,1889000.0,2815000.0,6.03E7,2.4159999999999997E8,
2410000.0,2769000.0,2999000.0,3181000.0,2108000.0,1547000.0,1137000.0,1888000.0,2888000.0,6.03E7,2.4169999999999997E8,
2409000.0,2765000.0,2986000.0,3167000.0,2071000.0,1546000.0,1137000.0,1888000.0,2888000.0,6.03E7,2.4169999999999997E8,
2431000.0,2765000.0,2986000.0,3138000.0,2047000.0,1546000.0,1137000.0,1888000.0,2917000.0,6.027E7,2.4169999999999997E8,
