entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8681,0.4089,0.01129,0.008872,0.009386,0.01004,0.007437,0.004835,0.003546,0.005854,0.008243,0.1868,0.7437,
0.8694,0.4046,0.01142,0.008872,0.009386,0.01004,0.007321,0.004832,0.003541,0.005854,0.008658,0.1864,0.7437,
0.8701,0.4012,0.01147,0.008872,0.009358,0.01004,0.007252,0.004827,0.003541,0.005854,0.008981,0.1861,0.7437,
0.8698,0.4039,0.01147,0.008872,0.009358,0.01004,0.007201,0.004827,0.003541,0.005854,0.008981,0.1861,0.7438,
0.87,0.3999,0.01146,0.008865,0.009349,0.01003,0.007126,0.004819,0.003538,0.00585,0.008974,0.1867,0.7433,
0.8697,0.3867,0.01152,0.008864,0.009346,0.01001,0.006932,0.004818,0.003538,0.005849,0.009082,0.1867,0.7434,
0.8705,0.3878,0.0116,0.008864,0.009346,0.009988,0.006931,0.004817,0.003537,0.005848,0.009249,0.1865,0.7433,
0.8707,0.3797,0.01165,0.008861,0.009342,0.009984,0.006763,0.004805,0.003536,0.005846,0.009439,0.1866,0.7432,
0.87,0.379,0.01165,0.00886,0.009343,0.009973,0.006622,0.004805,0.003536,0.005846,0.009439,0.1866,0.7433,
0.8695,0.3789,0.01165,0.00886,0.009343,0.00996,0.006536,0.004805,0.003536,0.005846,0.009439,0.1866,0.7434,
0.8685,0.3837,0.01123,0.008848,0.009325,0.00996,0.006416,0.004805,0.003536,0.005846,0.009916,0.1861,0.744,
0.8656,0.3586,0.01093,0.008831,0.009277,0.00996,0.006176,0.004786,0.003536,0.005834,0.009901,0.1861,0.7446,
0.8615,0.372,0.00996,0.008775,0.00927,0.009956,0.006158,0.00478,0.003529,0.005831,0.009897,0.1865,0.7453,
0.8612,0.3643,0.009838,0.008726,0.009199,0.009943,0.006141,0.004776,0.003525,0.005831,0.01021,0.1862,0.7456,
0.8585,0.3601,0.009285,0.008712,0.009199,0.00994,0.006108,0.004768,0.003525,0.00583,0.01021,0.1862,0.7462,
0.8569,0.3609,0.008922,0.008669,0.009194,0.009935,0.005936,0.004766,0.003523,0.005827,0.01038,0.1864,0.7464,
0.8557,0.3669,0.008763,0.008624,0.009191,0.009936,0.005886,0.004766,0.003523,0.005827,0.01038,0.1864,0.7467,
0.8547,0.3583,0.008516,0.008604,0.009191,0.009906,0.005856,0.004758,0.003513,0.005827,0.01056,0.1863,0.747,
0.8529,0.3636,0.00814,0.008586,0.00919,0.009906,0.005856,0.004758,0.003513,0.005827,0.01056,0.1863,0.7474,
0.8532,0.3581,0.00815,0.008542,0.009186,0.009906,0.005856,0.004758,0.003514,0.005827,0.01072,0.1861,0.7474,
0.8541,0.3553,0.008253,0.008525,0.009186,0.009892,0.005856,0.004758,0.003513,0.005827,0.01092,0.1859,0.7474,
0.8537,0.3523,0.008156,0.0085,0.009162,0.009864,0.005817,0.004755,0.003509,0.005827,0.01114,0.1857,0.7476,
0.8527,0.3564,0.008039,0.008484,0.009148,0.009835,0.005776,0.004755,0.003509,0.005827,0.01114,0.1857,0.7478,
0.853,0.3514,0.007999,0.008455,0.009094,0.009801,0.005753,0.004747,0.003506,0.005823,0.01124,0.1862,0.7474,
0.853,0.3516,0.008031,0.008447,0.00904,0.009801,0.005753,0.004747,0.003506,0.005818,0.01131,0.1862,0.7474,
0.8535,0.3503,0.008037,0.008446,0.008999,0.009785,0.005752,0.004746,0.003505,0.005817,0.01147,0.1861,0.7473,
0.8531,0.3518,0.007999,0.008431,0.008995,0.009761,0.005752,0.004746,0.003505,0.005817,0.01147,0.1862,0.7474,
0.8519,0.3509,0.00788,0.008417,0.008993,0.009746,0.005649,0.004741,0.003505,0.005817,0.01147,0.1862,0.7476,
0.8517,0.3485,0.007818,0.008413,0.008991,0.009731,0.005648,0.00474,0.003505,0.005817,0.01147,0.1863,0.7476,
0.8514,0.3535,0.00776,0.008399,0.008991,0.009731,0.005648,0.00474,0.003505,0.005817,0.01147,0.1863,0.7476,
0.8513,0.3666,0.007694,0.008395,0.008998,0.009707,0.005645,0.004741,0.004757,0.004734,0.01128,0.1863,0.7478,
0.8522,0.3677,0.007774,0.00839,0.009005,0.009698,0.005682,0.004723,0.004757,0.004904,0.01122,0.1862,0.7477,
0.8522,0.3715,0.007669,0.008359,0.009008,0.009763,0.005754,0.004648,0.004781,0.005259,0.01084,0.1862,0.7477,
0.8519,0.3713,0.007592,0.008377,0.009013,0.009805,0.005774,0.004607,0.004823,0.005414,0.01058,0.1862,0.7478,
0.8517,0.3763,0.007544,0.008384,0.008975,0.009805,0.005774,0.004607,0.004841,0.005556,0.01042,0.1862,0.7478,
0.8519,0.3765,0.007609,0.008379,0.00895,0.009794,0.005788,0.004624,0.004865,0.005509,0.01044,0.1862,0.7478,
0.8514,0.3978,0.007487,0.008359,0.008955,0.009778,0.008219,0.002222,0.004825,0.005574,0.01084,0.1862,0.7475,
0.8507,0.4034,0.007408,0.008363,0.008961,0.009779,0.008122,0.002219,0.004852,0.005724,0.01066,0.1862,0.7477,
0.8506,0.3823,0.0074,0.008359,0.008968,0.009732,0.00809,0.002246,0.004845,0.006072,0.01028,0.1862,0.7478,
0.8513,0.3901,0.007394,0.008361,0.008978,0.009767,0.008084,0.002651,0.004509,0.006052,0.01033,0.1861,0.7477,
0.8512,0.3956,0.007232,0.008368,0.008986,0.00982,0.008121,0.002602,0.004491,0.006236,0.01031,0.186,0.7479,
0.851,0.3949,0.007211,0.008367,0.008926,0.00982,0.008121,0.002633,0.004461,0.006414,0.01013,0.186,0.7479,
0.851,0.3905,0.007281,0.00835,0.008896,0.009777,0.008059,0.00261,0.00448,0.006656,0.01001,0.1858,0.748,
0.8492,0.3912,0.00706,0.008332,0.008863,0.009747,0.007976,0.002583,0.004518,0.006759,0.009863,0.1858,0.7484,
0.8442,0.3945,0.007109,0.008339,0.008864,0.009723,0.006944,0.002515,0.004487,0.006879,0.009793,0.1858,0.7496,
0.8447,0.3919,0.007126,0.008321,0.008875,0.009658,0.006893,0.002514,0.004465,0.006945,0.009848,0.1862,0.7492,
0.8449,0.3954,0.007163,0.008321,0.008881,0.009645,0.006868,0.00251,0.004469,0.007049,0.009809,0.1861,0.7492,
0.8447,0.3982,0.006995,0.008309,0.008894,0.00975,0.006843,0.002513,0.004447,0.007397,0.00953,0.186,0.7493,
0.8445,0.394,0.006974,0.008313,0.008892,0.00972,0.006819,0.002519,0.004428,0.007494,0.009422,0.1862,0.7492,
0.8436,0.412,0.00697,0.008313,0.008896,0.009677,0.006793,0.0025,0.004428,0.007559,0.009189,0.1864,0.7493,
0.8415,0.4199,0.006706,0.008304,0.008911,0.009669,0.00665,0.002472,0.004423,0.007725,0.009023,0.1864,0.7498,
0.8414,0.4022,0.006737,0.0083,0.008917,0.009624,0.006651,0.002449,0.004423,0.007957,0.008851,0.1862,0.7499,
0.8416,0.3939,0.006795,0.008296,0.008879,0.00962,0.006592,0.00243,0.004423,0.007957,0.009002,0.1861,0.7499,
0.8428,0.3762,0.006982,0.008291,0.008886,0.00962,0.006529,0.002468,0.004366,0.008051,0.009124,0.1859,0.7498,
0.8419,0.3789,0.0068,0.008294,0.008888,0.009638,0.006524,0.00245,0.004366,0.008147,0.009026,0.1859,0.75,
0.843,0.4001,0.006916,0.008293,0.008891,0.009607,0.006521,0.004751,0.002062,0.008385,0.008913,0.1861,0.7495,
0.842,0.3951,0.006759,0.008291,0.008896,0.009607,0.006521,0.004727,0.002062,0.008453,0.008807,0.1862,0.7497,
0.8428,0.3872,0.00689,0.008289,0.008904,0.009591,0.006483,0.004708,0.002076,0.008587,0.008788,0.1861,0.7495,
0.8421,0.3951,0.006869,0.008269,0.008869,0.00956,0.006466,0.004713,0.002038,0.008656,0.00872,0.1862,0.7497,
0.8417,0.4001,0.006848,0.008257,0.008833,0.00955,0.006465,0.004731,0.002046,0.009212,0.008135,0.1862,0.7498,
0.8407,0.3952,0.006704,0.00824,0.008792,0.009579,0.006442,0.004738,0.002027,0.009212,0.008136,0.1862,0.75,
0.8415,0.3935,0.006791,0.008235,0.008792,0.009573,0.006347,0.004727,0.002008,0.009341,0.00825,0.1861,0.7498,
0.841,0.3893,0.006767,0.008218,0.008802,0.009561,0.006281,0.004723,0.002007,0.009392,0.008199,0.1861,0.7499,
0.8399,0.3894,0.006683,0.008192,0.008806,0.009518,0.006258,0.004759,0.001933,0.009689,0.007902,0.1862,0.7501,
0.8407,0.3897,0.006788,0.008184,0.008811,0.009496,0.006212,0.004777,0.001942,0.009866,0.007899,0.186,0.7501,
0.8405,0.3907,0.006746,0.008176,0.008819,0.009464,0.006243,0.004782,0.001941,0.01004,0.007682,0.1861,0.75,
0.8414,0.3749,0.006872,0.008173,0.008828,0.009449,0.006777,0.004156,0.001969,0.01017,0.007836,0.1858,0.75,
0.841,0.3735,0.00687,0.008158,0.008844,0.009449,0.006766,0.004182,0.001923,0.01023,0.007741,0.1858,0.75,
0.8427,0.3698,0.006945,0.008129,0.008855,0.009442,0.006775,0.004149,0.001973,0.01023,0.008174,0.1853,0.75,
0.8439,0.3695,0.006972,0.008121,0.008858,0.009419,0.006747,0.004128,0.001971,0.01034,0.008197,0.186,0.7493,
0.8441,0.3874,0.007071,0.008117,0.008868,0.00942,0.007333,0.003426,0.001971,0.01044,0.008307,0.1858,0.7493,
0.8431,0.383,0.00697,0.008113,0.008852,0.00942,0.007281,0.003454,0.002009,0.01058,0.008043,0.1858,0.7495,
0.8418,0.3813,0.0068,0.008118,0.008858,0.009396,0.00718,0.00348,0.002016,0.01063,0.007956,0.1858,0.7498,
0.8409,0.3814,0.006777,0.008124,0.008863,0.009364,0.007095,0.003496,0.001996,0.01103,0.007503,0.1859,0.7499,
0.8421,0.3815,0.006862,0.008105,0.008874,0.009364,0.007048,0.003474,0.002043,0.01108,0.007763,0.1855,0.7499,
0.8428,0.3872,0.006976,0.008104,0.008881,0.009364,0.006967,0.003466,0.002069,0.01113,0.00786,0.1853,0.7499,
0.8427,0.3728,0.006896,0.0081,0.008883,0.009396,0.006869,0.003449,0.002136,0.01121,0.007696,0.1859,0.7495,
0.845,0.3731,0.007073,0.008105,0.008892,0.009396,0.006921,0.003434,0.002147,0.01131,0.007989,0.1854,0.7493,
0.8443,0.3738,0.007043,0.008066,0.008896,0.009402,0.006824,0.003434,0.002176,0.01141,0.007862,0.1854,0.7495,
0.8431,0.3773,0.006968,0.008046,0.008854,0.009402,0.006694,0.003465,0.002154,0.01143,0.007858,0.1854,0.7497,
0.8428,0.3835,0.006849,0.008039,0.008849,0.009471,0.007392,0.002718,0.002186,0.01149,0.008045,0.1851,0.7499,
0.8397,0.381,0.006478,0.008024,0.008854,0.009442,0.007135,0.002729,0.00222,0.01149,0.007989,0.1851,0.7505,
0.8356,0.3773,0.006296,0.007972,0.00886,0.009434,0.006635,0.002643,0.002248,0.01153,0.007879,0.1851,0.7514,
