RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3645000.0,2864000.0,3030000.0,3242000.0,2401000.0,1561000.0,1144000.0,1890000.0,2661000.0,6.03E7,2.3999999999999997E8,
3687000.0,2864000.0,3030000.0,3242000.0,2363000.0,1560000.0,1143000.0,1890000.0,2795000.0,6.017E7,2.3999999999999997E8,
3702000.0,2864000.0,3020000.0,3242000.0,2341000.0,1558000.0,1143000.0,1890000.0,2899000.0,6.006E7,2.4009999999999997E8,
3702000.0,2864000.0,3020000.0,3242000.0,2324000.0,1558000.0,1143000.0,1890000.0,2899000.0,6.006E7,2.4009999999999997E8,
3702000.0,2864000.0,3020000.0,3239000.0,2302000.0,1556000.0,1143000.0,1890000.0,2899000.0,6.03E7,2.4009999999999997E8,
3721000.0,2863000.0,3019000.0,3235000.0,2239000.0,1556000.0,1143000.0,1889000.0,2934000.0,6.03E7,2.4009999999999997E8,
3748000.0,2863000.0,3019000.0,3226000.0,2239000.0,1556000.0,1143000.0,1889000.0,2988000.0,6.025E7,2.4009999999999997E8,
3765000.0,2863000.0,3019000.0,3226000.0,2185000.0,1553000.0,1143000.0,1889000.0,3050000.0,6.03E7,2.4019999999999997E8,
3764000.0,2863000.0,3019000.0,3223000.0,2140000.0,1553000.0,1143000.0,1889000.0,3050000.0,6.03E7,2.4019999999999997E8,
3763000.0,2863000.0,3019000.0,3219000.0,2112000.0,1553000.0,1143000.0,1889000.0,3050000.0,6.03E7,2.4019999999999997E8,
3629000.0,2859000.0,3013000.0,3219000.0,2073000.0,1553000.0,1143000.0,1889000.0,3204000.0,6.015E7,2.4039999999999997E8,
3533000.0,2854000.0,2998000.0,3219000.0,1996000.0,1547000.0,1143000.0,1885000.0,3199000.0,6.015E7,2.4059999999999997E8,
3220000.0,2837000.0,2997000.0,3219000.0,1991000.0,1545000.0,1141000.0,1885000.0,3199000.0,6.03E7,2.4099999999999997E8,
3180000.0,2821000.0,2974000.0,3214000.0,1985000.0,1544000.0,1139000.0,1885000.0,3299000.0,6.02E7,2.4099999999999997E8,
3001000.0,2816000.0,2974000.0,3213000.0,1974000.0,1541000.0,1139000.0,1885000.0,3299000.0,6.02E7,2.4119999999999997E8,
2886000.0,2804000.0,2974000.0,3213000.0,1920000.0,1541000.0,1139000.0,1885000.0,3358000.0,6.03E7,2.4139999999999997E8,
2834000.0,2789000.0,2973000.0,3213000.0,1904000.0,1541000.0,1139000.0,1885000.0,3358000.0,6.03E7,2.4149999999999997E8,
2754000.0,2782000.0,2972000.0,3204000.0,1894000.0,1539000.0,1136000.0,1885000.0,3415000.0,6.024E7,2.4159999999999997E8,
2633000.0,2777000.0,2972000.0,3204000.0,1894000.0,1539000.0,1136000.0,1885000.0,3415000.0,6.024E7,2.4169999999999997E8,
2636000.0,2763000.0,2971000.0,3204000.0,1894000.0,1539000.0,1136000.0,1885000.0,3468000.0,6.019E7,2.4169999999999997E8,
2669000.0,2757000.0,2971000.0,3199000.0,1894000.0,1539000.0,1136000.0,1884000.0,3530000.0,6.012E7,2.4169999999999997E8,
2638000.0,2749000.0,2963000.0,3190000.0,1881000.0,1538000.0,1135000.0,1884000.0,3601000.0,6.005E7,2.4179999999999997E8,
2599000.0,2744000.0,2958000.0,3180000.0,1868000.0,1538000.0,1135000.0,1884000.0,3601000.0,6.005E7,2.4179999999999997E8,
2588000.0,2736000.0,2943000.0,3172000.0,1862000.0,1536000.0,1135000.0,1884000.0,3636000.0,6.026E7,2.4179999999999997E8,
2599000.0,2734000.0,2925000.0,3172000.0,1862000.0,1536000.0,1135000.0,1883000.0,3658000.0,6.024E7,2.4189999999999997E8,
2601000.0,2733000.0,2913000.0,3167000.0,1862000.0,1536000.0,1134000.0,1883000.0,3711000.0,6.025E7,2.4189999999999997E8,
2589000.0,2729000.0,2911000.0,3159000.0,1862000.0,1536000.0,1134000.0,1883000.0,3711000.0,6.025E7,2.4189999999999997E8,
2550000.0,2724000.0,2910000.0,3154000.0,1828000.0,1534000.0,1134000.0,1883000.0,3711000.0,6.025E7,2.4199999999999997E8,
2531000.0,2723000.0,2910000.0,3150000.0,1828000.0,1534000.0,1134000.0,1883000.0,3711000.0,6.03E7,2.4199999999999997E8,
2512000.0,2719000.0,2910000.0,3150000.0,1828000.0,1534000.0,1134000.0,1883000.0,3711000.0,6.03E7,2.4199999999999997E8,
2490000.0,2717000.0,2912000.0,3142000.0,1827000.0,1535000.0,1540000.0,1532000.0,3650000.0,6.03E7,2.4199999999999997E8,
2516000.0,2715000.0,2914000.0,3139000.0,1839000.0,1529000.0,1540000.0,1587000.0,3631000.0,6.026E7,2.4199999999999997E8,
2482000.0,2705000.0,2915000.0,3160000.0,1862000.0,1504000.0,1547000.0,1702000.0,3508000.0,6.026E7,2.4199999999999997E8,
2457000.0,2711000.0,2917000.0,3173000.0,1869000.0,1491000.0,1561000.0,1752000.0,3425000.0,6.028E7,2.4199999999999997E8,
2441000.0,2713000.0,2905000.0,3173000.0,1869000.0,1491000.0,1567000.0,1798000.0,3373000.0,6.028E7,2.4199999999999997E8,
2463000.0,2712000.0,2896000.0,3170000.0,1873000.0,1496000.0,1575000.0,1783000.0,3377000.0,6.026E7,2.4199999999999997E8,
2424000.0,2707000.0,2900000.0,3166000.0,2661000.0,719600.0,1562000.0,1805000.0,3511000.0,6.03E7,2.4199999999999997E8,
2398000.0,2708000.0,2901000.0,3166000.0,2630000.0,718400.0,1571000.0,1853000.0,3452000.0,6.03E7,2.4209999999999997E8,
2396000.0,2706000.0,2904000.0,3151000.0,2619000.0,727100.0,1569000.0,1966000.0,3329000.0,6.03E7,2.4209999999999997E8,
2394000.0,2707000.0,2907000.0,3162000.0,2617000.0,858100.0,1460000.0,1960000.0,3344000.0,6.026E7,2.4209999999999997E8,
2341000.0,2709000.0,2909000.0,3179000.0,2629000.0,842500.0,1454000.0,2019000.0,3337000.0,6.021E7,2.4209999999999997E8,
2335000.0,2709000.0,2890000.0,3179000.0,2629000.0,852400.0,1444000.0,2076000.0,3279000.0,6.021E7,2.4209999999999997E8,
2357000.0,2703000.0,2880000.0,3165000.0,2609000.0,845000.0,1450000.0,2154000.0,3240000.0,6.016E7,2.4219999999999997E8,
2285000.0,2697000.0,2869000.0,3155000.0,2582000.0,836200.0,1463000.0,2188000.0,3193000.0,6.016E7,2.4229999999999997E8,
2301000.0,2699000.0,2869000.0,3147000.0,2248000.0,814100.0,1452000.0,2226000.0,3170000.0,6.014E7,2.4259999999999997E8,
2308000.0,2695000.0,2874000.0,3128000.0,2232000.0,814000.0,1446000.0,2249000.0,3189000.0,6.03E7,2.4259999999999997E8,
2320000.0,2695000.0,2876000.0,3124000.0,2224000.0,812800.0,1447000.0,2283000.0,3177000.0,6.027E7,2.4259999999999997E8,
2265000.0,2691000.0,2880000.0,3158000.0,2216000.0,813900.0,1440000.0,2396000.0,3086000.0,6.025E7,2.4269999999999997E8,
