entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8682,0.4078,0.0113,0.008895,0.009409,0.01005,0.00748,0.004842,0.003547,0.005856,0.008246,0.1865,0.7439,
0.8689,0.401,0.01138,0.008895,0.009409,0.01003,0.00748,0.004842,0.003547,0.005856,0.008389,0.1864,0.7438,
0.8707,0.3966,0.0115,0.008895,0.009409,0.01003,0.007385,0.004842,0.003547,0.005856,0.008941,0.1858,0.7438,
0.8705,0.4004,0.01149,0.008891,0.009403,0.01002,0.007382,0.004842,0.003547,0.005856,0.008941,0.1858,0.7438,
0.8713,0.3715,0.01147,0.008876,0.009391,0.01,0.007374,0.004836,0.003543,0.00585,0.008931,0.1867,0.743,
0.8708,0.3766,0.01147,0.008876,0.00939,0.009959,0.007323,0.004833,0.003539,0.005846,0.008931,0.1867,0.7431,
0.8721,0.3727,0.0116,0.008872,0.009387,0.009942,0.007187,0.004821,0.003538,0.005843,0.009295,0.1866,0.7429,
0.8717,0.3739,0.01158,0.008863,0.009382,0.009917,0.007167,0.004816,0.003538,0.005843,0.009296,0.1867,0.7429,
0.8726,0.3726,0.01172,0.008836,0.009348,0.00985,0.007138,0.004814,0.003536,0.005842,0.009542,0.1866,0.7427,
0.872,0.3702,0.01173,0.008835,0.009347,0.009807,0.006984,0.004809,0.003536,0.005841,0.009607,0.1866,0.7429,
0.8674,0.3677,0.01093,0.008763,0.009341,0.009735,0.006857,0.004806,0.003531,0.005842,0.009599,0.1866,0.744,
0.8652,0.3693,0.01046,0.008742,0.009336,0.009717,0.006673,0.004801,0.003531,0.005842,0.0099,0.1863,0.7447,
0.8636,0.3717,0.01025,0.008719,0.009334,0.009688,0.006517,0.004796,0.003526,0.005841,0.009898,0.1866,0.7448,
0.8633,0.3711,0.009974,0.008708,0.00933,0.009685,0.006437,0.004794,0.003525,0.005839,0.01024,0.1865,0.7449,
0.8615,0.3735,0.009617,0.008702,0.009327,0.009648,0.006437,0.004795,0.003524,0.005839,0.01024,0.1865,0.7453,
0.8607,0.3725,0.009554,0.008686,0.009326,0.009637,0.006351,0.004787,0.003515,0.005839,0.01024,0.1865,0.7455,
0.859,0.3839,0.009285,0.008664,0.009322,0.009637,0.006285,0.004783,0.00351,0.005839,0.01024,0.1865,0.7459,
0.8578,0.381,0.009053,0.008628,0.009312,0.009638,0.006191,0.004783,0.00351,0.005839,0.01041,0.1864,0.7463,
0.8589,0.3833,0.009172,0.008628,0.009312,0.009638,0.006122,0.004776,0.003501,0.005839,0.01076,0.186,0.7462,
0.8591,0.381,0.009153,0.008592,0.009253,0.009631,0.006049,0.004769,0.003494,0.005835,0.01091,0.1864,0.7459,
0.8604,0.3704,0.009089,0.008569,0.009253,0.009631,0.00603,0.004764,0.003494,0.005835,0.01152,0.1858,0.746,
0.859,0.3658,0.008938,0.008543,0.009138,0.009615,0.005851,0.004757,0.003492,0.005832,0.01159,0.1862,0.746,
0.8575,0.3669,0.008678,0.008539,0.009138,0.009615,0.005786,0.004757,0.003492,0.005832,0.01159,0.1862,0.7463,
0.8575,0.3735,0.008678,0.008539,0.009138,0.009615,0.005786,0.004757,0.003492,0.005832,0.01159,0.1862,0.7463,
0.8554,0.3782,0.008388,0.008539,0.009138,0.009603,0.005647,0.004752,0.003492,0.005832,0.01159,0.1862,0.7468,
0.857,0.3669,0.008454,0.008496,0.009138,0.009592,0.005586,0.004745,0.003492,0.005832,0.01225,0.1856,0.7468,
0.8562,0.3648,0.008212,0.008468,0.009131,0.009571,0.00554,0.004741,0.003489,0.005828,0.01224,0.1862,0.7466,
0.8555,0.3583,0.008191,0.008447,0.009127,0.009548,0.005468,0.004737,0.003489,0.005828,0.01224,0.1862,0.7467,
0.8547,0.3682,0.008153,0.008425,0.009127,0.009534,0.005371,0.004737,0.003489,0.005828,0.01224,0.1862,0.7469,
0.8536,0.3594,0.00812,0.008353,0.009118,0.009494,0.005187,0.004729,0.003489,0.005828,0.01245,0.186,0.7472,
0.8535,0.3626,0.007995,0.008339,0.009134,0.009533,0.005187,0.004729,0.003489,0.00619,0.01209,0.186,0.7473,
0.8502,0.3678,0.007392,0.008301,0.009066,0.009522,0.005209,0.004772,0.003449,0.006348,0.01181,0.1862,0.7479,
0.85,0.37,0.00737,0.008298,0.009063,0.009522,0.005162,0.004761,0.003456,0.006684,0.01146,0.1862,0.748,
0.8496,0.3721,0.007319,0.008289,0.009071,0.009512,0.00519,0.004733,0.003456,0.006967,0.01112,0.1862,0.7481,
0.851,0.3725,0.007437,0.008268,0.009028,0.009499,0.005241,0.004658,0.003475,0.007151,0.01132,0.1858,0.7481,
0.8495,0.3729,0.007081,0.008271,0.009037,0.009434,0.005277,0.004619,0.003474,0.007237,0.01123,0.1861,0.7482,
0.8503,0.3822,0.007035,0.008264,0.008996,0.009471,0.005287,0.004587,0.003466,0.007235,0.01153,0.1861,0.748,
0.8502,0.3933,0.006965,0.008263,0.009004,0.009504,0.005306,0.004568,0.003491,0.007387,0.01136,0.1861,0.7481,
0.8496,0.3904,0.006843,0.008254,0.009008,0.009501,0.00532,0.004548,0.003474,0.007526,0.01122,0.1861,0.7482,
0.8496,0.3918,0.006838,0.008253,0.009014,0.009501,0.005373,0.004514,0.003474,0.007605,0.01112,0.1861,0.7482,
0.8494,0.4374,0.006714,0.008247,0.009031,0.009486,0.005444,0.004462,0.007579,0.0042,0.01031,0.1861,0.7484,
0.8488,0.436,0.006651,0.008244,0.008961,0.009482,0.005481,0.004425,0.007579,0.004458,0.00999,0.1862,0.7485,
0.8482,0.4439,0.006639,0.008252,0.008964,0.009482,0.006426,0.00348,0.00761,0.004505,0.009848,0.1863,0.7485,
0.8479,0.4653,0.00656,0.008255,0.008971,0.009482,0.006464,0.003476,0.007576,0.004542,0.009811,0.1863,0.7486,
0.8495,0.4085,0.006746,0.008247,0.008984,0.009482,0.006324,0.00342,0.007576,0.004585,0.01034,0.1857,0.7486,
0.8492,0.4218,0.006667,0.008247,0.008995,0.009477,0.006461,0.00324,0.007571,0.005072,0.009848,0.1857,0.7488,
0.8492,0.3821,0.006656,0.008228,0.00901,0.009477,0.006478,0.003242,0.007577,0.005341,0.009515,0.1857,0.7488,
0.8484,0.3884,0.006462,0.008228,0.008973,0.009475,0.006457,0.003236,0.007686,0.005246,0.009493,0.1861,0.7487,
0.8504,0.3789,0.006553,0.008219,0.008983,0.009452,0.006447,0.003276,0.007648,0.005447,0.009814,0.1855,0.7486,
0.8504,0.3978,0.006546,0.00822,0.008989,0.009452,0.006484,0.003239,0.007663,0.00556,0.009687,0.1855,0.7486,
0.8493,0.4021,0.006524,0.008228,0.008952,0.009462,0.007357,0.002344,0.007682,0.005882,0.009307,0.1856,0.7487,
0.8495,0.395,0.006477,0.008216,0.008963,0.009493,0.007314,0.002342,0.007703,0.00591,0.009208,0.186,0.7484,
0.8494,0.3968,0.006392,0.008223,0.008966,0.009568,0.007283,0.002339,0.007698,0.006404,0.008714,0.186,0.7484,
0.849,0.3907,0.006294,0.008217,0.008973,0.009627,0.007264,0.002302,0.007699,0.00667,0.008448,0.186,0.7485,
0.8486,0.3936,0.006287,0.008192,0.008913,0.009627,0.007283,0.002283,0.007699,0.006796,0.008322,0.186,0.7486,
0.8485,0.4089,0.006205,0.008173,0.008865,0.009713,0.007086,0.002296,0.007693,0.007119,0.008258,0.1859,0.7487,
0.8479,0.3931,0.00602,0.00813,0.008877,0.009687,0.007077,0.002279,0.007727,0.007221,0.008336,0.1857,0.7489,
0.8467,0.3804,0.00593,0.008072,0.008873,0.009658,0.007023,0.002256,0.007728,0.007252,0.008306,0.1857,0.7492,
0.8466,0.374,0.00592,0.008079,0.008873,0.009623,0.007038,0.002238,0.007728,0.007632,0.007927,0.1857,0.7492,
0.8453,0.3794,0.005636,0.008066,0.00889,0.009683,0.007057,0.002219,0.007728,0.007632,0.007888,0.1858,0.7494,
0.8398,0.3745,0.005594,0.008078,0.008772,0.009622,0.00613,0.002204,0.007716,0.00761,0.007886,0.1858,0.7506,
0.8402,0.3704,0.005677,0.008069,0.008779,0.009595,0.005934,0.002185,0.007715,0.007665,0.008143,0.1856,0.7506,
0.8417,0.3921,0.005625,0.008075,0.008785,0.009635,0.005919,0.004727,0.005179,0.007683,0.008109,0.1856,0.7506,
0.8431,0.4082,0.005625,0.008073,0.008731,0.00964,0.005665,0.00593,0.003984,0.008722,0.007694,0.1858,0.7502,
