RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3645000.0,2870000.0,3036000.0,3242000.0,2414000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3672000.0,2870000.0,3036000.0,3237000.0,2414000.0,1562000.0,1144000.0,1890000.0,2707000.0,6.013E7,2.3999999999999997E8,
3710000.0,2870000.0,3036000.0,3237000.0,2383000.0,1562000.0,1144000.0,1890000.0,2885000.0,5.995E7,2.3999999999999997E8,
3706000.0,2869000.0,3034000.0,3232000.0,2382000.0,1562000.0,1144000.0,1890000.0,2885000.0,5.995E7,2.3999999999999997E8,
3705000.0,2867000.0,3033000.0,3230000.0,2382000.0,1562000.0,1144000.0,1890000.0,2884000.0,6.03E7,2.3999999999999997E8,
3705000.0,2866000.0,3033000.0,3216000.0,2365000.0,1561000.0,1143000.0,1888000.0,2884000.0,6.03E7,2.3999999999999997E8,
3747000.0,2866000.0,3033000.0,3212000.0,2322000.0,1557000.0,1143000.0,1888000.0,3003000.0,6.03E7,2.3999999999999997E8,
3741000.0,2863000.0,3031000.0,3204000.0,2315000.0,1556000.0,1143000.0,1888000.0,3003000.0,6.03E7,2.3999999999999997E8,
3788000.0,2855000.0,3020000.0,3183000.0,2306000.0,1556000.0,1143000.0,1888000.0,3083000.0,6.03E7,2.3999999999999997E8,
3790000.0,2855000.0,3020000.0,3169000.0,2257000.0,1554000.0,1142000.0,1887000.0,3104000.0,6.03E7,2.3999999999999997E8,
3533000.0,2831000.0,3018000.0,3145000.0,2215000.0,1553000.0,1141000.0,1887000.0,3101000.0,6.03E7,2.4039999999999997E8,
3379000.0,2824000.0,3016000.0,3139000.0,2156000.0,1551000.0,1141000.0,1887000.0,3199000.0,6.02E7,2.4059999999999997E8,
3312000.0,2818000.0,3016000.0,3131000.0,2106000.0,1550000.0,1139000.0,1887000.0,3199000.0,6.03E7,2.4069999999999997E8,
3224000.0,2815000.0,3016000.0,3131000.0,2081000.0,1550000.0,1139000.0,1887000.0,3310000.0,6.03E7,2.4079999999999997E8,
3109000.0,2813000.0,3015000.0,3119000.0,2081000.0,1550000.0,1139000.0,1887000.0,3310000.0,6.03E7,2.4089999999999997E8,
3088000.0,2808000.0,3014000.0,3115000.0,2053000.0,1547000.0,1136000.0,1887000.0,3310000.0,6.03E7,2.4099999999999997E8,
3001000.0,2801000.0,3013000.0,3115000.0,2032000.0,1546000.0,1135000.0,1887000.0,3310000.0,6.03E7,2.4109999999999997E8,
2926000.0,2789000.0,3010000.0,3115000.0,2001000.0,1546000.0,1135000.0,1887000.0,3365000.0,6.025E7,2.4119999999999997E8,
2965000.0,2789000.0,3010000.0,3115000.0,1979000.0,1544000.0,1132000.0,1887000.0,3478000.0,6.013E7,2.4119999999999997E8,
2961000.0,2779000.0,2993000.0,3115000.0,1956000.0,1543000.0,1130000.0,1887000.0,3528000.0,6.03E7,2.4129999999999997E8,
2940000.0,2772000.0,2993000.0,3115000.0,1950000.0,1541000.0,1130000.0,1887000.0,3726000.0,6.01E7,2.4129999999999997E8,
2893000.0,2765000.0,2957000.0,3112000.0,1893000.0,1540000.0,1130000.0,1887000.0,3751000.0,6.028E7,2.4139999999999997E8,
2809000.0,2764000.0,2957000.0,3112000.0,1872000.0,1540000.0,1130000.0,1887000.0,3751000.0,6.028E7,2.4149999999999997E8,
2809000.0,2764000.0,2957000.0,3112000.0,1872000.0,1540000.0,1130000.0,1887000.0,3751000.0,6.028E7,2.4149999999999997E8,
2714000.0,2764000.0,2957000.0,3108000.0,1827000.0,1538000.0,1130000.0,1887000.0,3751000.0,6.028E7,2.4169999999999997E8,
2736000.0,2750000.0,2957000.0,3104000.0,1808000.0,1536000.0,1130000.0,1887000.0,3964000.0,6.006E7,2.4169999999999997E8,
2660000.0,2742000.0,2957000.0,3100000.0,1794000.0,1536000.0,1130000.0,1887000.0,3964000.0,6.03E7,2.4179999999999997E8,
2652000.0,2736000.0,2956000.0,3092000.0,1771000.0,1534000.0,1130000.0,1887000.0,3964000.0,6.03E7,2.4179999999999997E8,
2640000.0,2728000.0,2956000.0,3087000.0,1739000.0,1534000.0,1130000.0,1887000.0,3964000.0,6.03E7,2.4189999999999997E8,
2629000.0,2705000.0,2953000.0,3074000.0,1680000.0,1531000.0,1130000.0,1887000.0,4033000.0,6.023E7,2.4199999999999997E8,
2589000.0,2700000.0,2958000.0,3087000.0,1680000.0,1531000.0,1130000.0,2005000.0,3916000.0,6.023E7,2.4199999999999997E8,
2394000.0,2688000.0,2936000.0,3084000.0,1687000.0,1546000.0,1117000.0,2056000.0,3825000.0,6.03E7,2.4219999999999997E8,
2387000.0,2688000.0,2935000.0,3084000.0,1672000.0,1542000.0,1119000.0,2165000.0,3711000.0,6.03E7,2.4229999999999997E8,
2370000.0,2685000.0,2938000.0,3081000.0,1681000.0,1533000.0,1119000.0,2256000.0,3601000.0,6.032E7,2.4229999999999997E8,
2409000.0,2678000.0,2924000.0,3076000.0,1697000.0,1509000.0,1125000.0,2316000.0,3667000.0,6.019E7,2.4229999999999997E8,
2294000.0,2680000.0,2927000.0,3056000.0,1709000.0,1496000.0,1125000.0,2344000.0,3639000.0,6.03E7,2.4239999999999997E8,
2280000.0,2678000.0,2915000.0,3069000.0,1713000.0,1486000.0,1123000.0,2344000.0,3738000.0,6.03E7,2.4239999999999997E8,
2257000.0,2677000.0,2917000.0,3080000.0,1719000.0,1480000.0,1131000.0,2393000.0,3680000.0,6.03E7,2.4239999999999997E8,
2217000.0,2674000.0,2919000.0,3078000.0,1724000.0,1473000.0,1126000.0,2439000.0,3635000.0,6.03E7,2.4239999999999997E8,
2216000.0,2674000.0,2921000.0,3078000.0,1741000.0,1463000.0,1126000.0,2464000.0,3604000.0,6.03E7,2.4239999999999997E8,
2175000.0,2672000.0,2926000.0,3073000.0,1764000.0,1446000.0,2455000.0,1361000.0,3341000.0,6.03E7,2.4249999999999997E8,
2155000.0,2671000.0,2903000.0,3072000.0,1776000.0,1434000.0,2455000.0,1444000.0,3237000.0,6.032E7,2.4249999999999997E8,
2151000.0,2674000.0,2904000.0,3072000.0,2082000.0,1127000.0,2465000.0,1459000.0,3191000.0,6.034E7,2.4249999999999997E8,
2125000.0,2674000.0,2906000.0,3072000.0,2094000.0,1126000.0,2455000.0,1471000.0,3179000.0,6.034E7,2.4249999999999997E8,
2185000.0,2672000.0,2911000.0,3072000.0,2049000.0,1108000.0,2454000.0,1486000.0,3348000.0,6.015E7,2.4249999999999997E8,
2160000.0,2672000.0,2914000.0,3070000.0,2093000.0,1050000.0,2453000.0,1643000.0,3190000.0,6.015E7,2.4259999999999997E8,
2156000.0,2666000.0,2919000.0,3070000.0,2099000.0,1050000.0,2455000.0,1730000.0,3083000.0,6.016E7,2.4259999999999997E8,
