entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8674,0.4076,0.0113,0.008895,0.009409,0.01005,0.007324,0.004833,0.003542,0.005856,0.008246,0.1865,0.744,
0.8678,0.4073,0.01138,0.008892,0.009406,0.01004,0.007199,0.004827,0.003541,0.005854,0.008356,0.1867,0.7438,
0.8676,0.3869,0.01138,0.008892,0.009406,0.01004,0.007149,0.004827,0.003541,0.005854,0.008356,0.1867,0.7438,
0.8691,0.3846,0.01144,0.008892,0.009406,0.01004,0.007051,0.004827,0.003541,0.005854,0.008918,0.1861,0.7439,
0.8676,0.3871,0.01144,0.008886,0.009402,0.01004,0.006751,0.004815,0.003536,0.005854,0.008918,0.1861,0.7442,
0.868,0.3906,0.01143,0.00888,0.009395,0.01004,0.006708,0.004812,0.003534,0.00585,0.008912,0.1867,0.7438,
0.8674,0.3902,0.01143,0.00888,0.009371,0.01003,0.00663,0.004812,0.003534,0.00585,0.008912,0.1867,0.7439,
0.8659,0.3873,0.01143,0.008877,0.009366,0.00996,0.006388,0.004807,0.003534,0.00585,0.008912,0.1867,0.7442,
0.8648,0.3861,0.01142,0.008877,0.009366,0.009947,0.006154,0.004807,0.003534,0.00585,0.008912,0.1867,0.7444,
0.866,0.3846,0.0115,0.008873,0.009361,0.009931,0.006021,0.004805,0.003532,0.005847,0.00932,0.1866,0.7442,
0.8622,0.3911,0.01076,0.008855,0.009308,0.009918,0.005926,0.004805,0.003532,0.005847,0.009353,0.1866,0.7451,
0.8607,0.3835,0.01046,0.008837,0.009305,0.009879,0.005848,0.0048,0.003532,0.005847,0.009485,0.1865,0.7455,
0.8585,0.3879,0.01014,0.008774,0.009255,0.009824,0.0058,0.004799,0.003532,0.005846,0.009484,0.1866,0.7459,
0.858,0.3819,0.009909,0.008662,0.009251,0.00981,0.005761,0.004799,0.003532,0.005846,0.009911,0.1862,0.7463,
0.8574,0.3784,0.009743,0.008641,0.009248,0.00977,0.005707,0.004799,0.003532,0.005846,0.01015,0.186,0.7466,
0.8537,0.383,0.00901,0.008606,0.009248,0.009755,0.005654,0.004796,0.003528,0.005842,0.01015,0.186,0.7474,
0.8524,0.3672,0.00858,0.00857,0.009247,0.009745,0.005616,0.004796,0.003528,0.005842,0.0105,0.1856,0.7479,
0.8514,0.3694,0.008218,0.008553,0.009236,0.009708,0.0056,0.004788,0.003521,0.005832,0.01048,0.1865,0.7476,
0.848,0.3716,0.007837,0.008546,0.009236,0.009693,0.005335,0.004765,0.003521,0.00582,0.01047,0.1865,0.7483,
0.8471,0.3669,0.007708,0.008546,0.009236,0.009693,0.005274,0.004761,0.003521,0.00582,0.01047,0.1865,0.7485,
0.8474,0.3644,0.007802,0.00854,0.009185,0.009689,0.005274,0.004761,0.003521,0.00582,0.01052,0.1864,0.7485,
0.8464,0.3659,0.007593,0.00854,0.009185,0.009674,0.005274,0.004761,0.003521,0.00582,0.01052,0.1864,0.7487,
0.8457,0.3679,0.007585,0.008531,0.009183,0.009664,0.00516,0.004761,0.003521,0.00582,0.01052,0.1864,0.7488,
0.8458,0.3673,0.007647,0.008513,0.009179,0.009628,0.005145,0.004757,0.003516,0.00582,0.01054,0.1865,0.7488,
0.8445,0.3634,0.007434,0.008512,0.009178,0.009619,0.005102,0.004757,0.003516,0.005819,0.01054,0.1865,0.749,
0.8439,0.3631,0.007356,0.008512,0.009177,0.009606,0.005051,0.004757,0.003515,0.005819,0.01054,0.1865,0.7492,
0.8439,0.3647,0.007356,0.008512,0.009177,0.009606,0.005051,0.004757,0.003515,0.005819,0.01054,0.1865,0.7492,
0.845,0.3603,0.007295,0.008498,0.009177,0.009591,0.00501,0.004757,0.003515,0.005819,0.01117,0.1859,0.7493,
