RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
3645000.0,2870000.0,3036000.0,3242000.0,2430000.0,1562000.0,1144000.0,1890000.0,2661000.0,6.018E7,2.3999999999999997E8,
3645000.0,2870000.0,3036000.0,3242000.0,2363000.0,1560000.0,1143000.0,1890000.0,2661000.0,6.018E7,2.4009999999999997E8,
3674000.0,2870000.0,3036000.0,3242000.0,2324000.0,1558000.0,1143000.0,1890000.0,2697000.0,6.026E7,2.4009999999999997E8,
3674000.0,2870000.0,3036000.0,3242000.0,2307000.0,1558000.0,1143000.0,1890000.0,2697000.0,6.026E7,2.4009999999999997E8,
3693000.0,2870000.0,3036000.0,3242000.0,2276000.0,1558000.0,1143000.0,1890000.0,2878000.0,6.008E7,2.4009999999999997E8,
3692000.0,2868000.0,3035000.0,3242000.0,2179000.0,1554000.0,1141000.0,1890000.0,2878000.0,6.008E7,2.4019999999999997E8,
3692000.0,2868000.0,3035000.0,3242000.0,2167000.0,1554000.0,1141000.0,1890000.0,2878000.0,6.03E7,2.4019999999999997E8,
3692000.0,2868000.0,3027000.0,3239000.0,2141000.0,1554000.0,1141000.0,1890000.0,2878000.0,6.03E7,2.4029999999999997E8,
3690000.0,2867000.0,3025000.0,3217000.0,2063000.0,1552000.0,1141000.0,1889000.0,2878000.0,6.03E7,2.4029999999999997E8,
3690000.0,2867000.0,3025000.0,3212000.0,1987000.0,1552000.0,1141000.0,1889000.0,2878000.0,6.03E7,2.4039999999999997E8,
3715000.0,2867000.0,3024000.0,3209000.0,1945000.0,1552000.0,1141000.0,1889000.0,3011000.0,6.03E7,2.4039999999999997E8,
3476000.0,2861000.0,3007000.0,3204000.0,1914000.0,1552000.0,1141000.0,1889000.0,3022000.0,6.029E7,2.4069999999999997E8,
3380000.0,2855000.0,3006000.0,3192000.0,1889000.0,1551000.0,1141000.0,1889000.0,3064000.0,6.025E7,2.4079999999999997E8,
3276000.0,2835000.0,2990000.0,3174000.0,1874000.0,1550000.0,1141000.0,1889000.0,3064000.0,6.03E7,2.4099999999999997E8,
3201000.0,2799000.0,2989000.0,3169000.0,1861000.0,1550000.0,1141000.0,1889000.0,3202000.0,6.016E7,2.4109999999999997E8,
3148000.0,2792000.0,2988000.0,3156000.0,1844000.0,1550000.0,1141000.0,1889000.0,3278000.0,6.008E7,2.4119999999999997E8,
2911000.0,2780000.0,2988000.0,3152000.0,1827000.0,1549000.0,1140000.0,1887000.0,3278000.0,6.008E7,2.4149999999999997E8,
2772000.0,2768000.0,2987000.0,3148000.0,1814000.0,1549000.0,1140000.0,1887000.0,3392000.0,5.997E7,2.4159999999999997E8,
2658000.0,2766000.0,2987000.0,3139000.0,1811000.0,1548000.0,1139000.0,1886000.0,3390000.0,6.03E7,2.4169999999999997E8,
2534000.0,2763000.0,2987000.0,3134000.0,1725000.0,1541000.0,1139000.0,1882000.0,3385000.0,6.03E7,2.4199999999999997E8,
2492000.0,2763000.0,2987000.0,3134000.0,1705000.0,1539000.0,1139000.0,1882000.0,3385000.0,6.03E7,2.4199999999999997E8,
2523000.0,2762000.0,2970000.0,3133000.0,1705000.0,1539000.0,1139000.0,1882000.0,3402000.0,6.028E7,2.4199999999999997E8,
2455000.0,2762000.0,2970000.0,3128000.0,1705000.0,1539000.0,1138000.0,1882000.0,3402000.0,6.028E7,2.4209999999999997E8,
2453000.0,2759000.0,2969000.0,3125000.0,1669000.0,1539000.0,1138000.0,1882000.0,3401000.0,6.028E7,2.4209999999999997E8,
2473000.0,2753000.0,2968000.0,3113000.0,1664000.0,1538000.0,1137000.0,1882000.0,3409000.0,6.03E7,2.4209999999999997E8,
2404000.0,2752000.0,2968000.0,3110000.0,1650000.0,1538000.0,1137000.0,1882000.0,3409000.0,6.03E7,2.4219999999999997E8,
2379000.0,2752000.0,2967000.0,3106000.0,1633000.0,1538000.0,1137000.0,1882000.0,3409000.0,6.03E7,2.4219999999999997E8,
2379000.0,2752000.0,2967000.0,3106000.0,1633000.0,1538000.0,1137000.0,1882000.0,3409000.0,6.03E7,2.4219999999999997E8,
2359000.0,2748000.0,2967000.0,3101000.0,1620000.0,1538000.0,1137000.0,1882000.0,3611000.0,6.01E7,2.4229999999999997E8,
2358000.0,2748000.0,2967000.0,3078000.0,1609000.0,1535000.0,1135000.0,1881000.0,3611000.0,6.03E7,2.4229999999999997E8,
2357000.0,2746000.0,2966000.0,3068000.0,1609000.0,1535000.0,1135000.0,1881000.0,3610000.0,6.03E7,2.4229999999999997E8,
2324000.0,2747000.0,2946000.0,3092000.0,1620000.0,1537000.0,1121000.0,1994000.0,3497000.0,6.03E7,2.4229999999999997E8,
2292000.0,2747000.0,2948000.0,3094000.0,2103000.0,1058000.0,1132000.0,2025000.0,3452000.0,6.03E7,2.4229999999999997E8,
2248000.0,2749000.0,2947000.0,3121000.0,2080000.0,1081000.0,1121000.0,2095000.0,3358000.0,6.031E7,2.4239999999999997E8,
2214000.0,2746000.0,2948000.0,3106000.0,2060000.0,1076000.0,1121000.0,2175000.0,3278000.0,6.03E7,2.4239999999999997E8,
2167000.0,2745000.0,2950000.0,3093000.0,2060000.0,1586000.0,637300.0,2325000.0,3101000.0,6.03E7,2.4249999999999997E8,
