entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
0.8684,0.4196,0.0113,0.008895,0.009409,0.01005,0.007531,0.004842,0.003547,0.005856,0.008246,0.1865,0.7438,
0.8682,0.408,0.01129,0.008892,0.009406,0.01004,0.007423,0.00484,0.003546,0.005854,0.008243,0.1868,0.7436,
0.8693,0.4017,0.01136,0.008892,0.009406,0.01003,0.007368,0.00484,0.003546,0.005854,0.008572,0.1865,0.7436,
0.8699,0.3995,0.0114,0.008889,0.009402,0.01003,0.007291,0.004835,0.00354,0.005852,0.008757,0.1866,0.7434,
0.8717,0.4041,0.0116,0.008881,0.009392,0.01002,0.00711,0.004822,0.003538,0.005849,0.009229,0.1866,0.743,
0.8708,0.4029,0.01159,0.008881,0.009391,0.01001,0.006931,0.004822,0.003538,0.005849,0.009229,0.1866,0.7432,
0.8698,0.3854,0.01159,0.008882,0.009392,0.009974,0.006735,0.004819,0.003533,0.005849,0.009229,0.1866,0.7434,
0.8709,0.3788,0.0117,0.008881,0.009392,0.009948,0.006554,0.004819,0.003533,0.005849,0.009804,0.186,0.7435,
0.8711,0.3793,0.01177,0.008881,0.009391,0.009921,0.006507,0.004819,0.003533,0.005849,0.009883,0.1859,0.7435,
0.8718,0.3785,0.01187,0.00888,0.009391,0.009906,0.006368,0.004804,0.003523,0.005849,0.01024,0.1856,0.7436,
0.8699,0.3736,0.01187,0.008881,0.009391,0.009892,0.006046,0.004782,0.003518,0.005836,0.01022,0.1856,0.744,
0.8684,0.3767,0.01149,0.008831,0.009381,0.00984,0.005939,0.004776,0.003514,0.00583,0.01021,0.1865,0.7437,
0.8672,0.3716,0.01114,0.008831,0.00938,0.009825,0.005939,0.004776,0.003514,0.00583,0.01033,0.1864,0.7441,
0.8651,0.3788,0.01059,0.00881,0.009352,0.009767,0.00592,0.004772,0.003514,0.00583,0.01054,0.1863,0.7446,
0.8624,0.3855,0.01041,0.008793,0.00928,0.009767,0.005622,0.004767,0.003514,0.00583,0.01054,0.1863,0.7452,
0.8598,0.387,0.009951,0.008778,0.009258,0.009744,0.005509,0.004753,0.003513,0.005829,0.01054,0.1864,0.7457,
0.8577,0.3917,0.009579,0.008764,0.009256,0.009732,0.00545,0.004745,0.003509,0.005828,0.01054,0.1864,0.7461,
0.8554,0.3956,0.009248,0.008753,0.009203,0.009731,0.005342,0.004745,0.003509,0.005828,0.01054,0.1865,0.7467,
0.8546,0.3996,0.009065,0.008749,0.009202,0.009719,0.005341,0.004744,0.003509,0.005827,0.01054,0.1865,0.7468,
0.8534,0.3978,0.008825,0.008719,0.009202,0.009719,0.005341,0.004745,0.003509,0.005827,0.01054,0.1865,0.7471,
0.8551,0.3948,0.008933,0.008705,0.009197,0.009685,0.005275,0.004743,0.003507,0.005825,0.011,0.1864,0.7467,
0.8533,0.3968,0.00875,0.008704,0.009158,0.009657,0.005148,0.00473,0.003507,0.005825,0.011,0.1864,0.7471,
0.8514,0.3965,0.008618,0.008669,0.009158,0.009639,0.004946,0.004718,0.003498,0.005825,0.011,0.1864,0.7475,
0.8504,0.3981,0.008562,0.008669,0.009084,0.009609,0.004903,0.004707,0.003498,0.005825,0.011,0.1864,0.7477,
0.8492,0.3851,0.008464,0.008624,0.009018,0.009597,0.004858,0.004707,0.003497,0.005825,0.01099,0.1864,0.748,
0.849,0.3806,0.008464,0.008624,0.009018,0.009597,0.004835,0.004707,0.003497,0.005825,0.01099,0.1864,0.748,
0.8481,0.3802,0.008113,0.008576,0.008994,0.009596,0.004832,0.004707,0.003497,0.005824,0.01134,0.1861,0.7485,
0.8488,0.3765,0.008122,0.008541,0.008985,0.00959,0.004759,0.004704,0.003495,0.00582,0.01157,0.1863,0.7481,
0.8484,0.3771,0.008111,0.008529,0.008976,0.00955,0.004734,0.004704,0.003495,0.00582,0.01157,0.1863,0.7482,
0.8479,0.3791,0.008023,0.008515,0.008964,0.009548,0.004733,0.004703,0.003494,0.005819,0.01157,0.1863,0.7483,
0.8475,0.3764,0.008015,0.008501,0.008951,0.009541,0.004712,0.004697,0.003488,0.005811,0.01157,0.1863,0.7484,
0.8472,0.3686,0.007882,0.008504,0.00895,0.009527,0.004734,0.004656,0.003601,0.006418,0.01084,0.1863,0.7485,
0.8473,0.3763,0.007855,0.008481,0.00896,0.009541,0.004748,0.005294,0.002976,0.006448,0.01089,0.1864,0.7484,
0.8489,0.3777,0.007986,0.008478,0.008967,0.009533,0.004801,0.005242,0.002977,0.006732,0.0109,0.186,0.7483,
