entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.406,0.2696,0.03629,0.006838,0.01115,0.04091,0.01986,0.004389,0.02403,0.01643,0.02102,0.4095,0.4095,
1.406,0.2675,0.03624,0.006834,0.01115,0.04085,0.01981,0.004388,0.02403,0.01643,0.02102,0.4097,0.4095,
1.405,0.2695,0.03622,0.006835,0.01115,0.0407,0.01964,0.004368,0.02403,0.01643,0.02102,0.4098,0.4098,
1.406,0.2587,0.03646,0.006829,0.01114,0.04061,0.01951,0.004366,0.02402,0.01643,0.02144,0.4097,0.4095,
1.405,0.263,0.03646,0.006826,0.01114,0.04049,0.01938,0.00434,0.02403,0.01643,0.02144,0.4097,0.4098,
1.408,0.2793,0.03681,0.006767,0.01113,0.04045,0.01938,0.004339,0.02402,0.01642,0.02205,0.4094,0.4093,
1.408,0.2441,0.03677,0.006756,0.01112,0.04033,0.01939,0.004261,0.02401,0.01642,0.02242,0.4094,0.4091,
1.408,0.2453,0.03677,0.006756,0.01112,0.04033,0.01943,0.004228,0.02401,0.01642,0.02242,0.4094,0.4091,
1.407,0.2459,0.03677,0.006755,0.01112,0.04027,0.01932,0.004228,0.02401,0.01642,0.02242,0.4094,0.4093,
1.406,0.2434,0.03677,0.006753,0.01112,0.04018,0.01915,0.004195,0.02401,0.01642,0.02242,0.4095,0.4095,
1.406,0.2636,0.03677,0.006753,0.01112,0.04008,0.01915,0.004195,0.02401,0.01642,0.02243,0.4095,0.4096,
1.401,0.2526,0.03509,0.006751,0.01112,0.04006,0.01892,0.004182,0.024,0.01642,0.02243,0.4095,0.4115,
1.405,0.2476,0.03632,0.006747,0.01112,0.03991,0.01869,0.004179,0.02399,0.01641,0.02311,0.4093,0.4102,
1.402,0.243,0.03526,0.006747,0.01112,0.03981,0.01869,0.004179,0.02399,0.01641,0.02311,0.4094,0.4113,
1.399,0.2452,0.03388,0.006716,0.01111,0.03976,0.01874,0.004139,0.02399,0.01642,0.02311,0.4094,0.4127,
1.396,0.2393,0.03356,0.006715,0.01111,0.03967,0.0195,0.003373,0.02399,0.01642,0.02311,0.4095,0.4131,
1.392,0.2328,0.03232,0.006698,0.01111,0.03953,0.01929,0.003373,0.02399,0.01642,0.02311,0.4095,0.4146,
1.387,0.235,0.0305,0.006697,0.01112,0.03943,0.01917,0.003363,0.024,0.01642,0.02312,0.4096,0.4166,
1.382,0.2588,0.02891,0.006696,0.01112,0.03931,0.01909,0.003364,0.024,0.01642,0.02312,0.4096,0.4184,
