RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
5316000.0,1002000.0,1633000.0,5994000.0,2909000.0,643000.0,3520000.0,2408000.0,3080000.0,6.0E7,6.0E7,
5311000.0,1001000.0,1633000.0,5985000.0,2902000.0,643000.0,3520000.0,2408000.0,3080000.0,6.003E7,6.001E7,
5305000.0,1001000.0,1633000.0,5962000.0,2877000.0,639800.0,3520000.0,2407000.0,3080000.0,6.003E7,6.004E7,
5343000.0,1001000.0,1633000.0,5951000.0,2859000.0,639800.0,3520000.0,2407000.0,3141000.0,6.003E7,6.001E7,
5342000.0,1000000.0,1633000.0,5933000.0,2840000.0,635900.0,3520000.0,2407000.0,3141000.0,6.003E7,6.004E7,
5395000.0,991800.0,1631000.0,5928000.0,2840000.0,635900.0,3520000.0,2407000.0,3231000.0,5.999E7,5.998E7,
5391000.0,990600.0,1631000.0,5913000.0,2844000.0,624700.0,3520000.0,2407000.0,3288000.0,6.003E7,5.999E7,
5391000.0,990600.0,1631000.0,5913000.0,2848000.0,619900.0,3520000.0,2407000.0,3288000.0,6.003E7,5.999E7,
5391000.0,990500.0,1630000.0,5904000.0,2833000.0,619900.0,3520000.0,2407000.0,3288000.0,6.003E7,6.001E7,
5390000.0,990000.0,1630000.0,5890000.0,2807000.0,615000.0,3520000.0,2407000.0,3287000.0,6.003E7,6.004E7,
5390000.0,989900.0,1630000.0,5876000.0,2807000.0,615000.0,3520000.0,2407000.0,3287000.0,6.003E7,6.004E7,
5144000.0,989500.0,1630000.0,5872000.0,2774000.0,612900.0,3518000.0,2407000.0,3287000.0,6.003E7,6.032E7,
5327000.0,989400.0,1630000.0,5852000.0,2741000.0,612900.0,3517000.0,2407000.0,3388000.0,6.003E7,6.015E7,
5171000.0,989400.0,1630000.0,5837000.0,2741000.0,612800.0,3517000.0,2407000.0,3388000.0,6.003E7,6.031E7,
4967000.0,984700.0,1629000.0,5829000.0,2747000.0,606800.0,3517000.0,2407000.0,3388000.0,6.003E7,6.051E7,
4919000.0,984400.0,1629000.0,5815000.0,2859000.0,494500.0,3517000.0,2407000.0,3388000.0,6.003E7,6.055E7,
4737000.0,981900.0,1629000.0,5794000.0,2828000.0,494500.0,3517000.0,2407000.0,3388000.0,6.003E7,6.078E7,
4470000.0,981500.0,1629000.0,5780000.0,2810000.0,492900.0,3517000.0,2407000.0,3388000.0,6.003E7,6.106E7,
4236000.0,981300.0,1629000.0,5760000.0,2798000.0,492900.0,3517000.0,2407000.0,3388000.0,6.003E7,6.131E7,
4170000.0,981200.0,1629000.0,5727000.0,2801000.0,481700.0,3517000.0,2406000.0,3388000.0,6.003E7,6.138E7,
5468000.0,979100.0,1628000.0,5694000.0,2806000.0,476600.0,3517000.0,2406000.0,3535000.0,6.003E7,6.007E7,
5611000.0,978900.0,1628000.0,5684000.0,2800000.0,461200.0,3515000.0,2406000.0,3602000.0,5.996E7,5.995E7,
5423000.0,978900.0,1628000.0,5654000.0,2800000.0,461200.0,3515000.0,2406000.0,3602000.0,6.003E7,6.012E7,
5565000.0,978400.0,1628000.0,5641000.0,2807000.0,449400.0,3514000.0,2405000.0,3761000.0,5.997E7,5.999E7,
5592000.0,977900.0,1628000.0,5612000.0,2804000.0,439900.0,3511000.0,2405000.0,3761000.0,6.003E7,5.997E7,
5557000.0,966700.0,1627000.0,5592000.0,2798000.0,438400.0,3511000.0,2404000.0,3907000.0,6.003E7,6.002E7,
5517000.0,965800.0,1626000.0,5582000.0,2800000.0,431400.0,3510000.0,2403000.0,3907000.0,6.003E7,6.006E7,
5420000.0,964700.0,1626000.0,5579000.0,2800000.0,431400.0,3510000.0,2403000.0,3907000.0,6.003E7,6.016E7,
5590000.0,964700.0,1626000.0,5549000.0,2800000.0,431400.0,3510000.0,2403000.0,4053000.0,5.995E7,5.999E7,
5466000.0,964700.0,1626000.0,5539000.0,2769000.0,425400.0,3510000.0,2403000.0,4053000.0,6.003E7,6.015E7,
5375000.0,964600.0,1626000.0,5524000.0,2764000.0,424100.0,3508000.0,2403000.0,4053000.0,6.003E7,6.025E7,
5164000.0,969400.0,1626000.0,5544000.0,2745000.0,421900.0,3504000.0,2423000.0,4032000.0,6.003E7,6.044E7,
5080000.0,974400.0,1627000.0,5572000.0,2715000.0,1297000.0,2636000.0,2506000.0,3910000.0,6.003E7,6.051E7,
4927000.0,976800.0,1629000.0,5590000.0,2707000.0,1309000.0,2618000.0,2528000.0,3880000.0,6.003E7,6.065E7,
4682000.0,987100.0,1630000.0,5653000.0,2705000.0,1306000.0,2634000.0,2514000.0,3874000.0,6.003E7,6.081E7,
5429000.0,990500.0,1630000.0,5676000.0,2705000.0,1312000.0,2628000.0,2562000.0,3860000.0,6.003E7,6.003E7,
5325000.0,990500.0,1631000.0,5676000.0,2698000.0,1312000.0,2646000.0,2552000.0,3832000.0,6.003E7,6.013E7,
5490000.0,981500.0,1629000.0,5696000.0,2690000.0,1317000.0,2636000.0,2569000.0,3859000.0,6.003E7,5.996E7,
5309000.0,981200.0,1630000.0,5692000.0,2695000.0,1319000.0,2634000.0,2575000.0,3848000.0,6.003E7,6.011E7,
