entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.406,0.2696,0.03629,0.006838,0.01115,0.04091,0.01986,0.004389,0.02403,0.01643,0.02102,0.4095,0.4095,
1.408,0.2663,0.0366,0.006838,0.01115,0.04072,0.01955,0.004388,0.02403,0.01643,0.02176,0.409,0.4095,
1.408,0.2655,0.03656,0.006824,0.01114,0.04052,0.01953,0.004384,0.024,0.01642,0.02213,0.4094,0.4091,
1.407,0.2539,0.03656,0.006821,0.01114,0.04046,0.0202,0.003619,0.02401,0.01642,0.02213,0.4094,0.4093,
1.407,0.2447,0.03665,0.006815,0.01113,0.0404,0.0202,0.003618,0.024,0.01641,0.02235,0.4093,0.4091,
1.406,0.2443,0.03659,0.006815,0.01114,0.04034,0.01985,0.00361,0.024,0.01642,0.02235,0.4094,0.4095,
1.409,0.2426,0.03734,0.006807,0.01113,0.04018,0.01966,0.003607,0.02398,0.0164,0.02329,0.409,0.4086,
1.41,0.2423,0.03732,0.006803,0.01112,0.04012,0.01956,0.003563,0.02395,0.01639,0.02388,0.4088,0.4085,
1.406,0.2403,0.03732,0.006803,0.01112,0.04003,0.01853,0.003508,0.02394,0.01636,0.02385,0.4088,0.4097,
1.405,0.2405,0.03732,0.006803,0.01112,0.03996,0.0183,0.003508,0.02395,0.01636,0.02385,0.4089,0.4099,
1.404,0.2405,0.03729,0.006803,0.01112,0.03996,0.01796,0.003498,0.02395,0.01636,0.02385,0.4089,0.4103,
1.404,0.2402,0.03719,0.006802,0.01112,0.03995,0.01787,0.003497,0.02394,0.01636,0.0241,0.4088,0.4104,
1.401,0.2429,0.03617,0.006799,0.01112,0.03993,0.01789,0.003387,0.02394,0.01636,0.02411,0.4088,0.4115,
1.399,0.2425,0.03531,0.006796,0.01112,0.03985,0.01789,0.003388,0.02395,0.01636,0.02411,0.4089,0.4123,
1.408,0.2374,0.03853,0.006796,0.01112,0.03985,0.01785,0.003378,0.02395,0.01637,0.02455,0.4085,0.4092,
1.411,0.2341,0.03909,0.006791,0.01111,0.03982,0.01778,0.003334,0.02393,0.01635,0.02536,0.4081,0.4083,
1.405,0.2399,0.03744,0.006785,0.01111,0.03968,0.01748,0.003288,0.02392,0.01635,0.02535,0.4085,0.4101,
1.41,0.2346,0.03936,0.00678,0.0111,0.03965,0.01719,0.003248,0.0239,0.01634,0.02602,0.4082,0.4082,
1.407,0.2353,0.03802,0.006773,0.0111,0.03956,0.01712,0.003172,0.02391,0.01634,0.02603,0.4082,0.4097,
1.404,0.2288,0.03737,0.006737,0.0111,0.03938,0.01708,0.003173,0.02391,0.01634,0.02603,0.4083,0.4105,
