RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
5316000.0,1002000.0,1633000.0,5994000.0,2909000.0,643000.0,3520000.0,2408000.0,3080000.0,6.0E7,6.0E7,
5363000.0,1002000.0,1633000.0,5965000.0,2864000.0,642900.0,3520000.0,2407000.0,3188000.0,5.992E7,6.0E7,
5362000.0,1001000.0,1633000.0,5942000.0,2864000.0,642900.0,3520000.0,2407000.0,3245000.0,6.003E7,6.0E7,
5361000.0,1000000.0,1633000.0,5933000.0,2962000.0,530700.0,3520000.0,2407000.0,3245000.0,6.003E7,6.001E7,
5375000.0,999500.0,1633000.0,5925000.0,2962000.0,530700.0,3520000.0,2407000.0,3277000.0,6.003E7,6.0E7,
5365000.0,999300.0,1633000.0,5915000.0,2911000.0,529400.0,3519000.0,2407000.0,3277000.0,6.003E7,6.005E7,
5480000.0,998900.0,1633000.0,5896000.0,2885000.0,529300.0,3519000.0,2407000.0,3417000.0,6.003E7,5.996E7,
5480000.0,998900.0,1633000.0,5892000.0,2873000.0,523200.0,3517000.0,2407000.0,3507000.0,6.003E7,5.998E7,
5479000.0,998800.0,1633000.0,5877000.0,2721000.0,515100.0,3516000.0,2402000.0,3501000.0,6.003E7,6.015E7,
5479000.0,998800.0,1633000.0,5867000.0,2687000.0,515100.0,3516000.0,2402000.0,3501000.0,6.003E7,6.019E7,
5474000.0,998800.0,1633000.0,5867000.0,2637000.0,513600.0,3516000.0,2402000.0,3501000.0,6.003E7,6.024E7,
5461000.0,998800.0,1633000.0,5867000.0,2625000.0,513600.0,3516000.0,2402000.0,3540000.0,6.003E7,6.027E7,
5310000.0,998300.0,1633000.0,5863000.0,2626000.0,497400.0,3516000.0,2402000.0,3540000.0,6.003E7,6.041E7,
5183000.0,997700.0,1633000.0,5850000.0,2626000.0,497400.0,3516000.0,2402000.0,3540000.0,6.003E7,6.054E7,
5656000.0,997700.0,1633000.0,5850000.0,2620000.0,495900.0,3516000.0,2402000.0,3603000.0,5.997E7,6.007E7,
5742000.0,997700.0,1633000.0,5850000.0,2612000.0,489800.0,3516000.0,2402000.0,3726000.0,5.996E7,5.999E7,
5502000.0,997100.0,1633000.0,5831000.0,2569000.0,483300.0,3516000.0,2402000.0,3726000.0,6.003E7,6.028E7,
5788000.0,997100.0,1633000.0,5831000.0,2528000.0,477600.0,3516000.0,2402000.0,3827000.0,6.003E7,6.004E7,
5590000.0,996000.0,1633000.0,5818000.0,2518000.0,466500.0,3516000.0,2402000.0,3827000.0,6.003E7,6.025E7,
5493000.0,990400.0,1633000.0,5790000.0,2510000.0,466400.0,3515000.0,2402000.0,3827000.0,6.003E7,6.035E7,
5389000.0,984800.0,1632000.0,5757000.0,2498000.0,466300.0,3515000.0,2402000.0,3827000.0,6.003E7,6.047E7,
5882000.0,983600.0,1618000.0,5747000.0,2468000.0,459700.0,3514000.0,2402000.0,3949000.0,5.998E7,6.002E7,
5869000.0,982100.0,1618000.0,5732000.0,2468000.0,459700.0,3514000.0,2402000.0,3949000.0,6.003E7,6.002E7,
5964000.0,976000.0,1612000.0,5722000.0,2425000.0,459000.0,3514000.0,2402000.0,4022000.0,6.003E7,5.997E7,
5928000.0,975800.0,1611000.0,5712000.0,2413000.0,457500.0,3514000.0,2402000.0,4058000.0,6.003E7,6.002E7,
5932000.0,975600.0,1611000.0,5702000.0,2413000.0,457400.0,3514000.0,2402000.0,4147000.0,6.003E7,6.001E7,
5867000.0,975500.0,1611000.0,5693000.0,2418000.0,452500.0,3514000.0,2402000.0,4146000.0,6.003E7,6.008E7,
5596000.0,975000.0,1611000.0,5685000.0,2412000.0,451000.0,3513000.0,2402000.0,4146000.0,6.003E7,6.035E7,
5419000.0,974500.0,1611000.0,5667000.0,2404000.0,450900.0,3513000.0,2402000.0,4146000.0,6.003E7,6.054E7,
5201000.0,968400.0,1610000.0,5667000.0,2379000.0,444900.0,3512000.0,2402000.0,4146000.0,6.003E7,6.08E7,
5973000.0,968200.0,1610000.0,5647000.0,2384000.0,440000.0,3512000.0,2402000.0,4260000.0,5.992E7,6.002E7,
5941000.0,973600.0,1610000.0,5704000.0,2396000.0,458700.0,3487000.0,2396000.0,4332000.0,6.003E7,5.998E7,
5744000.0,984600.0,1610000.0,5781000.0,2401000.0,470700.0,3477000.0,2455000.0,4264000.0,6.003E7,6.007E7,
5560000.0,991100.0,1610000.0,5823000.0,2379000.0,488800.0,3471000.0,2467000.0,4240000.0,6.003E7,6.022E7,
5784000.0,994200.0,1610000.0,5848000.0,2379000.0,531000.0,3818000.0,2119000.0,4278000.0,5.992E7,5.995E7,
5619000.0,996500.0,1609000.0,5852000.0,2348000.0,561200.0,3811000.0,2188000.0,4158000.0,6.003E7,6.009E7,
5585000.0,996100.0,1609000.0,5858000.0,2317000.0,591000.0,3878000.0,2107000.0,4114000.0,6.004E7,6.014E7,
5342000.0,1000000.0,1610000.0,5885000.0,2292000.0,625400.0,3858000.0,2115000.0,4078000.0,6.003E7,6.037E7,
5711000.0,999400.0,1610000.0,5872000.0,2270000.0,644600.0,3834000.0,2136000.0,4082000.0,6.003E7,6.002E7,
5752000.0,1000000.0,1611000.0,5894000.0,2251000.0,653100.0,3821000.0,2178000.0,4060000.0,5.998E7,5.999E7,
5611000.0,1001000.0,1611000.0,5903000.0,2251000.0,677200.0,3797000.0,2178000.0,4060000.0,6.003E7,6.012E7,
5332000.0,1012000.0,1612000.0,5976000.0,2261000.0,709700.0,3762000.0,2240000.0,3989000.0,6.003E7,6.03E7,
5591000.0,1015000.0,1612000.0,5998000.0,2266000.0,735100.0,3741000.0,2251000.0,4013000.0,5.999E7,6.002E7,
5368000.0,1017000.0,1613000.0,5999000.0,2265000.0,753000.0,3728000.0,2414000.0,3827000.0,6.003E7,6.021E7,
5537000.0,1018000.0,1615000.0,6019000.0,2265000.0,777100.0,3704000.0,2426000.0,3901000.0,6.003E7,6.002E7,
5358000.0,1022000.0,1607000.0,6088000.0,2248000.0,791600.0,3692000.0,2449000.0,3866000.0,6.003E7,6.016E7,
5402000.0,1036000.0,1607000.0,6189000.0,2247000.0,809400.0,3674000.0,2467000.0,4023000.0,6.003E7,6.0E7,
5309000.0,1036000.0,1607000.0,6171000.0,2240000.0,837700.0,3642000.0,2527000.0,4043000.0,6.003E7,6.009E7,
5369000.0,1035000.0,1608000.0,6148000.0,2250000.0,857900.0,3611000.0,2551000.0,4076000.0,6.003E7,6.003E7,
5205000.0,1041000.0,1609000.0,6181000.0,2266000.0,859800.0,3603000.0,2552000.0,4051000.0,6.003E7,6.013E7,
5186000.0,1040000.0,1610000.0,6157000.0,2250000.0,865800.0,3597000.0,2604000.0,3986000.0,6.003E7,6.017E7,
4956000.0,1043000.0,1611000.0,6208000.0,2260000.0,892300.0,3566000.0,2608000.0,3954000.0,6.003E7,6.034E7,
4749000.0,1045000.0,1611000.0,6239000.0,2277000.0,893500.0,3571000.0,2585000.0,3954000.0,6.003E7,6.05E7,
4616000.0,1043000.0,1608000.0,6230000.0,2304000.0,884300.0,3593000.0,2591000.0,3908000.0,6.003E7,6.064E7,
4552000.0,1043000.0,1608000.0,6227000.0,2323000.0,864800.0,3598000.0,2596000.0,3890000.0,6.003E7,6.068E7,
5249000.0,1044000.0,1608000.0,6234000.0,2310000.0,882900.0,3579000.0,2625000.0,3844000.0,6.003E7,5.999E7,
5024000.0,1043000.0,1609000.0,6218000.0,2316000.0,890800.0,3577000.0,2655000.0,3808000.0,6.003E7,6.02E7,
4898000.0,1042000.0,1610000.0,6209000.0,2321000.0,902000.0,3567000.0,2679000.0,3778000.0,6.003E7,6.032E7,
4822000.0,1043000.0,1610000.0,6219000.0,2303000.0,920100.0,3564000.0,2688000.0,3713000.0,6.003E7,6.04E7,
5163000.0,1043000.0,1610000.0,6224000.0,2288000.0,1393000.0,3096000.0,2720000.0,3790000.0,6.003E7,6.007E7,
5101000.0,1047000.0,1610000.0,6244000.0,2285000.0,1412000.0,3078000.0,2775000.0,3645000.0,6.003E7,6.011E7,
5165000.0,1048000.0,1612000.0,6283000.0,2306000.0,1604000.0,2865000.0,2824000.0,3691000.0,6.002E7,5.999E7,
5192000.0,1044000.0,1611000.0,6287000.0,2308000.0,1608000.0,2861000.0,2816000.0,3734000.0,6.003E7,5.996E7,
4953000.0,1056000.0,1612000.0,6407000.0,2293000.0,1674000.0,2781000.0,2909000.0,3639000.0,6.003E7,6.01E7,
4894000.0,1057000.0,1612000.0,6408000.0,2293000.0,1708000.0,2753000.0,2928000.0,3580000.0,6.003E7,6.014E7,
4740000.0,1060000.0,1612000.0,6433000.0,2295000.0,1698000.0,2753000.0,2942000.0,3545000.0,6.003E7,6.028E7,
4633000.0,1061000.0,1612000.0,6463000.0,2284000.0,1702000.0,2748000.0,3041000.0,3436000.0,6.003E7,6.037E7,
4474000.0,1060000.0,1613000.0,6462000.0,2291000.0,1720000.0,2730000.0,3035000.0,3413000.0,6.003E7,6.053E7,
4988000.0,1058000.0,1613000.0,6450000.0,2307000.0,1715000.0,2718000.0,3035000.0,3573000.0,6.003E7,6.001E7,
4882000.0,1061000.0,1612000.0,6461000.0,2320000.0,1700000.0,2705000.0,3057000.0,3551000.0,6.003E7,6.007E7,
4809000.0,1061000.0,1614000.0,6461000.0,2325000.0,1707000.0,2752000.0,3009000.0,3526000.0,6.003E7,6.013E7,
4749000.0,1059000.0,1614000.0,6487000.0,2314000.0,1737000.0,2722000.0,3132000.0,3403000.0,6.003E7,6.017E7,
4521000.0,1057000.0,1614000.0,6506000.0,2328000.0,1945000.0,2500000.0,3132000.0,3373000.0,6.005E7,6.036E7,
4421000.0,1059000.0,1615000.0,6521000.0,2313000.0,1951000.0,2495000.0,3166000.0,3330000.0,6.003E7,6.046E7,
4328000.0,1060000.0,1615000.0,6530000.0,2328000.0,1942000.0,2502000.0,3216000.0,3225000.0,6.003E7,6.054E7,
4839000.0,1058000.0,1615000.0,6513000.0,2328000.0,1973000.0,2481000.0,3217000.0,3261000.0,6.003E7,6.003E7,
4790000.0,1061000.0,1615000.0,6525000.0,2338000.0,1984000.0,2459000.0,3217000.0,3318000.0,6.003E7,6.004E7,
4875000.0,1061000.0,1615000.0,6518000.0,2348000.0,1998000.0,2455000.0,3255000.0,3301000.0,6.003E7,5.994E7,
4784000.0,1062000.0,1601000.0,6526000.0,2352000.0,2005000.0,2437000.0,3275000.0,3346000.0,6.003E7,6.004E7,
4700000.0,1058000.0,1599000.0,6518000.0,2361000.0,2020000.0,2411000.0,3269000.0,3316000.0,6.005E7,6.012E7,
4767000.0,1059000.0,1599000.0,6530000.0,2370000.0,2026000.0,2393000.0,3264000.0,3428000.0,6.003E7,6.004E7,
4650000.0,1052000.0,1600000.0,6524000.0,2392000.0,2016000.0,2380000.0,3288000.0,3458000.0,6.003E7,6.016E7,
4826000.0,1054000.0,1600000.0,6518000.0,2371000.0,2011000.0,2374000.0,3316000.0,3703000.0,5.995E7,5.998E7,
4751000.0,1054000.0,1601000.0,6516000.0,2382000.0,2007000.0,2384000.0,3328000.0,3661000.0,6.003E7,6.005E7,
4606000.0,1060000.0,1601000.0,6550000.0,2405000.0,2001000.0,2358000.0,3346000.0,3644000.0,6.003E7,6.014E7,
4642000.0,1060000.0,1602000.0,6540000.0,2397000.0,2014000.0,2340000.0,3359000.0,3689000.0,6.003E7,6.011E7,
4690000.0,1066000.0,1602000.0,6585000.0,2430000.0,2000000.0,2343000.0,3338000.0,3740000.0,6.003E7,6.001E7,
4697000.0,1063000.0,1599000.0,6614000.0,2442000.0,2002000.0,2329000.0,3329000.0,3814000.0,5.995E7,5.999E7,
4447000.0,1067000.0,1600000.0,6641000.0,2438000.0,2006000.0,2317000.0,3367000.0,3770000.0,6.003E7,6.021E7,
4295000.0,1070000.0,1600000.0,6652000.0,2473000.0,1995000.0,2768000.0,2891000.0,3770000.0,6.003E7,6.033E7,
4622000.0,1068000.0,1602000.0,6655000.0,2501000.0,1974000.0,2773000.0,2935000.0,3784000.0,6.003E7,6.0E7,
4527000.0,1070000.0,1602000.0,6658000.0,2478000.0,1996000.0,2773000.0,2973000.0,3722000.0,6.003E7,6.009E7,
4464000.0,1070000.0,1603000.0,6650000.0,2961000.0,1519000.0,2779000.0,3015000.0,3669000.0,6.003E7,6.015E7,
4607000.0,1070000.0,1604000.0,6645000.0,2966000.0,1514000.0,2777000.0,3009000.0,3726000.0,6.003E7,5.998E7,
4596000.0,1071000.0,1604000.0,6642000.0,2936000.0,1506000.0,2794000.0,3037000.0,3694000.0,6.003E7,6.003E7,
4442000.0,1064000.0,1603000.0,6632000.0,2930000.0,1539000.0,2750000.0,3082000.0,3634000.0,6.003E7,6.022E7,
4338000.0,1065000.0,1604000.0,6636000.0,2927000.0,1541000.0,2743000.0,3078000.0,3621000.0,6.003E7,6.034E7,
4224000.0,1067000.0,1604000.0,6653000.0,2951000.0,1536000.0,2736000.0,3084000.0,3603000.0,6.003E7,6.044E7,
4195000.0,1065000.0,1605000.0,6653000.0,2968000.0,1537000.0,2718000.0,3097000.0,3558000.0,6.003E7,6.046E7,
4059000.0,1060000.0,1605000.0,6657000.0,2963000.0,1530000.0,2724000.0,3091000.0,3552000.0,6.003E7,6.061E7,
3953000.0,1063000.0,1605000.0,6649000.0,2948000.0,1538000.0,2711000.0,3161000.0,3467000.0,6.004E7,6.069E7,
4611000.0,1068000.0,1605000.0,6677000.0,2932000.0,1537000.0,2705000.0,3224000.0,3434000.0,6.003E7,6.001E7,
4631000.0,1067000.0,1606000.0,6657000.0,2935000.0,1685000.0,2558000.0,3265000.0,3410000.0,6.003E7,5.998E7,
4573000.0,1070000.0,1606000.0,6659000.0,2948000.0,1679000.0,2556000.0,3274000.0,3366000.0,6.005E7,6.001E7,
4246000.0,1071000.0,1605000.0,6650000.0,2928000.0,1672000.0,2572000.0,3253000.0,3365000.0,6.003E7,6.032E7,
4483000.0,1076000.0,1605000.0,6661000.0,2943000.0,1662000.0,2578000.0,3235000.0,3386000.0,6.003E7,6.003E7,
4360000.0,1077000.0,1605000.0,6665000.0,2955000.0,1666000.0,2567000.0,3275000.0,3340000.0,6.003E7,6.013E7,
4207000.0,1078000.0,1605000.0,6655000.0,2943000.0,1677000.0,2552000.0,3269000.0,3340000.0,6.003E7,6.029E7,
4117000.0,1078000.0,1604000.0,6692000.0,2968000.0,1615000.0,2613000.0,3222000.0,3307000.0,6.003E7,6.039E7,
4014000.0,1078000.0,1601000.0,6714000.0,2545000.0,1806000.0,2306000.0,3237000.0,3266000.0,6.004E7,6.1E7,
5035000.0,1073000.0,1600000.0,6721000.0,2537000.0,1809000.0,2294000.0,3237000.0,3355000.0,6.003E7,5.998E7,
4994000.0,1078000.0,1600000.0,6734000.0,2532000.0,1813000.0,2294000.0,3228000.0,3319000.0,6.003E7,5.999E7,
4874000.0,1068000.0,1589000.0,6745000.0,2528000.0,1808000.0,2288000.0,3256000.0,3278000.0,6.003E7,6.013E7,
4688000.0,1068000.0,1591000.0,6742000.0,2518000.0,1803000.0,2376000.0,3147000.0,3252000.0,6.003E7,6.033E7,
5045000.0,1071000.0,1591000.0,6771000.0,2513000.0,1805000.0,2364000.0,3147000.0,3360000.0,6.003E7,5.995E7,
4996000.0,1072000.0,1592000.0,6779000.0,2501000.0,1790000.0,2355000.0,3181000.0,3327000.0,6.003E7,6.001E7,
4896000.0,1071000.0,1593000.0,6779000.0,2536000.0,1764000.0,2345000.0,3209000.0,3292000.0,6.003E7,6.012E7,
4667000.0,1075000.0,1578000.0,6826000.0,2535000.0,1736000.0,2374000.0,3179000.0,3292000.0,6.003E7,6.033E7,
4986000.0,1079000.0,1578000.0,6851000.0,2527000.0,1767000.0,2342000.0,3187000.0,3382000.0,6.003E7,6.0E7,
4786000.0,1083000.0,1578000.0,6882000.0,2532000.0,1794000.0,2324000.0,3206000.0,3537000.0,6.003E7,6.014E7,
4698000.0,1086000.0,1579000.0,6888000.0,2528000.0,1793000.0,2314000.0,3232000.0,3511000.0,6.003E7,6.022E7,
4578000.0,1085000.0,1579000.0,6863000.0,2532000.0,1787000.0,2310000.0,3238000.0,3477000.0,6.003E7,6.035E7,
4846000.0,1086000.0,1579000.0,6854000.0,2540000.0,1803000.0,2298000.0,3247000.0,3599000.0,6.003E7,6.006E7,
4696000.0,1084000.0,1580000.0,6894000.0,2529000.0,1821000.0,2292000.0,3288000.0,3693000.0,6.003E7,6.018E7,
4481000.0,1093000.0,1580000.0,6953000.0,2517000.0,1804000.0,2307000.0,3336000.0,3624000.0,6.003E7,6.035E7,
4828000.0,1094000.0,1580000.0,6954000.0,2515000.0,1797000.0,2307000.0,3344000.0,3740000.0,6.004E7,6.0E7,
4758000.0,1096000.0,1580000.0,6968000.0,2504000.0,1797000.0,2316000.0,3352000.0,3695000.0,6.003E7,6.007E7,
4660000.0,1094000.0,1582000.0,6960000.0,2509000.0,1792000.0,2310000.0,3372000.0,3669000.0,6.003E7,6.017E7,
4561000.0,1093000.0,1582000.0,6953000.0,2520000.0,1780000.0,2310000.0,3380000.0,3625000.0,6.003E7,6.026E7,
4796000.0,1093000.0,1582000.0,6940000.0,2520000.0,1770000.0,2304000.0,3374000.0,3725000.0,6.003E7,6.003E7,
4734000.0,1094000.0,1584000.0,6926000.0,2666000.0,1630000.0,2275000.0,3400000.0,3699000.0,6.003E7,6.01E7,
4690000.0,1094000.0,1576000.0,6924000.0,2666000.0,1654000.0,2253000.0,3414000.0,3677000.0,6.003E7,6.015E7,
4880000.0,1093000.0,1577000.0,6894000.0,2658000.0,1632000.0,2251000.0,3414000.0,3820000.0,5.989E7,5.999E7,
4740000.0,1096000.0,1577000.0,6915000.0,2650000.0,1640000.0,2230000.0,3413000.0,3820000.0,6.003E7,6.012E7,
4666000.0,1096000.0,1578000.0,6916000.0,2633000.0,1641000.0,2217000.0,3467000.0,3751000.0,6.003E7,6.021E7,
4554000.0,1097000.0,1578000.0,6923000.0,2610000.0,1622000.0,2229000.0,3455000.0,3751000.0,6.003E7,6.035E7,
4471000.0,1100000.0,1571000.0,6938000.0,2598000.0,1620000.0,2222000.0,3468000.0,3739000.0,6.003E7,6.042E7,
4218000.0,1097000.0,1568000.0,6926000.0,2575000.0,1603000.0,2228000.0,3562000.0,3638000.0,6.003E7,6.069E7,
4940000.0,1098000.0,1548000.0,6897000.0,2554000.0,1609000.0,2235000.0,3557000.0,3758000.0,6.003E7,5.999E7,
5030000.0,1099000.0,1543000.0,6897000.0,2675000.0,1392000.0,2236000.0,3567000.0,3830000.0,5.994E7,5.998E7,
5006000.0,1100000.0,1543000.0,6890000.0,2691000.0,1389000.0,2227000.0,3561000.0,3829000.0,6.003E7,5.999E7,
4883000.0,1093000.0,1541000.0,6936000.0,2690000.0,1368000.0,2239000.0,3549000.0,3829000.0,6.003E7,6.009E7,
4871000.0,1093000.0,1541000.0,6937000.0,2713000.0,1358000.0,2227000.0,3620000.0,3741000.0,6.005E7,6.009E7,
4729000.0,1099000.0,1541000.0,6961000.0,2715000.0,1354000.0,2225000.0,3607000.0,3740000.0,6.003E7,6.018E7,
4836000.0,1107000.0,1543000.0,7024000.0,2731000.0,1349000.0,2205000.0,3632000.0,3880000.0,6.003E7,6.001E7,
4700000.0,1111000.0,1544000.0,7033000.0,2704000.0,1337000.0,2210000.0,3667000.0,3834000.0,6.003E7,6.014E7,
4507000.0,1110000.0,1545000.0,7010000.0,2714000.0,1329000.0,2217000.0,3708000.0,3774000.0,6.003E7,6.034E7,
4395000.0,1110000.0,1545000.0,6990000.0,2628000.0,1341000.0,2210000.0,3770000.0,3698000.0,6.003E7,6.053E7,
4937000.0,1110000.0,1545000.0,6980000.0,2649000.0,1343000.0,2200000.0,3779000.0,3759000.0,6.003E7,5.999E7,
4837000.0,1117000.0,1545000.0,7025000.0,2630000.0,1347000.0,2198000.0,3800000.0,3811000.0,5.995E7,6.004E7,
4790000.0,1122000.0,1545000.0,7055000.0,2641000.0,1354000.0,2180000.0,3800000.0,3872000.0,6.003E7,6.004E7,
4593000.0,1129000.0,1545000.0,7091000.0,2860000.0,1082000.0,2166000.0,3823000.0,3831000.0,6.003E7,6.025E7,
4875000.0,1128000.0,1546000.0,7092000.0,2850000.0,1076000.0,2169000.0,3827000.0,3859000.0,5.999E7,5.998E7,
4768000.0,1133000.0,1546000.0,7102000.0,2860000.0,1072000.0,2169000.0,3828000.0,3882000.0,6.003E7,6.004E7,
