FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
0.0,11.2993,0.0,1.39895,48023.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48023.6,0.0,0.0,0.0,1.0,3.5069599999999996E-21,0.0,0.0,7.38644,0.0,0.0,31.2518,0.0,501.0,785221.0,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,601.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,701.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,801.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,901.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1001.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1101.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1201.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1301.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1401.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1501.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1601.0,50265.5,
0.0,3.76888,0.0,0.466621,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.23128,0.0,0.0,1.95114,0.0,1701.0,50265.5,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.3315,0.0,0.0,5.85021,0.0,2101.0,146961.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.33137,0.0,0.0,5.85021,0.0,2201.0,146917.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.33115,0.0,0.0,5.85021,0.0,2301.0,146843.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.33089,0.0,0.0,5.85021,0.0,2401.0,146755.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.33063,0.0,0.0,5.85021,0.0,2501.0,146667.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.33028,0.0,0.0,5.85021,0.0,2601.0,146550.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32993,0.0,0.0,5.85021,0.0,2701.0,146433.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32976,0.0,0.0,5.85021,0.0,2801.0,146374.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32937,0.0,0.0,5.85021,0.0,2901.0,146242.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32898,0.0,0.0,5.85021,0.0,3001.0,146111.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32872,0.0,0.0,5.85021,0.0,3101.0,146023.0,
0.0,2.65814,0.0,1.54323,13677.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13677.8,0.0,0.0,0.0,1.0,6.59232E-22,0.0,0.0,7.32863,0.0,0.0,5.85021,0.0,3201.0,145994.0,
