entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.477,0.2527,0.06069,0.01192,0.008014,0.0471,0.02337,0.01284,0.01672,0.01455,0.01525,0.3948,0.3947,
1.477,0.2632,0.06056,0.01192,0.00801,0.04709,0.02337,0.01284,0.01672,0.01455,0.01547,0.3948,0.3947,
1.478,0.2577,0.06046,0.01191,0.008006,0.04706,0.02316,0.01282,0.01671,0.01455,0.01597,0.3946,0.3948,
1.478,0.2567,0.06041,0.0119,0.008006,0.04706,0.02312,0.01281,0.01672,0.01455,0.01597,0.3946,0.3948,
1.477,0.2487,0.06036,0.0119,0.008007,0.04697,0.02299,0.0128,0.01672,0.01455,0.01597,0.3947,0.3951,
1.477,0.2429,0.0603,0.0119,0.008006,0.04691,0.02299,0.0128,0.01672,0.01455,0.01598,0.3947,0.3951,
1.476,0.2403,0.06031,0.01191,0.008011,0.04638,0.023,0.01281,0.01673,0.01456,0.01599,0.395,0.3953,
1.474,0.2414,0.06028,0.01188,0.008016,0.04585,0.02298,0.01281,0.01674,0.01457,0.016,0.3952,0.3956,
1.474,0.2413,0.06025,0.01188,0.008017,0.04575,0.02298,0.01281,0.01674,0.01457,0.016,0.3953,0.3957,
1.474,0.2566,0.06019,0.01188,0.008017,0.04572,0.02298,0.01281,0.01674,0.01457,0.016,0.3953,0.3957,
1.477,0.2354,0.06093,0.01177,0.007976,0.04563,0.02277,0.01278,0.01671,0.01456,0.01702,0.395,0.3949,
1.472,0.2374,0.0588,0.01172,0.007954,0.04543,0.02277,0.01278,0.01671,0.01456,0.01703,0.3951,0.3972,
1.476,0.2376,0.06033,0.01168,0.007947,0.04535,0.02268,0.01276,0.01669,0.01456,0.0174,0.395,0.3956,
1.47,0.2371,0.05764,0.01168,0.007937,0.04524,0.02268,0.01276,0.01669,0.01456,0.0174,0.3951,0.3983,
1.468,0.2394,0.05723,0.01164,0.007939,0.04497,0.02237,0.01275,0.01669,0.01457,0.01741,0.3952,0.3992,
1.476,0.2337,0.06149,0.01162,0.007932,0.04473,0.02221,0.01275,0.01669,0.01457,0.01765,0.3952,0.3952,
1.471,0.2349,0.05991,0.01158,0.007923,0.04428,0.0221,0.01274,0.01669,0.01457,0.01766,0.3954,0.3971,
1.469,0.2264,0.05895,0.01155,0.007923,0.04419,0.02194,0.01273,0.01669,0.01458,0.01766,0.3955,0.3983,
1.465,0.231,0.05742,0.01155,0.007923,0.04397,0.02186,0.01273,0.01669,0.01458,0.01767,0.3956,0.4,
1.462,0.2296,0.05605,0.01148,0.007912,0.04397,0.02171,0.01273,0.0167,0.01458,0.01767,0.3956,0.4016,
1.46,0.2307,0.05558,0.01147,0.007911,0.0439,0.02164,0.01273,0.0167,0.01458,0.01767,0.3957,0.4022,
1.458,0.2259,0.05471,0.0114,0.007895,0.04377,0.02161,0.01272,0.01669,0.01459,0.01767,0.3957,0.4032,
1.454,0.225,0.0536,0.01138,0.007849,0.04318,0.02142,0.01271,0.01669,0.0146,0.01768,0.396,0.4049,
1.45,0.2257,0.05276,0.01119,0.007833,0.04294,0.02135,0.01269,0.0167,0.0146,0.01769,0.3962,0.4061,
1.447,0.2538,0.05128,0.01113,0.007805,0.04284,0.0213,0.01269,0.0167,0.0146,0.01769,0.3962,0.4078,
1.443,0.2342,0.04955,0.0111,0.007805,0.04281,0.02126,0.01269,0.0167,0.0146,0.01769,0.3962,0.4096,
1.467,0.2215,0.06163,0.01108,0.007784,0.04276,0.02126,0.01268,0.0167,0.0146,0.01781,0.3962,0.3975,
1.472,0.2061,0.06306,0.01101,0.007755,0.04258,0.0212,0.01266,0.01667,0.01458,0.01919,0.3957,0.3956,
1.469,0.2071,0.06179,0.01092,0.00774,0.04252,0.0211,0.01265,0.01666,0.01458,0.01919,0.3958,0.3971,
1.472,0.1933,0.06287,0.01086,0.00773,0.04251,0.02109,0.01265,0.01665,0.01458,0.01954,0.3956,0.3959,
1.472,0.2022,0.06316,0.01084,0.00773,0.04251,0.021,0.01262,0.01665,0.01461,0.01961,0.3956,0.3956,
1.471,0.1981,0.06304,0.01064,0.007727,0.04262,0.0209,0.01265,0.01656,0.01462,0.01955,0.3956,0.396,
1.468,0.2121,0.06147,0.01079,0.007738,0.04255,0.02087,0.01265,0.01651,0.01465,0.01941,0.3958,0.3976,
1.467,0.2254,0.06077,0.01088,0.007749,0.04269,0.02102,0.01238,0.0165,0.01521,0.01877,0.3959,0.3981,
